Libellé de l'espace numérique;Adresse;Commune;Code postal;Code Insee;Téléphone;Fax;E mail;Site web;Contact 1;Contact 2;Fonction contact 1;Porteur;Statut;Latitude;Longitude
Point Cybercantal de Reilhac;Ecole publique, le Bourg;REILHAC;15250;15160;04 71 63 00 50;;;;Nicolas BENARIAC;;;;;44.968226;2.418076
Point Cyb du PIJ de Saint-Flour;OMJS, Avenue du Docteur Mallet;SAINT FLOUR;15100;15187;04 71 60 16 00;;omjs.pij.saint-flour@wanadoo.fr;;Guillaume DELCELIER;;;;;45.024577;3.082802
Club Informatique de Rauret;Mairie de Rauret;RAURET;43340;43160;04 71 08 24 51;;mairie@rauret.fr;www.rauret.fr/;Claude PIGNOL;;;;;44.798247;3.799622
Centre Anatole France;154, Rue Anatole France;CLERMONT-FERRAND;63000;63113;04 73 9054 60;;mq.anatole-france@ville-clermont-ferrand.fr;www.ville-clermont-ferrand.fr;Sidi AMMI;;Coordinateur du projet internet pour tous;Ville de Clermont-Ferrand;Association (Délégation de service public);45.7786301;3.1116228999999
Maison de quartier Fontaine du Bac;18 ter, Rue de la Fontaine-du-Bac;CLERMONT-FERRAND;63000;63113;04 73 44 87 33;;mq.fontaine-du-bac@ville-clermont-ferrand.fr;www.ville-clermont-ferrand.fr;Sidi AMMI;;Coordinateur du projet internet pour tous;Ville de Clermont-Ferrand;Association (Délégation de service public);45.7655288;3.1214161
Clim@63;26 Rue des Vaugondières - Ecole des Vaugondières;LEMPDES;63370;63193;06 71 96 55 45;;contact@climat63.net;climat63.free.fr;Alain Corneaux;;Trésorier;;Association;45.773925;3.19113
Médiathèque « Pays de Lapalisse »;Place du Général Leclerc;LAPALISSE;3120;3138;04 70 99 11 90;;mediatheque@cc-paysdelapalisse.fr;www.cc-paysdelapalisse.fr/Bien_Vivre-Services-Mediatheque.html;Nadège LAJOIE;;Responsable de la médiathèque;Communauté de Communes Pays de Lapalisse;Collectivité;46.2487589;3.6340221
Point Information Jeunesse/ Point Cyb;42-44 Place Jules Ferry;YZEURE;3400;3321;04 70 48 53 38;;pij@ville-yzeure.com;www.ville-yzeure.com;Brigitte BOUILLON;;Responsable;M. le Maire;Collectivité;46.5668006;3.3543274
Bibliothèque Municipale Riom es Montagnes;Avenue Monseigneur Martrou;RIOM ES MONTAGNES;15400;15162;04 71 78 14 36;;biblioth.riom.mgnes@wanadoo.fr;;Dominique MALTHIEU;;;;;45.283397;2.662937
Cyber base de Brioude;Avenue Léon Blum;BRIOUDE;43100;43040;04 71 74 51 37;;cyberbasebrioude@orange.fr;;Lionel AVININ;;Animateur multimédia;Communauté de communes du Brivadois;Collectivité;45.289613;3.3868191
Centre d'animation Culturelle Camille Claudel;3 Rue du Maréchal Joffre;CLERMONT-FERRAND;63000;63113;04 73 42 37 27;;msidiammi@ville-clermont-ferrand.fr;www.ville-clermont-ferrand.fr;Sidi AMMI;;Coordinateur du projet internet pour tous;Ville de Clermont-Ferrand;Association (Délégation de service public);45.7768771;3.0890438
Ecole Jules Michelet;8 Rue Antoine Bellet;CLERMONT-FERRAND;63000;63113;04 73 25 68 00;;msidiammi@ville-clermont-ferrand.fr;www.ville-clermont-ferrand.fr;Sidi AMMI;;Coordinateur du projet internet pour tous;Ville de Clermont-Ferrand;Association (Délégation de service public);45.788652267401;3.114168047905
Solidairnet;33 Rue de Vertaizon;CLERMONT-FERRAND;63000;63113;04 73 92 14 04;04 73 90 54 40;solidairnet@gmail.com;http://solidairnet.chomactif.fr;Thierry MATTIO;;Conseiller médiateur numérique;Association Chôm'Actif;Association;45.774555;3.099809
Bibliothèque de Cunlhat;4 Rue Saint Pierre;CUNLHAT;63590;63132;04 73 72 31 84;;cunlhat-bibliotheque@free.fr;;;;;;;45.632737;3.559431
Médiathèque Saintt-Germain l'Herm;Maison de l'animation;SAINT-GERMAIN L'HERM;63630;63353;04 73 72 09 44;;bibstgermain@wanadoo.fr;http://asso.mhl.over-blog.org/;Isabelle EPARDEAU;;Bibliothécaire;"Association ""Les Médiathèques du Haut-Livradois""";Association (Délégation de service public);45.454170314092;3.5379409790039
Espace Culturel La Pléiade;Place de la Butte;COMMENTRY;3600;3082;470644060;04 70 09 28 74;lapleiadecommentry@wanadoo.fr;;Stéphanie MAILLIEUX;;;;Association (Délégation de service public);46.2871456;2.7429329
Point Information Jeunesse;5 bis Rue du 4 septembre;VARENNES SUR ALLIER;3150;3298;04 70 47 45 95;04 70 47 45 58;pij.varennes@viltais.eu;;Jennifer CREUSEVAUT;;Responsable du PIJ;Viltaïs;Association;46.3149674;3.3993832
Point d'accueil Escorailles;Le Bourg;ESCORAILLES;15700;15064;04 71 69 00 33;;mairie.escorailles@wanadoo.fr;;Armelle SERRE;;;;;45.170922;2.332988
Bibliothèque de Saint-Flour;60 Rue de Belloy;SAINT FLOUR;15100;15187;04 71 60 25 44;;bibliotheque.saintflour@wanadoo.fr;;;;;;;45.034814;3.092353
Point Cyb du PIJ de Brioude;4 Avenue Victor Hugo;BRIOUDE;43100;43040;04 71 74 97 24;;pij.brioude@free.fr;;Christophe BARTHOMEUF;;;;;45.294934;3.381088
Ecole Jean Moulin;Rue de la Pradelle;CLERMONT-FERRAND;63000;63113;04 73 92 43 70;;msidiammi@ville-clermont-ferrand.fr;www.ville-clermont-ferrand.fr;Sidi AMMI;;Coordinateur du projet internet pour tous;Ville de Clermont-Ferrand;Association (Délégation de service public);45.773543618771;3.0967524647713
Médiathèque Croix de Neyrat;Place Alexandre Vialatte;CLERMONT-FERRAND;63000;63113;04 73 25 64 83;;msidiammi@ville-clermont-ferrand.fr;www.ville-clermont-ferrand.fr;Sidi AMMI;;Coordinateur du projet internet pour tous;Ville de Clermont-Ferrand;Association (Délégation de service public);45.8101078;3.1087654
Bibliothèque de Lempdes;Parc de la mairie;LEMPDES;63370;63193;04 73 61 86 41;;bbuisson@agglo-clermont.fr;;Bernadette BUISSON;;;;;45.773925;3.19113
Point Information Jeunesse d'Olliergues;13 Avenue Maréchal de Lattre de Tassigny;OLLIERGUES;63880;63258;04 73 95 29 58;04 73 95 59 58;pij.ccpo@wanadoo.fr;;Pierre BREGERE;;Responsable du P.I.J.;Communauté de Communes du Pays d'Olliergues;Collectivité;45.676659108736;3.6374616622925
Espace Multimédia Gannat;12 Allée des Tilleuls;GANNAT;3800;3118;04 70 9038 41;;multimedia@ville-gannat.fr;;Delphine JUBAN;;;;;46.097364;3.1982
Point Information Jeunesse Vichy Val d'Allier;9 Place de l'hôtel de ville;VICHY;3200;3310;04 70 31 05 27;;pij@vichy-valallier.fr;www.info-jeunes.net;Chantal DUCHALET;;Responsable;;Association;46.1232582;3.4278856
Point Cybercantal de Jussac;3 Allée des Pavillons;JUSSAC;15250;15083;04 71 46 86 36;;ecm@agglo-aurillac.org;www.agglo-aurillac.fr/ecm;;;;;;44.987799;2.421041
Point Cybercantal de Sansac de Marmiesse;Ecole publique, le bourg;SANSAC DE MARMIESSE;15130;15221;04 71 47 74 37;;;;Nicolas BENARIAC;;;;;44.884934;2.337596
Cyber 2000;Rue du 11 novembre;VOREY SUR ARZON;43800;43267;04 71 01 30 68;;cyber.vorey@cyber2000.fr;www.cyber2000.fr/;Grégory PETITCLERC;;Animateur;Cyber 2000;Association;45.186546944811;3.9093557718277
Ecole Edouard Herriot;26 Rue Albert Thomas;CLERMONT-FERRAND;63000;63113;04 73 93 02 45;;ecole-elem.e-herriot.clermont.63@ac-clermont.fr;www.ville-clermont-ferrand.fr;Sidi AMMI;;Coordinateur du projet internet pour tous;Ville de Clermont-Ferrand;Association (Délégation de service public);45.762025598725;3.0839985609055
Cyber-base Municipale de Cournon;4 Avenue Georges Clémenceau;COURNON D'AUVERGNE;63800;63124;04 73 77 03 30;04 73 77 05 12;cyber-base@cournon-auvergne.fr;www.cournon-auvergne.fr;Virgil DUMONT;;;Mairie de Cournon- d'Auvergne;Collectivité;45.7321325;3.1926397
Maison de Service (salle informatique);Avenue du Maronnier;PONTAUMUR;63380;63283;;;hautecombraille@wanadoo.fr;;Pierre SALSAC;;;;;45.868497;2.673955
La Quinaude;48 Rue Francisque Driffort;LE MAYET DE MONTAGNE;3250;3165;04 70 59 33 09;;ami@laquinaude.info;www.laquinaude.info;Patrick GASPARIN;;Trésorier de l'association;Association des montagnards internautes;Association;46.0708232;3.6669905
PRATIC Auvergne;27, Quai Louis Blanc;MONTLUÇON;3100;3185;470028070;04 70 02 80 29;vriot@auvergne.cci.fr;www.pratic.org;Vincent RIOT;;Chef de Projet;;Association;46.3457598;2.5997379
PRATIC Auvergne;44 Boulevard du Pont Rouge;AURILLAC;15000;15014;04 71 45 40 52;;lforestier@auvergne.cci.fr;www.pratic.org;Lionel FORESTIER;;Conseiller TIC (Technologies de l'Information et de la Communication);;Association;44.9269289;2.44804329
Maison des services du pays de Murat;4, Rue Faubourg Notre-Dame;MURAT;15300;15138;04 71 20 28 88;04 71 20 28 87;mds@paysdemurat.fr;www.paysdemurat.fr/mds;Evelyne BERGER;;Coordinatrice;Communauté de communes du pays de Murat;Collectivité;45.1089165;2.8723641
Cyber-base pro - La Chaise Dieu;Place Lafayette;LA CHAISE DIEU;43160;43048;04 71 00 02 35;;avinin@cyber-base.org;www.cyber-base.org/cyberbase/accueil/minisite.do?idSiteMinisite=184;Lionel AVININ;;;;;45.326384;3.687791
EPN (Espace Public Numérique) Blanzat;Rue de reilhat;BLANZAT;63112;63042;04 73 87 40 40;;epn.blanzat@orange.fr;www.ville-blanzat.fr;Pierre GLEIZES;;Animateur;;Collectivité;45.8286081;3.0715217
Ecole Victor Hugo;51 Rue Fontaine du Bac;CLERMONT-FERRAND;63000;63113;04 73 26 47 05;;msidiammi@ville-clermont-ferrand.fr;www.ville-clermont-ferrand.fr;Sidi AMMI;;Coordinateur du projet internet pour tous;Ville de Clermont-Ferrand;Association (Délégation de service public);45.765139216214;3.1200957298279
Médiathèque René Char;Parvis Raoul-Ollier;ISSOIRE;63500;63178;04 73 89 24 94;;mediatheque.issoire@gmail.com;www.issoire.orweb.c3rb.org;;;;;;45.543415;3.250134
Médiathèque Communautaire;Rue de la Poste;SAINT-GENÈS-CHAMPANELLE;63122;63345;04 63 66 95 38;;bibliotheque.saintgeneschampanelle@agglo-clermont.fr;http://pagesperso-orange.fr/mairie.sgc/mediatheque/mediatheque.htm;Michèle MEILLERAND;;Responsable médiathèque;Clermont-Communauté;EPIC (Etablissement Public à caractère Industriel et Commercial);45.719948537485;3.0181503295898
Médiathèque municipale;28 Rue des Faucheroux;MONTLUCON;3100;3185;04 70 05 54 45;;ecm.montlucon@wanadoo.fr;www.mairie-montlucon.fr/;Colette PUYNEGE-BATARD;Laurent PASQUIER;;;;46.331788;2.60453
Point d'accueil Barriac les Bosquets;Mairie, le bourg;BARRIAC LES BOSQUETS;15700;15018;04 71 40 40 38;;mairie.barriac@wanadoo.fr;;Armelle SERRE;;;;;45.1439;2.268749
Point Cybercantal de Ruynes en Margeride;Bibliothèque, Le bourg;RUYNES EN MARGERIDE;15320;15168;04 71 23 41 59;;mairieruynes@yahoo.fr;www.margeride-truyere.com/;Madame TOURETTE;;;;;45.00114;3.215762
Centre Multimédia;1 Rue de L'église;DUNIÈRES;43220;43087;04 71 61 96 08;;informatique.dunieres@wanadoo.fr;;Christophe PATOUILLARD;;Animateur;;Association (Délégation de service public);45.2175924;4.3431558
Ecole Aristide Briand;Rue Saint Simon;CLERMONT-FERRAND;63000;63113;04 73 93 52 87;;ecole-elem.a-briand.clermont.63@ac-clermont.fr;www.ville-clermont-ferrand.fr;Sidi AMMI;;Coordinateur du projet internet pour tous;Ville de Clermont-Ferrand;Association (Délégation de service public);45.772391175444;3.0763649940491
Ecole Pierre et Marie Curie;178 Rue Abbé Prévost;CLERMONT-FERRAND;63000;63113;04 73 37 5046;;ecole-elem.pm-curie.clermont.63@ac-clermont.fr;www.ville-clermont-ferrand.fr;Sidi AMMI;;Coordinateur du projet internet pour tous;Ville de Clermont-Ferrand;Association (Délégation de service public);45.793516766094;3.0755817890167
Maison des Jeunes;Chemin de la Fraternité;ISSOIRE;63500;63178;04 73 55 14 29;04 73 55 22 73;mj.issoire@orange.fr;www.issoire.fr;Catherine GUILLAUME;;Responsable Enfance /Jeunesse;Mairie d'Issoire;Collectivité;45.5439389;3.2556618
Point Info Jeune Gannat (Euréka PIJ);8 Avenue St James;GANNAT;3800;3118;04 70 9026 70;;eureka@ville-gannat.fr;www.bassin-gannat.com/;Marie-Emilia ROUMEAU;;;;;46.0948696;3.1979859
Salle Multimédia Yzeure;La Plaine Bodin;YZEURE;3400;3321;04 70 34 05 67;;mairie.yzeure@wanadoo.fr;;Monsieur BOTTON;;;;;46.56384;3.370488
Espace Numérique  du pays de Pierrefort;6 Côte de Chabridet;PIERREFORT;15230;15152;04 81 91 50 94;;jean.phi@paysdepierrefort.com;www.paysdepierrefort.com/;Jean Philippe RAVOUX;;;;;44.9219533;2.8427247
Point Cybercantal Yolet;Ecole de Yolet, le bourg;YOLET;15130;15266;04 71 47 45 11;;;;Nicolas NENARIAC;;;;;44.928098;2.534633
Collège Albert Camus;Rue du sous marin casabianca;CLERMONT-FERRAND;63100;63113;;;msidiammi@ville-clermont-ferrand.fr;www.ville-clermont-ferrand.fr;Sidi AMMI;;Coordinateur du projet internet pour tous;Ville de Clermont-Ferrand;Association (Délégation de service public);45.808285;3.107666
Ecole Diderot;10 Rue Diderot;CLERMONT-FERRAND;63000;63113;04 73 24 28 24;;msidiammi@ville-clermont-ferrand.fr;www.ville-clermont-ferrand.fr;Sidi AMMI;;Coordinateur du projet internet pour tous;Ville de Clermont-Ferrand;Association (Délégation de service public);45.804588883939;3.1132641434669
Espace Info Jeunes Auvergne;5, Rue Saint Genès;CLERMONT-FERRAND;63000;63113;04 73 92 3050;04 73 92 15 05;espace.info.jeunes@orange.fr;www.espaceinfojeunes.net;Philippe LAUMOND;;Directeur;Espace Info Jeunes;Association (Délégation de service public);45.7770153;3.0855434
Bibliothèque d'Egliseneuve-près-Billom;Le Bourg;EGLISENEUVE PRES BILLOM;63160;63146;04 73 68 56 21;;bib.egliseneuve.p.b@wanadoo.fr;;Juliette CARVALHO;;;;;45.723907;3.391895
Bibliothèque Ainay le Château;Place du Champ de Foire;AINAY LE CHATEAU;3360;3003;04 70 07 97 45;;mediatheque-ainay@wanadoo.fr;;Christophe CINIER;;;;;46.70979;2.692168
Point Information Jeunesse de Moulins;Place de l'hôtel de ville;MOULINS;3000;3190;04 70 47 34 92;09 61 40 28 77;pij.moulins@viltais.eu;;Laurence TATE;;Référente structure;Association Viltaïs;Association;46.5659589;3.3328115
Point accès informatique Cybercantal;Mairie;CHAMPAGNAC;15350;15037;04 71 69 61 55;04 71 69 62 21;mairie.champagnac@wanadoo.fr;www.champagnac.org;Anne LACHASSAGNE;;Adjoint Administratif;Conseil général du Cantal;Collectivité;45.3568875;2.3983511
Collège Blaise Pascal Point Cybercantal;Collège, Rue Blaise Pascal;SAINT FLOUR;15100;15187;04 71 60 01 25;;;;Monsieur PLATON;;;;;45.024577;3.082802
Point Information jeunesse du Velay;28, Rue Vibert;LE PUY EN VELAY;43000;43157;04 71 04 04 46;04 71 02 04 33;valerie.pronier@pij-velay.org;www.pij-velay.org;Valerie PRONIER;;Chargé de communication;;Association;45.0412296;3.8822576
Ecole Alphonse Daudet;16 b Rue Torpilleur Sirocco;CLERMONT-FERRAND;63000;63113;04 73 24 3009;;msidiammi@ville-clermont-ferrand.fr;www.ville-clermont-ferrand.fr;Sidi AMMI;;Coordinateur du projet internet pour tous;Ville de Clermont-Ferrand;Association (Délégation de service public);45.813557537369;3.105708360672
Maison de quartier Château des Vergnes;Rue du Château-des-Vergnes;CLERMONT-FERRAND;63000;63113;04 73 24 85 85;;mq.chateau-des-vergnes@ville-clermont-ferrand.fr;www.ville-clermont-ferrand.fr;Sidi AMMI;;Coordinateur du projet internet pour tous;Ville de Clermont-Ferrand;Association (Délégation de service public);45.8120263;3.1290764
Point Information Jeunesse;Centre Commercial Auchan - Rue du torpilleur sirocco;CLERMONT-FERRAND;63100;63113;04 73 23 02 20;04 73 23 02 15;pij-neyrat@lamif.com;;Xavier CHANGEAT;;Informateur Jeunesse;;Association;45.811841321431;3.1085300445557
Clim@63;1 Rue des Granges;Lempdes;63370;63193;;;;;;;;;;45.7684736;3.1951413
Espace Multimédia;Relais des Services Publics, 5 Le Plessis;LE DONJON;3130;3103;04 70 99 69 89;;rsp-ledonjonvallibre@orange.fr;www.donjonvallibre.com/emploi_relais.asp;Nathalie CORDIER;;;;;46.34705;3.793442
Centre de Ressources Pierre Gallery;1 Avenue Jean Moulin;AURIAC L EGLISE;15500;15013;04 71 23 03 54;;;;Isabelle VALEIX;;;;;45.263439;3.118439
Médiathèque Intercommunale du Pays de Massiac;Rue Albert Chalvet;MASSIAC;15500;15119;04 71 23 17 79;;mediathequepaysdemassiac@orange.fr;www.cc-paysdemassiac.fr/;Isabelle VALEIX;;Chargée de Mission;Communauté de Communes du Pays de Massiac;EPIC (Etablissement Public à caractère Industriel et Commercial);45.2506735;3.1995383
Maison des Jeunes et de la Culture;Parc de la Liberté Avenue de Firminy;AUREC SUR LOIRE;43110;43012;04 77 35 41 59;;mjc-aurec@wanadoo.fr;;Lionel TAVERNIER;;;;;45.371569;4.198618
Mediathèque du Sancy;13, Rue Notre Dame;BESSE ET ST ANASTAISE;63610;63038;04 73 78 50 83;;plp.besse@cc-massifdusancy.fr;;Cédric BARADEL;;;;;45.511721;2.933239
Ecole Jules Ferry;6 Boulevard Trudaine;CLERMONT-FERRAND;63000;63113;04 73 92 2082;;ecole-elem.j-ferry.clermont.63@ac-clermont.fr;www.ville-clermont-ferrand.fr;Sidi AMMI;;Coordinateur du projet internet pour tous;Ville de Clermont-Ferrand;Association (Délégation de service public);45.779144603186;3.0905914306641
Médiathèque Hugo-Pratt;Rue Pierre-Jacquet;COURNON D'AUVERGNE;63800;63124;04 73 98 35 00;;bibliotheque.cournon@agglo-clermont.fr;;;;;;;45.73758249;3.19297819
Centre Social et Culturel Espace Couriat;Place José moron;RIOM;63200;63300;04 73 38 89 67;04 73 64 16 05;contact@espacecouriat.fr;http://www.espacecouriat.fr;Georges STAVAST;;Directeur adjoint centres sociaux de RIOM;;Association (Délégation de service public);45.882749101535;3.1062984466553
Maison des Services Vallée de l'Ance;Maison Granet - Place de l'Eglise;VIVEROLS;63840;63465;04 73 95 36 40;04 73 95 36 41;centre.ressources.val-dance@wanadoo.fr;http://www.ccvalleedelance.eu/la-maison-des-services/;Robert ANDRE-LAUTREY;;Animateur MSVA;Communauté de Communes de la Vallée de l'Ance;Collectivité;45.433541117797;3.8832743521843
Cyber Base Yannick Paul;Rue des Hirondelles;MONTLUÇON;3100;3185;04 70 02 27 37;;e.chalus@cyber-base.org;www.montlucon.cyber-base.org/;Eric CHALUS;;Animateur Cyber Base;Mairie de Montluçon;Collectivité;46.3434731;2.5757416
Cyberc@ntal Condat;Le Bourg;CONDAT;15190;15054;04 71 78 68 33;04 71 78 68 33;olivier@cezallier.org;www.cezallier.org;Olivier MAYET;;Assistant Informatique / Technicien Territorial;Communauté de Communes du Cézallier;EPIC (Etablissement Public à caractère Industriel et Commercial);45.3406091;2.7575415
Espace Culture Multimédia Pays de Mauriac;Rue du 11 novembre;MAURIAC;15200;15120;04 71 67 35 81;;espace.multimedia@paysdemauriac.fr;www.mediatheque.paysdemauriac.fr/;Vincent POYET;;Animateur Multimédia;;Association (Délégation de service public);45.21846;2.3348435
Point Cybercantal de Saint-Mamet La Slavetat;Ecole, Le bourg;SAINT MAMET LA SALVETAT;15220;15196;04 71 49 33 30;;;;Maryline CASSAN;;;;;44.859503;2.299184
Espace multimédia Clic@Rosières;Place des anciens combattants;ROSIÈRES;43800;43165;04 71 57 91 00;;clicarosieres@wanadoo.fr;www.clicarosieres.fr;Stéphane SOUTON;;Animateur;Association Clic@rosières;Association (Délégation de service public);45.132452005909;3.98677110672
Ecole Chanterrane;131 Rue Champfleuri;CLERMONT-FERRAND;63000;63113;04 73 92 39 68;;msidiammi@ville-clermont-ferrand.fr;www.ville-clermont-ferrand.fr;Sidi AMMI;;Coordinateur du projet internet pour tous;Ville de Clermont-Ferrand;Association (Délégation de service public);45.788540047888;3.0857393145561
Espace citoyen;4 Rue André-Moinier;CLERMONT-FERRAND;63000;63113;04 73 42 37 19;;citejeune@ville-clermont-ferrand.fr;www.ville-clermont-ferrand.fr;Sidi AMMI;;Coordinateur du projet internet pour tous;Ville de Clermont-Ferrand;Association (Délégation de service public);45.7806927;3.0847653
EPN Nohanent;Maison de Bourg - 1 place de la Barreyre;NOHANENT;63830;63254;;;;;;;;;;45.809361;3.0577
Point Cyb - Montluçon;22 Rue des Forges;MONTLUCON;3100;3185;04 70 02 27 10;04 70 03 93 36;pointcyb.montlucon@wanadoo.fr;www.espaceinfojeunes.net/;Ludivine GARCIA;;Animateur;;Collectivité;46.337847;2.6078306
Centre Social de Marmiers;10, Rue Raymond Cortat;AURILLAC;15000;15014;04 71 64 63 44;04 71 63 63 21;centre-social-marmiers@wanadoo.fr;www.centresocial.fr;Michel LAFAIRE;;Animateur Ados;Centre social de Marmiers;Association;44.9119699;2.4369108
Foyer des Jeunes de Mauriac;Rue du 8 Mai;MAURIAC;15200;15120;04 71 68 13 49;;la.cremaillere@wanadoo.fr;;Christian DUPORT;;;;;45.217037;2.334307
Cybercentre d'Ydes;2 Rue du Docteur Basset;YDES;15210;15265;04 71 40 83 51;;techmaster@ydes.fr;www.ydes.fr/?cybercentre;Frédéric OUAGNE;;Animateur;Commune d'Ydes;Collectivité;45.3475217;2.436494
Point Info du Pays d'Arlanc;Bilupo, 51 Route Nationale;ARLANC;63220;63010;04 73 95 08 99;;pointinfo-arlanc@orange.fr;www.arlanc.com/;Stéphanie MIOLANE;;Bibliothécaire;Communauté de Communes du Pays d'Arlanc;Collectivité;45.4146534;3.7245144
Ecole Romain Rolland;33 Rue Château des Vergnes;CLERMONT-FERRAND;63000;63113;04 73 24 05 06;;msidiammi@ville-clermont-ferrand.fr;www.ville-clermont-ferrand.fr;Sidi AMMI;;Coordinateur du projet internet pour tous;Ville de Clermont-Ferrand;Association (Délégation de service public);45.810405492304;3.1289201974869
Videoformes;64 Rue Lamartine;CLERMONT-FERRAND;63000;63113;04 73 17 02 17;;videoformes@videoformes.com;www.videoformes.com;Grégoire ROUCHIT;;Documentaliste;Videoformes;Association;45.7773527;3.0791587
Médiathèque Sancy Artense;Rue du Thuel;TAUVES;63690;63426;04 73 21 18 73;;mediatheque@sancy-artense.com;http://www.sancy-artense.com;Lysiane FAUCHER;;Responsable;Sancy Artense Communauté;Collectivité;45.5609127;2.6231553
Association FJT L'Escale;20 Avenue de Fontbouillant;MONTLUÇON;3100;3185;04 70 03 34 44;04 70 03 45 02;fjt.fontbouillant@wanadoo.fr;www.monsite.wanadoo.fr/fjt.fontbouillant/;Véronique BOYER;;Animatrice multimédia;"Foyer des Jeunes Travailleurs ""L'Escale""";Association;46.3276036;2.5797851
