Nom;Descriptif;Type de pratique;Accompagnement;Accès;Usage spécifique;Public;Précisions sur le public;Tarif;Equipements et matériels;Lundi;Mardi;Mercredi;Jeudi;Vendredi;Samedi;Dimanche;Précisions sur les horaires;Adresse;Code postal;Ville;Téléphone 1;Téléphone 2;Mail;Web;Accès transports en commun;Label;Géolocalisation
Médiathèque Lisa Bresner;Ouvertes à tous, les médiathèques municipales sont présentes dans les différents quartiers de la Ville de Nantes. Elles proposent un large catalogue de documents (livres, CD, DVD, BD, …) accessibles en ligne ainsi que de ordinateurs pour la consultation d'Internet et/ou des logiciels de bureautique. Certaines médiathèques proposent également des ateliers d’initiation au numérique.;- Accéder à Internet - Être initié aux outils numériques;- Assistance et conseil sur place- Ateliers : initiation à l'informatique et accompagnement numérique (découverte du clavier et de la souris, créer et gérer sa boite mail, …);libre;;pour tous;;gratuit;ordinateurs équipés d’accès Internet et de logiciels bureautiques, photocopieur, imprimante, Wifi;;13h30-18h00;10h00-18h00;13h30-18h00;13h30-19h00;10h00-17h00;;;23 boulevard Émile Romanet;44100;Nantes;02 40 41 54 00;;bm-ouest@mairie-nantes.fr;https://bm.nantes.fr/home.html;Tramway L1 (arrêt Jamet) / L1 (arrêt Croix Bonneau);;47.209929,-1.60304
Plateforme C;Plateforme C est un atelier collaboratif de fabrication numérique et de prototypage rapide (fabab) animé par l’association PiNG. Dans un espace de 300m2, Plateforme C rassemble tous les outils que l’on trouve dans un atelier de bricolage traditionnel -établis électroniques, mécaniques, et bois- ainsi que des des machines à commande numérique, pilotées par ordinateur (imprimantes 3D, découpe vinyle, découpe laser, fraiseuse numérique, etc.);- Pratiquer une activité ludique et éducative- Être accompagné dans mon projet personnel ou professionnel;- Assistance et conseil sur place- Ateliers  d'initiation pour chaque machine à commande numérique (de 1h30 à 3h)- Fab Lab (atelier de création)- Espace ressources aux publications sur la culture numérique;libre;sous condition d’adhésion – Découverte gratuite le mardi à 19h;pour tous;à partir de 18 ans;payant (adhésion annuelle : de 31 à 90€ pour l’openatelier du jeudi / adhésion annuelle + forfait tarifaire pour les ateliers projets organisés les autres jours de la semaine);Machines à commande numériques (imprimantes 3D, découpe laser, fraiseuse numériques, routeur CNC, découpe vinyle), établis, outils électroniques et textiles, Wifi - Espace ressource aux publications sur la culture numérique;;14h00-21h00;14h00-21h00;14h00-21h00;10h00-18h00;;;;Hangar 30 – quai des Antilles;44200;Nantes;02 51 84 13 57;;contact@plateforme-c.org;http://www.plateforme-c.org/;Tramway L1 (arrêt Chantiers Navals) / Chronobus C5 (arrêt quai des Antilles);;47.203369,-1.57187
Centre Socioculturel Accoord - Bourderies;L’Accoord a pour objectif de développer l’action éducative, sociale et culturelle pendant le temps libre à Nantes. L’association propose une offre de services autour de l'animation sociale, le développement culturel et les loisirs socio-éducatifs. Des espaces multimédias sont ouverts pour découvrir, utiliser et être aidé dans la pratique du multimédia. Le centre socioculturel Accoord Bourderies propose également un accompagnement à l’appropriation des usages numériques pour des projets personnels et professionnels.;- Accéder à Internet- Être initié aux outils numériques- Être accompagné dans mes démarches administratives- Pratiquer une activité ludique et éducative;- Assistance et conseil sur place- Ateliers : la bureautique, le traitement d'images, la protection de son ordinateur et ses données, le stockage de données en ligne, l’installation logiciels;sur inscription;;pour tous;;payant (adhésion annuelle : de 0 à 15€);ordinateurs équipés d’accès Internet et de logiciels bureautiques, imprimante, scanner;;16h15-18h00;;16h15-18h00;;;;;2A rue de Saint Brévin;44100;Nantes;02 40 46 41 46;;bourderies@accoord.fr;https://www.accoord.fr/http://bourderies.blogspot.fr/;L11 (arrêt Bourderies);;47.206682,-1.596419
Médiathèque Jacques Demy;Ouvertes à tous, les médiathèques municipales sont présentes dans les différents quartiers de la Ville de Nantes. Elles proposent un large catalogue de documents (livres, revues, CD, DVD, BD, …) accessibles en ligne ainsi que des ordinateurs pour la consultation d'Internet et/ou l'utilisation des logiciels de bureautique. Certaines médiathèques proposent également des ateliers d’initiation au numérique.;- Accéder à Internet - Être initié aux outils numériques- Pratiquer une activité ludique et éducative;- Assistance et conseil sur place- Ateliers de découverte des ressources numériques : My Cow (apprentissage de l’anglais), InaTHEQUE (accès aux archives TV, radio, pub et web médias conservées par l'ina), logiciels d’autoformation (bureautique, code de la route, langues, soutien scolaire, solfège... );libre;;pour tous;;gratuit;ordinateurs équipés d’accès Internet et de logiciels bureautiques, postes de consultation spécifiques à l'Ina photocopieurs, imprimante, Wifi;12h00-19h00;12h00-19h00;10h00-19h00;12h00-19h00;12h00-19h00;10h00-18h00;;;24 quai de la Fosse;44000;Nantes;02 40 41 95 95;;bm-centre@mairie-nantes.fr;https://bm.nantes.fr/home.html;Tramway L1 (arrêt Médiathèque);;47.21096,-1.561802
Alis44;"L’association ALIS 44 récupère des ordinateurs, les reconditionne sous linux Xubuntu (Xalis) et logiciels libres, puis les redistribue aux personnes à faibles ressources et aux associations. Dans sa démarche de lutte contre l’exclusion en favorisant l’accès aux technologies, l’association propose également des ateliers  ""Prise en Main""  qui ont pour but de vous faire accéder rapidement aux bases informatiques : manipuler l’ordinateur, les fichiers et le système d’exploitation Linux, utiliser Internet, retoucher des photos sont autant de thèmes abordés.";- Accéder à Internet- Être accompagné dans mes démarches administratives - Être initié aux outils informatiques- Pratiquer une activité ludique et éducative;"- Assistance et conseil sur place - Ateliers : Prise en main d'un ordinateur (clavier, souris) ; gérer les fichiers ; Navigation Internet ; Bureautique (Libre Office) ; Gérer Linux ; Initiation aux réseaux et adressages IP ; Musique assistée par ordinateur ; Dessin assisté par ordinateur ; Montage vidéo ; Rajeunir son ordinateur ; alphabétisation numérique ; soutien aux e-démarches.";sur inscription;;pour tous;;payant (adhésion annuelle : de 31 à 90€) + prix des ateliers;ordinateurs équipés d’accès Internet et de logiciels bureautiques, Wifi;9h00-12h00 / 14h00-18h00;9h00-12h00 / 14h00-18h00;9h00-12h00 / 14h00-18h00;10h00-12h00 / 14h00-18h00;9h00-12h00 / 14h00-18h00;;;;60 rue de la Bottière;44300;Nantes;09 51 11 21 45;;alis-asso@alis44.org;http://alis44.org/;L11 (arrêt Lippman);;47.23915,-1.519944
Stereolux;Les ateliers menés par l'Action Culturelle de Stéréolux sont une expérience forte et ludique, pour petits et grands, où chacun se fait acteur et créateur : une récréation digitale et numérique, propice à la découverte et aux échanges. Les différentes actions sont destinées à un large panel de publics, de la petite enfance aux seniors,  avec la volonté de s'adresser au plus grand nombre – quels que soit les moyens financiers, les disponibilités et les aptitudes de chacun –, dans le souci constant du vivre ensemble et du décloisonnement générationnel. Les ateliers et autres activités développés promeuvent des pratiques créatives et diversifiées autour du multimédia et de nouvelles disciplines, parfois méconnues.;- Être initié aux outils numériques- Pratiquer une activité ludique et éducative;- Ateliers : Robotique, light painting, Autoportrait 3D- Thé numérique pour les séniors;sur inscription;;pour tous;;atelier payant (de 31 à 90€);Ordinateurs équipés d’accès Internet et de logiciels (montage vidéo, code créatif – processing, montage son) Wifi;;;;;;;;Horaires variables en fonction des ateliers;4 boulevard Léon Bureau;44200;Nantes;02 51 80 60 80;;melanie.legrand@stereolux.org;https://www.stereolux.org/;Tramway L1 (arrêt Chantiers Navals) / Chronobus C5 (arrêt Prairie au Duc) /  bus de nuit : Circuit B: (arrêt Prairie au Duc);;47.206011,-1.563948
LAB'J - Efferv&sciences;L’Accoord a pour objectif de développer l’action éducative, sociale et culturelle pendant le temps libre à Nantes. L’association propose une offre de services autour de l'animation sociale, le développement culturel et les loisirs socio-éducatifs. Sur le numérique, le centre socioculturel  Accoord Lab'J axe son offre sur la programmation, les activités éducatives et ludiques, l’impression 3D et la robotique.;Pratiquer une activité ludique et éducative;- Assistance et conseil sur place- Ateliers  : programmation et robotique;sur inscription;;pour les jeunes de 9 à 15 ans;;payant (adhésion annuelle : de 0 à 15€);ordinateurs équipés d’accès Internet et de logiciels bureautiques, scanner, photocopieur, imprimantes 3D, robots Thymio et Mbot, kit Makey Makey, modules Arduino, Wifi;;;14h00-17h00;;;;;;Espace animation Beaulieu – 2 rue Marc Vaubourgoin;44200;Nantes;02 51 72 39 82;;efferv-sciences@accoord.fr;https://www.facebook.com/effervsciences/?fref=ts;Chronobus C5 et L26  (arrêt Pompidou);;47.208167,-1.527055
L’EclectiC Leo Lagrange;L'EclectiC Léo Lagrange est une pépinière d'initiatives jeunesse (16-25 ans) situé dans le quartier Nord de Nantes (maison de quartier La Mano). C’est un lieu d’accueil, d’information, d’orientation et d’accompagnement de toutes les initiatives et projets de jeunes (individuels ou collectifs), dans les domaines de la culture, du sport, des arts, de l’insertion ou encore de la mobilité (locale, internationale). La pépinière est également un lieu d’animation notamment à travers ces « RDV de L’EclectiC » (cafés citoyens, sorties culturelles…) autant de moment d’échanges, de débats, de rencontres et de découvertes dans une ambiance conviviale.;- Accéder à Internet- Être accompagné dans mes démarches administratives- Pratiquer une activité ludique et éducative- Être  accompagné dans mon projet personnel ou professionnel;Assistance et conseil sur place;sur inscription;;pour les jeunes de 16 à 25 ans;;gratuit;ordinateurs équipés d’accès Internet, de logiciels bureautiques, de logiciels de graphisme, montage vidéo et de retouches photos, Wifi;;10h00-18h00;10h00-18h00;10h00-18h00;10h00-18h00;10h00-18h00;;;Maison de quartier La Mano (2ème étage) – 3 rue Eugène Thomas;44300;Nantes;02 40 40 91 18;;contact@eclectic-leolagrange.org;https://www.facebook.com/leclectic.leolagrange/;Tramway L2 (arrêt Chêne des Anglais);;47.263017,-1.57286
APO-33;Apo33 est un laboratoire artistique, technologique et théorique transdisciplinaire qui développe des projets collectifs alliant recherche, expérimentation et intervention dans l’espace social. S’inscrivant dans la continuité des dynamiques ouvertes par le mouvement des logiciels libres, Apo33 se construit comme un espace modulaire initiant des projets et processus de création collaboratifs et représente les formes émergentes de création et d’expérimentation artistiques et culturelles liées aux arts sonores et multimédia.;Pratiquer une activité ludique et éducative;- Assistance et conseil sur place- Ateliers : Musique électronique et création numérique sonore;sur inscription;;pour tous;;atelier payant (de 31 à 90€);Ordinateurs : systéme informatique pour la création numérique – Apo33, imprimante 3D, caméra, enregistreur sonore, système amplification, vidéoprojecteur, station montage électronique, Fablab, bricolage, arduino, raspberry pi, Wifi;10h00-17h00;10h00-17h00;10h00-17h00;10h00-17h00;10h00-17h00;;;;17 rue Paul Bellamy;44000;Nantes;02 51 89 47 16;;orga@apo33.org;http://apo33.org/index.php/fr/;Tramway L1 (arrêt 50 otages) / Chronobus C2 – L12 et L23 (arrêt Talensac);;47.221887,-1.556405
Centre Socioculturel Accoord - Perray-Haluchère;L’Accoord a pour objectif de développer l’action éducative, sociale et culturelle pendant le temps libre à Nantes. L’association propose une offre de services autour de l'animation sociale, le développement culturel et les loisirs socio-éducatifs. Des espaces multimédias sont ouverts pour découvrir, utiliser et être aidé dans la pratique du multimédia. Des formations et des ateliers y sont également proposés régulièrement.;- Accéder à Internet- Pratiquer une activité ludique et éducative;- Assistance et conseil sur place- Ateliers  : la production de vidéos, de jeux vidéo, réparation bureautique- Cours selon la demande (montage photo, messagerie, Internet, …)- Fab Lab (atelier de création) animé par Efferv&sciences : Imprimante 3D, programmation, borne Arcade;sur inscription;;pour tous;;payant (adhésion annuelle : de 0 à 15€);ordinateurs équipés d’accès Internet et de logiciels bureautiques, imprimante, scanner, Wifi;;;14h00-17h30;;16h00-18h00;14h00-17h00;;;1 rue Jules Grandjouan;44300;Nantes;02 40 49 74 69;;perray@accoord.fr;http://cscperray.blogspot.fr/;L11 - L12 (arrêt Perray);;47.247549,-1.512745
Centre Socioculturel Accoord - Port Boyer;L’Accoord a pour objectif de développer l’action éducative, sociale et culturelle pendant le temps libre à Nantes. L’association propose une offre de services autour de l'animation sociale, le développement culturel et les loisirs socio-éducatifs. Des espaces multimédias sont ouverts pour découvrir, utiliser et être aidé dans la pratique du multimédia. Des formations et des ateliers y sont également proposés régulièrement.;- Être initié aux outils numériques;- Ateliers  organisés par Alis44 :prise en main du matériel, navigation web, création-gestion de boite mail, traitement de texte, information autour des logiciels libres- Cours d’informatique organisés par l’Amicale laïque de Port-Boyer;sur inscription;;public;pour les adultes et particulièrement, pour les personnes en situation de précarité et pour les habitants du quartier;payant (adhésion annuelle : de 0 à 15€);ordinateurs équipés d’accès Internet et de logiciels bureautiques,;;;;17h30-19h30;;;;;7 rue de Pornichet;44300;Nantes;02 40 49 21 81;;port-boyer@accoord.fr;https://www.accoord.fr/http://port-boyer.blogspot.fr/;L23 (arrêt Pouliguen);;47.240123,-1.542848
Centre Socioculturel Accoord - Île De Nantes;L’Accoord a pour objectif de développer l’action éducative, sociale et culturelle pendant le temps libre à Nantes. L’association propose une offre de services autour de l'animation sociale, le développement culturel et les loisirs socio-éducatifs. Des espaces multimédias sont ouverts pour découvrir, utiliser et être aidé dans la pratique du multimédia. Sur le numérique, le centre socioculturel Île de Nantes axe son offre sur la programmation, les activités éducatives et ludiques, l’impression 3D et la robotique.;- Accéder à Internet- Être initié aux outils numériques- Être sensibilisé aux risques d'Internet- Être accompagné dans son projet personnel ou professionnel- Pratiquer une activité ludique et éducative;- Assistance et conseil sur place- Ateliers : Internet, la bureautique, le montage vidéo, la photo numérique, l’initiation de Windows 10, l’utilisation de tablettes et smartphones, la création de blog, les réseaux sociaux, la protection de son ordinateur, la gestion du courrier électronique, les outils Google, la maintenance de l’ordinateur…;sur inscription;;pour tous;;payant (adhésion annuelle : de 0 à 15€);ordinateurs équipés d’accès Internet et de logiciels bureautiques, imprimantes, scanner, Wifi;14h00-18h00;9h15-11h15 / 14h00-18h00 / 19h00-21h00;10h00-12h00 / 14h00-18h00;9h00-13h00 / 14h00-17h30;9h15-12h15 / 14h00-16h00;;;;2 rue Conan Mériadec;44200;Nantes;02 44 76 32 24;;ile@accoord.fr;https://www.accoord.fr/https://www.facebook.com/MQ-de-l%C3%8Ele-300588676773498/;Tramway L2 - L3 (arrêt Vincent Gâche) / Chronobus C5 (arrêt Nizan);Label  NetPublic;47.206454,-1.55057
Médiathèque Floresca Guépin;Ouvertes à tous, les médiathèques municipales sont présentes dans les différents quartiers de la Ville de Nantes. Elles proposent un large catalogue de documents (livres, CD, DVD, BD, …) accessibles en ligne ainsi que de ordinateurs pour la consultation d'Internet et/ou des logiciels de bureautique. Certaines médiathèques proposent également des ateliers d’initiation au numérique et la lecture numérique pour les malvoyants.;- Accéder à Internet - Être initié aux outils numériques;- Assistance et conseil sur place- Ateliers : créer et gérer son compte Facebook, Victor Reader et Vocal Presse (lecture numérique pour malvoyants);libre;;pour tous;;gratuit;ordinateurs équipés d’accès Internet et de logiciels bureautiques (certains ordinateurs sont adaptés aux malvoyants), photocopieur, imprimante, Wifi;;13h30-19h00;10h30-18h00;13h30-18h00;13h30-18h00;10h00-17h00;;;15 rue de la Haluchère;44300;Nantes;02 40 93 41 60;;bm-est@mairie-nantes.fr;https://bm.nantes.fr/home.html;Tramway L1 (arrêt Souillarderie) - Chronobus C7 (arrêt Cousteau);;47.24076,-1.512784
Trempolino;Trempolino est une association, créée en 1990, dans le but d’accompagner, de développer et de promouvoir les musiques actuelles. Aujourd’hui Trempolino élargit son concept et devient un lieu culturel dont la vocation est artistique et aussi éducative, sociale et économique. Trempolino propose des programmes et des services pour tous les publics, les musiciens et les entrepreneurs. A ce titre, Trempolino contribue au développement de la filière musicale régionale et à l’émergence de nouvelles pratiques artistiques.;- Accéder à Internet- Pratiquer une activité ludique et éducative;- Assistance et conseil sur place- Stages : Musique assistée par ordinateur;libre;;pour tous;;accès Internet gratuit - stage payant (de 31 à 90€);ordinateurs équipés d’accès Internet et de logiciels bureautiques, Wifi;9h00-20h00;9h00-20h00;9h00-20h00;9h00-20h00;9h00-20h00;;;;6 boulevard Léon Bureau;44200;Nantes;02 40 46 66 33;;info@trempo.com;http://www.trempo.com/;Tramway L1 (arrêt Chantiers Navals) / Chronobus C5 (arrêt Prairie au Duc);;47.20526,-1.563189
La Bagagerie - Saint Jacques (Association Saint Benoît Labre);L’association Saint Benoît Labre lutte contre l’exclusion des personnes en difficultés sociales et professionnelles et vient en aide aux personnes et familles en précarité. Dans ce cadre, l’association met à disposition des usagers de l’association des espaces informatiques dans ses centres d’hébergement. Ces lieux d’activité informatique permettent de s’initier à l’informatique, d’utiliser Internet, de créer un CV, d’échanger avec ses proches par mail, de se détendre, de se cultiver et de se former à la bureautique.;- Accéder à Internet- Être initié aux outils informatiques- Être accompagné dans mon projet personnel ou professionnel;;Adhérents et résidents à la Bagagerie;;personnes en situation de précarité;;gratuit;ordinateurs équipés d’accès Internet et de logiciels bureautiques, Wifi;24h/24h;24h/24h;24h/24h;24h/24h;24h/24h;;;;7 rue Frère Louis;44200;Nantes;;;;http://asbl44.com/;Tramway L2 L3 (arrêt Pirmil) / L42 (arrêt Saint Jacques);;47.195534,-1.538346
