5;43,472385;-1,539795;En cours;non;Opérateurs de services publics;Pôle-Emploi Biarritz Aéroport;8ter Rue Bordé d'André|64200 Biarritz|**Actions proposées :**|- Diagnostic des besoins numériques|- Assistance (faire avec) sur les démarches PE|**Publics :**|Demandeurs d'emploi;Pôle Emploi;8ter Rue Bordé d'André|;64200;BIARRITZ;;- Diagnostic des besoins numériques|- Assistance (faire avec) sur les démarches PE|;DE;;;;;;;;;;
78;43,336494;-0,439517;En cours;non;Accès libre, accompagnement vers l'autonomie et médiation numérique ;Médiathèque de Lescar;"Rue Raoul Follereau |64230 Lescar|Tél. 05 59 72 25 21|Mél. mediatheques@agglo-pau.fr|Site web. [[https://mediatheques.agglo-pau.fr]]|**Horaires d'ouverture :**|Lundi 14h - 18h30|Mardi/ jeudi: 14h - 18h|Mercredi 9h30 - 12h30 et 14h - 18h|Vendredi :10h - 12h ;14h- 18h|Samedi 10h - 12h|**Actions proposées:**|- Accès (ordinateurs et WIFI)|- Médiation (apprendre à faire) : de nombreux rdv sur l'agenda du site des médiathèques|**Public :**|Tout public|**Conditions d'accès :**|Gratuit";Médiathèque;;64230;LESCAR;"|Lundi 14h - 18h30|Mardi/ jeudi: 14h - 18h|Mercredi 9h30 - 12h30 et 14h - 18h|Vendredi :10h - 12h ;14h- 18h|Samedi 10h - 12h|";Accès (ordinateurs et WIFI)|- Médiation (apprendre à faire) : de nombreux rdv sur l'agenda du site des médiathèques|;Tout public;**Conditions d'accès :**|Gratuit;;;. 05 59 72 25 21|;https://mediatheques.agglo-pau.fr];;;;;
114;43,384528;-1,305935;En cours;non;Assistance et coups de pouce;SDSEI Pays Basque Intérieur;Site d'Hasparren|64240 Rue Gaskoina|64240 Hasparren|**Actions proposées :**|- Assistance démarches administratives;SDSEI;Rue Gaskoina;64240;HASPARREN;;- Assistance démarches administratives;Tout public;;;;;;;;;;
106;43,116276;-0,863119;En cours;non;Assistance et coups de pouce;MSAP Tardets-Sorholus (Bureau de Poste);Place centrale |64470 Tardets-Sorholus |Mail. msap.tardets-sorholus@laposte.fr|**Horaires d'ouverture :**|Lundi : 09h-12h30 et 13h30-16h|Mardi : 9h-12h et 13h30-16h|Mercredi : 9h-12h|Jeudi : 09h-12h et 13h30-16h|Vendredi 09h-12h et 13h30-15h30|**Actions proposées :**|- Accès à un îlot de services  ( ordinateur + scan + imprimante ) dans la salle du public  avec un accès aux  services numériques des partenaires. Possibilité de s’isoler dans un bureau pour connexion skype  à partir d’une tablette mise à disposition avec un référent pour chacun des partenaires mais  sur rendez-vous.|- Assistance du chargé de clientèle si nécessaire.|[[https://drive.google.com/file/d/1dK7kZgVxPzIEDJ9rqRC4OlDnGLBE-Qod/view?usp=sharing|Plus d'informations]]|**Publics :**|Tous publics;MSAP;;64470;TARDETS-SORHOLUS;|Lundi : 09h-12h30 et 13h30-16h|Mardi : 9h-12h et 13h30-16h|Mercredi : 9h-12h|Jeudi : 09h-12h et 13h30-16h|Vendredi 09h-12h et 13h30-15h30|;- Accès à un îlot de services  ( ordinateur + scan + imprimante ) dans la salle du public  avec un accès aux  services numériques des partenaires. Possibilité de s’isoler dans un bureau pour connexion skype  à partir d’une tablette mise à disposition avec un référent pour chacun des partenaires mais  sur rendez-vous.|- Assistance du chargé de clientèle si nécessaire.|[[https://drive.google.com/file/d/1dK7kZgVxPzIEDJ9rqRC4OlDnGLBE-Qod/view?usp=sharing|Plus d'informations]]|;Tout public;;;msap.tardets-sorholus@laposte.fr|;;https://drive.google.com/file/d/1dK7kZgVxPzIEDJ9rqRC4OlDnGLBE-Qod/view?usp=sharing|Plus d'informations];;;;;
25;43,32815;-1,031934;En cours;non;Services DDFIP64;TM (Trésorerie mixte) SAINT-PALAIS;TM SAINT-PALAIS|RUE DE LA BIDOUZE |BP 54 |64120 SAINT PALAIS|Accueil des particuliers dans leurs démarches fiscales : OUI;Trésorerie mixte;;64120;SAINT PALAIS;;Accueil des particuliers dans leurs démarches fiscales;Tout public;;;;;;;;;;
10;43,298994;-0,37336;En cours;non;Services DDFIP64;SIP (Services des Impôts des Particuliers)  PAU;SIP PAU|6 RUE D'ORLEANS |64027 PAU CEDEX|Accueil des particuliers dans leurs démarches fiscales : OUI;SIP;;64027;PAU CEDEX;;Accueil des particuliers dans leurs démarches fiscales;Tout public;;;;;;;;;;
60;43,474559;-0,928327;En cours;non;Accès libre, accompagnement vers l'autonomie et médiation numérique ;Cyber-base de Salies de Béarn;Maison des services (Al Cartéro)|64270 Salies de Béarn|Tél. 05 59 38 11 70|Mail. cyberbase@ccbearndesgaves.fr |**Horaires d'ouverture :**|Jeudi : 14h-19h et Samedi : 14h-18h|**Actions proposées :**|- Accès (équipement et connexion)|- Assistance (faire avec)|- Accompagnement individuel|**Publics :**|Tous publics;Espace Public Numérique;;64270;SALIES DE BÉARN;|Jeudi : 14h-19h et Samedi : 14h-18h|;- Accès (équipement et connexion)|- Assistance (faire avec)|- Accompagnement individuel|;Tout public;;;cyberbase@ccbearndesgaves.fr |;. 05 59 38 11 70|;;;oui;oui;;
18;43,360955;-1,399103;En cours;non;Services DDFIP64;TM (Trésorerie mixte) CAMBO-LES-BAINS;TM CAMBO-LES-BAINS|AVENUE DE LA MAIRIE |BP 11 |64250 CAMBO LES BAINS|Accueil des particuliers dans leurs démarches fiscales : OUI;Trésorerie mixte;;64250;CAMBO LES BAINS;;Accueil des particuliers dans leurs démarches fiscales;Tout public;;;;;;;;;;
24;43,185302;-0,113213;En cours;non;Services DDFIP64;TM (Trésorerie mixte) PONTACQ-SOUMOULOU;TM PONTACQ-SOUMOULOU|10 RUE DU STADE |64530 PONTACQ|Accueil des particuliers dans leurs démarches fiscales : OUI;Trésorerie mixte;;64530;PONTACQ;;Accueil des particuliers dans leurs démarches fiscales;Tout public;;;;;;;;;;
88;43,498786;-1,455945;En cours;non;Assistance et coups de pouce;CCAS  Bayonne;30 place des Gascons|64100 Bayonne|Tél. 05 59 50 67 50|Mail. ccas@bayonne.fr|**Horaires d'ouverture :**|8h30-12h et 13h30-17h|**Actions proposées :**|- Diagnostic des besoins numériques|- Assistance (faire avec)|- Orientation vers un partenaire;CCAS;30 place des Gascons|;64100;BAYONNE;|8h30-12h et 13h30-17h|;;Tout public;;;ccas@bayonne.fr|;. 05 59 50 67 50|;;;;;;
3;43,300006;-0,36743;En cours;non;Opérateurs de services publics;MSA Sud-Aquitaine;Mutualité Sociale Agricole SUD AQUITAINE,|1 place Marguerite Laborde  |64000 PAU|Site web : [[http://www.sudaquitaine.msa.fr]]|**Horaires d'ouverture :**|Du lundi au vendredi : 8h30-12h30 et 13h30-16h30|**Activités proposées :**|- 1 ordinateur + imprimante en libre utilisation, après orientation de l'agent d'accueil|**Public :**| Adhérents à laMSA|;MSA;;64000;PAU;|Du lundi au vendredi : 8h30-12h30 et 13h30-16h30|;;Ressortissants MSA;;;;;http://www.sudaquitaine.msa.fr];;;;;
96;43,277065;-0,355875;En cours;non;Assistance et coups de pouce;MSAP Centre Social Cap de Tout;Place Mendès-France|64110 Mazères-Lezons |Tél. 05 59 06 68 70|Mail. csocial@csmazeres.org|**Horaires d'ouverture :**|Mardi : 9h-12h et 14h-19h|Mercredi : 9h-12h et 14h-19h|Jeudi :  9h-12h  et 14h-19h |**Actions proposées :**|- Accès|- Assistance (faire avec)|**Publics :**|Tous publics;MSAP;;64110;MAZÈRES-LEZONS;|Mardi : 9h-12h et 14h-19h|Mercredi : 9h-12h et 14h-19h|Jeudi :  9h-12h  et 14h-19h |;- Accès|- Assistance (faire avec)|;Tout public;;;csocial@csmazeres.org|;. 05 59 06 68 70|;;;;;;
8;43,495139;-1,480145;En cours;non;Services DDFIP64;SIP (Services des Impôts des Particuliers) BAYONNE-ANGLET;SIP BAYONNE-ANGLET|11 RUE VAUBAN |BP 11 |64109 BAYONNE CEDEX|Accueil des particuliers dans leurs démarches fiscales : OUI;SIP;;64109;BAYONNE CEDEX;;Accueil des particuliers dans leurs démarches fiscales;Tout public;;;;;;;;;;
111;43,505118;-1,464292;En cours;non;Accès libre, accompagnement vers l'autonomie et médiation numérique ;MVC Saint-Etienne;9 Rue du Grand Hargous|64100 Bayonne|;Maison de la Vie Citoyenne;9 Rue du Grand Hargous|;64100; BAYONNE;;;;;;;;;;;;oui;
98;43,339951;-1,446859;En cours;non;Assistance et coups de pouce;MSAP d'Espelette (Bureau de poste);Place du Marché|64250 Espelette |Tél. 05 59 93 91 78|Mail. msap.espelette@laposte.fr|**Horaires d'ouverture :**|Lundi 9h-12h et 13h30-17h|Mardi 9h-12h et 13h30-17h|Mercredi 9h-12h et 13h30-17h|Jeudi 9h-12h et 13h30-17h|Vendredi 9h-12h et 13h30-17h30|**Actions proposées :**| - Accès à un îlot de services  ( ordinateur + scan + imprimante ) dans la salle du public  avec un accès aux  services numériques des partenaires. Possibilité de s’isoler dans un bureau pour connexion skype  à partir d’une tablette mise à disposition avec un référent pour chacun des partenaires mais  sur rendez-vous.|- Assistance du chargé de clientèle si nécessaire.|[[https://drive.google.com/file/d/1k7WrqZf5iRYsTso6HiFMqtcNEIdInEID/view?usp=sharing|Plus d'informations]]|**Publics :**|Tous publics;MSAP;;64250; ESPELETTE;|Lundi 9h-12h et 13h30-17h|Mardi 9h-12h et 13h30-17h|Mercredi 9h-12h et 13h30-17h|Jeudi 9h-12h et 13h30-17h|Vendredi 9h-12h et 13h30-17h30|;- Accès à un îlot de services  ( ordinateur + scan + imprimante ) dans la salle du public  avec un accès aux  services numériques des partenaires. Possibilité de s’isoler dans un bureau pour connexion skype  à partir d’une tablette mise à disposition avec un référent pour chacun des partenaires mais  sur rendez-vous.|- Assistance du chargé de clientèle si nécessaire.|[[https://drive.google.com/file/d/1k7WrqZf5iRYsTso6HiFMqtcNEIdInEID/view?usp=sharing|Plus d'informations]]|;Tout public;;;msap.espelette@laposte.fr|;. 05 59 93 91 78|;https://drive.google.com/file/d/1k7WrqZf5iRYsTso6HiFMqtcNEIdInEID/view?usp=sharing|Plus d'informations];;;;;
64;43,327531;-0,388054;En cours;oui;Accès libre, accompagnement vers l'autonomie et médiation numérique ;Déclic-informatique 64;2 allée Millet|64140 Lons|Tél. 06 84 70 25 54|Mail. vl@declic-informatique64.com|**Actions proposées :**|- Diagnostic des besoins numériques|- Assistance (faire avec)|- Formation (apprendre à faire)|**Public :**|Seniors|;Indépendant;2 allée Millet|;64140;LONS;;- Diagnostic des besoins numériques|- Assistance (faire avec)|- Formation (apprendre à faire)|;;;;vl@declic-informatique64.com|;. 06 84 70 25 54|;;;;oui;;
6;43,309319;-0,387219;En cours;non;Opérateurs de services publics;CAF64;"5 rue Louis Barthou|64000 Pau|**Actions proposées :**|Ateliers numériques au sein desquels, les techniciens de la CAF font découvrir l'ensemble des télé services et offre de service en lien avec le site caf.fr|D'une durée de 2h, ces ateliers peuventaccueillir jusqu'à 10 ""stagiaires"" maximum et permettent de faciliter l'apprentissage de l'administration numérique de l'organisme.|**Public :**|Allocataires CAF|Se renseigner auprès de la CAF64";CAF;5 rue Louis Barthou|;64000;PAU;;"Ateliers numériques au sein desquels, les techniciens de la CAF font découvrir l'ensemble des télé services et offre de service en lien avec le site caf.fr|D'une durée de 2h, ces ateliers peuventaccueillir jusqu'à 10 ""stagiaires"" maximum et permettent de faciliter l'apprentissage de l'administration numérique de l'organisme.|";;;;;;;;;;;
138;43,481108;-1,562589;En cours;non;Accès uniquement;[Biarritz_WIFI] Les Halles de Biarritz;Rue des Halles|24h/24;Borne WIFI;Rue des Halles;64200;BIARRITZ;;;;;;;;;;;;;
132;43,482381;-1,56739;En cours;non;Accès uniquement;[Biarritz_WIFI] Plage du Port Vieux;Plage du Port Vieux |24h/24;Borne WIFI;Plage du Port Vieux;64200;BIARRITZ;;;;;;;;;;;;;
28;43,322776;-0,420943;En cours ;non;Vente solidaire de matériel;Croix Rouge Insertion Béarn Solidarité;Avenue Santos Dumont |64230 Lescar|Tél. 05 59 84 21 80|Mail. bearn.solidarité@croix-rouge.fr|Site web : [[http://www.Bearnsolidarité.com]]|**Horaires d'ouverture :**|Du lundi au samedi : 10h-19h|**Actions proposées :**|- Vente à petit tarif d’appareils reconditionnés (label ordi3.0)|**Public :**|Tous|||;Association;Avenue Santos Dumont;64230;LESCAR;|Du lundi au samedi : 10h-19h|;- Vente à petit tarif d’appareils reconditionnés (label ordi3.0)|;;;;bearn.solidarité@croix-rouge.fr|;. 05 59 84 21 80|;http://www.Bearnsolidarité.com];;;;;
16;43,398676;-0,940953;En cours ;non;Assistance et coups de pouce;TM (Trésorerie mixte) BEARN DES GAVES;TM BEARN DES GAVES|30 RUE DU TEMPLE |BP 16 |64390 SAUVETERRE DE BEARN|Accueil des particuliers dans leurs démarches fiscales : OUI;Trésorerie mixte;;64390;SAUVETERRE DE BEARN;;Accueil des particuliers dans leurs démarches fiscales;;;;;;;;;;;
94;43,474875;-0,930006;En cours ;non;Assistance et coups de pouce;MSAP / EVS Le Savoir Partagé;2 avenue Al Cartero|64270 Salies-de-Béarn |Tél. 05 59 38 37 01 |Mail. le-savoir-partage@orange.fr|**Horaires d'ouverture :**|Lundi: 9h-17h30|Mardi: 14h-17h30|Mercredi: 9h-17h30|Jeudi: 9h-17h30|Vendredi: 9h-17h30|**Actions proposées :**|- Accès (équipement et connexion)|- Assistance (faire avec)|**Publics :**|Tous publics|;MSAP;2 avenue Al Cartero|;64270;SALIES-DE-BÉARN;|Lundi: 9h-17h30|Mardi: 14h-17h30|Mercredi: 9h-17h30|Jeudi: 9h-17h30|Vendredi: 9h-17h30|;- Accès (équipement et connexion)|- Assistance (faire avec)|;Tout public;;;le-savoir-partage@orange.fr|;. 05 59 38 37 01 |;;;;;;
102;43,176234;-1,343497;En cours ;non;Assistance et coups de pouce;MSAP de St Etienne de Baigorri (bureau de poste);Rue de la Poste|64430 Saint-Étienne-de-Baïgorry |Tél. 05 59 37 40 01|**Horaires d'ouverture :**|Lundi : 9h-12h et 13h30-16h45|Mardi : 9h-12h et 13h30-16h45|Mercredi : 9h-12h et 13h30-16h45|Jeudi : 9h-12h et 13h30-16h|Vendredi : 9h-12h et 13h30-16h45|**Actions proposées :**| - Accès à un îlot de services  ( ordinateur + scan + imprimante ) dans la salle du public  avec un accès aux  services numériques des partenaires. Possibilité de s’isoler dans un bureau pour connexion skype  à partir d’une tablette mise à disposition avec un référent pour chacun des partenaires mais  sur rendez-vous.|- Assistance du chargé de clientèle si nécessaire.|[[https://drive.google.com/file/d/1GpBdNUhFcOM-QGbMDLYdKkVNpg3pQbRJ/view?usp=sharing|Plus d'informations]]|**Publics :**|Tous publics|;MSAP;;64430;SAINT-ÉTIENNE-DE-BAÏGORRY;|Lundi : 9h-12h et 13h30-16h45|Mardi : 9h-12h et 13h30-16h45|Mercredi : 9h-12h et 13h30-16h45|Jeudi : 9h-12h et 13h30-16h|Vendredi : 9h-12h et 13h30-16h45|;- Accès à un îlot de services  ( ordinateur + scan + imprimante ) dans la salle du public  avec un accès aux  services numériques des partenaires. Possibilité de s’isoler dans un bureau pour connexion skype  à partir d’une tablette mise à disposition avec un référent pour chacun des partenaires mais  sur rendez-vous.|- Assistance du chargé de clientèle si nécessaire.|[[https://drive.google.com/file/d/1GpBdNUhFcOM-QGbMDLYdKkVNpg3pQbRJ/view?usp=sharing|Plus d'informations]]|;Tout public;;;;. 05 59 37 40 01|;https://drive.google.com/file/d/1GpBdNUhFcOM-QGbMDLYdKkVNpg3pQbRJ/view?usp=sharing|Plus d'informations];;;;;
95;43,000149;-0,602576;En cours;non;Assistance et coups de pouce;MSAP Bedous;Centre Multiservices Fénart|64490 Bedous |Tél. 05 59 34 52 53|Mail. msap.aspe@hautbearn.fr|**Horaires d'ouverture :**|Lundi / Jeudi / Vendredi : 8h30-12h30 et 13h30-17h30|Mardi (sur rendez-vous) : 8h30-12h30 et 13h30-17h30|Mercredi : 8h30-11h30 |**Actions proposées:**|Accueil, orientation, information et accompagnement à l'utilisation de services numériques.|**Publics :**|Tous publics;MSAP;;64490;BEDOUS;|Lundi / Jeudi / Vendredi : 8h30-12h30 et 13h30-17h30|Mardi (sur rendez-vous) : 8h30-12h30 et 13h30-17h30|Mercredi : 8h30-11h30 |;ccueil, orientation, information et accompagnement à l'utilisation de services numériques.|;Tout public;;;msap.aspe@hautbearn.fr|;. 05 59 34 52 53|;;;;;;
105;43,38748;0,150982;En cours ;non;Assistance et coups de pouce;MSAP Rabastens;16 Place Centrale|65140 Rabastens-de-Bigorre|Tél. 05 62 96 54 51|Mail. masp-rabastens@adour-madiran.fr|**Horaires d'ouverture :**|Lundi : 8h45-12h|Mardi : 8h45-12h et 13h30-17h|Mercredi : 8h45-12h|Jeudi : 8h45-12h00 et 13h30-17h|Vendredi : 8h45-12h|**Actions proposées :**|- Assistance (faire avec)|**Public :**|Tous publics;MSAP;16 Place Centrale;65140;RABASTENS-DE-BIGORRE;|Lundi : 8h45-12h|Mardi : 8h45-12h et 13h30-17h|Mercredi : 8h45-12h|Jeudi : 8h45-12h00 et 13h30-17h|Vendredi : 8h45-12h|;- Assistance (faire avec)|;Tout public;;;masp-rabastens@adour-madiran.fr|;. 05 62 96 54 51|;;;;;;
99;43,146679;-0,505717;En cours;non;Assistance et coups de pouce;MSAP d'Ogeu (bureau de poste);1 rue du Pont de Taule|64680 Ogeu-les-Bains|Mail. msap.ogeu-les-bains@laposte.fr|**Horaires d'ouverture :**|Lundi : 14h30-18h|Mardi : 9h-12h et 14h30-18h|Mercredi : 9h-12h et 14h30-18h|Jeudi : 9h-12h et 14h30-18h|Vendredi : 9h-12h|**Actions proposées :**|- Accès à un îlot de services  ( ordinateur + scan + imprimante ) dans la salle du public  avec un accès aux  services numériques des partenaires. Possibilité de s’isoler dans un bureau pour connexion skype  à partir d’une tablette mise à disposition avec un référent pour chacun des partenaires mais  sur rendez-vous.|- Assistance du chargé de clientèle si nécessaire.|[[https://drive.google.com/file/d/16kNLmed2z-Dep_LhqA3cxvQfwqUM6UjL/view?usp=sharing|Plus d'informations]]|**Publics :**|Tous publics;MSAP;1 rue du Pont de Taule|;64680;OGEU-LES-BAINS;|Lundi : 14h30-18h|Mardi : 9h-12h et 14h30-18h|Mercredi : 9h-12h et 14h30-18h|Jeudi : 9h-12h et 14h30-18h|Vendredi : 9h-12h|;- Accès à un îlot de services  ( ordinateur + scan + imprimante ) dans la salle du public  avec un accès aux  services numériques des partenaires. Possibilité de s’isoler dans un bureau pour connexion skype  à partir d’une tablette mise à disposition avec un référent pour chacun des partenaires mais  sur rendez-vous.|- Assistance du chargé de clientèle si nécessaire.|[[https://drive.google.com/file/d/16kNLmed2z-Dep_LhqA3cxvQfwqUM6UjL/view?usp=sharing|Plus d'informations]]|;Tout public;;;msap.ogeu-les-bains@laposte.fr|;;https://drive.google.com/file/d/16kNLmed2z-Dep_LhqA3cxvQfwqUM6UjL/view?usp=sharing|Plus d'informations];;;;;
15;43,369682;-0,62511;En cours;non;Services DDFIP64;TM (Trésorerie mixte) BASSIN DE LACQ;TM BASSIN DE LACQ|AVENUE PIERRE ANGOT |64150 MOURENX|Accueil des particuliers dans leurs démarches fiscales : OUI;Trésorerie mixte;;64150;MOURENX;;Accueil des particuliers dans leurs démarches fiscales;Tout public;;;;;;;;;;
110;43,376436;-0,375648;En cours;non;Accès libre, accompagnement vers l'autonomie et médiation numérique ;MSAP/Centre Alexis Peyret;Association Vie et Culture| 2 rue Aristide Finco|64121 Serres-Castet|Tél. 05 59 33 11 66|Mail. cs-alexispeyret@csap.fr|Site Web. [[http://www.csap.fr]]|**Horaires d'ouverture :**|Selon activités (voir ci-dessous)|**Actions proposées :**|1. Espace numérique avec 4 postes informatiques à disposition ainsi que du matériel nécessaire aux scans et impressions de documents. |Du lundi, mardi, jeudi de 9h à 12h et de 14h à 17h30 ainsi que mercredi et vendredi de 14h à 17h30, accompagnement à l’utilisation des services en ligne par un agent MSAP si besoin + adhésion annuelle de 3€ à l’association si fréquentation régulière + accessible à tous||2. Un service de Maison de Service Au Public (MSAP), qui accueille les usagers et les accompagne dans leurs démarches administratives relevant d’un 1er niveau d’information, concernant les organismes : CAF, POLE EMPLOI, CPAM, ANTS. |Sur rendez-vous les mardis et mercredis – gratuit – accessible à tous||3. Séances de découverte informatique pour débutants, avec un apprentissage des bases, gérées par des bénévoles.|Les vendredis de 10h à 11h45 sur inscriptions – 10€ les 10 séances + adhésion annuelle de 3€ à l’association;MSAP;2 rue Aristide Finco;64121;SERRES-CASTET;|Selon activités (voir ci-dessous)|;;Tout public;;;cs-alexispeyret@csap.fr|;. 05 59 33 11 66|;http://www.csap.fr];;;;;
