MATRICULE;DEPARTEMENT;ESPACE FRANCE SERVICES;ADRESSE;COMPLEMENT D'ADRESSE;CODE INSEE;CODE POSTAL;COMMUNE;LATITUDE;LONGITUDE;CONTACT MAIL;TELEPHONE;TYPE STRUCTURE PORTEUSE;STRUCTURE PORTEUSE;HORAIRES LUNDI;HORAIRES MARDI;HORAIRES MERCREDI;HORAIRES JEUDI;HORAIRES VENDREDI;HORAIRES SAMEDI;ITINERANCE;ID RESEAU;RESEAU;LABELLISATION;REMARQUES CDC;
116;17;MSA Jonzac;1 place 8 Mai 1945;;17197;17500;JONZAC;45,447081;-0,432754;;;Opérateur;MSA Jonzac;9h-12h30 et 13h30-17h;9h-12h30 et 13h30-17h;9h-12h30 et 13h30-17h;9h-12h30 et 13h30-17h;9h-12h30 et 13h30-17h;-;;;;Espace labélisé 01/2020;;
117;17;Médis;25 Rue du 4e Zouave ;;17228;17600;MEDIS;45,643817;-0,964325;;;La Poste;La Poste;9h -12h 13h30 -16h30;9h -12h 13h30- 16h30;9h - 12h 13h30 - 16h30;9h -12h30;9h -12h 13h30 - 16h30;-;;;;Espace labélisé 01/2020;;
121;19;Saint-Ybard;1 Rue des Fontaines;;19248;19140;ST YBARD;45,447364;1,521527;mairie.saint-ybard@wanadoo.fr;;Collectivité;Commune (et partenariat privilégié avec chambre d’agriculture);8h30 - 12h / 13h30 – 17h;8h30 - 12h / 13h30 – 17h;8h30 – 12h;8h30 - 12h / 13h30 – 17h;8h30 - 12h / 13h30 – 17h;-;;;;Espace labélisé 01/2020;;
122;19;Ayen;Place Louis Mareuse;;19015;19310;AYEN;45,246503;1,326471;rsp.mairieayen@orange.fr;;Collectivité;Commune;9h - 12h / 14h – 16h30;9h - 12h / 14h – 16h30;9h - 12h / 14h – 16h30;9h - 12h / 14h – 16h30;9h - 12h / 14h – 16h30;9h – 12h;;;;Espace labélisé 01/2020;;
123;19;Chamberet;Place du Monument;;19036;19370;CHAMBERET;45,5831;1,720982;contact@mairie-chamberet.fr;;La Poste;La Poste;9h - 12h / 14h – 17h;9h - 12h / 14h – 17h;9h - 12h / 14h – 17h;9h - 12h / 14h – 17h;9h - 12h / 14h – 17h;9h – 12h;;;;Espace labélisé 01/2020;;
137;23;Boussac;Quartier Pasteur;;23031;23600;BOUSSAC;46,349084;2,216669;msapboussac23@orange.fr;;Collectivité;Communauté de communes Creuse Confluence;9h-12h/13h30-17h;9h-12h/13h30-17h;9h-12h/14h-16h30;9h-12h/13h30-17h;9h-12h/14h-16h30;9h30-12h;;;;Espace labélisé 01/2020;;
138;23;La Palette;9 Place de la Poste;;23075;23800;DUN LE PALESTEL;46,305329;1,663737;contact@lapalette23.fr;5 87 66 00 00;Collectivité;Communauté de communes du Pays Dunois;         Juin à septembre :14h-17h30         Eté : 10h-12h30/13h30-18h;Juin à septembre :9h-12h/14h-17h30 Été : 10h-12h30/13h30-18h  ;Juin à septembre :9h-12h/14h-17h30     Été : 10h-12h30/13h30-18h;Juin à septembre :9h-12h/14h-17h30     Été : 10h-12h30/13h30-18h;         Juin à septembre :14h-17h30          Été : 10h-12h30/13h30-18h;Juin à septembre : 9h-12h;;;;Espace labélisé 01/2020;;
139;24;Belvès;58 Avenue du Lieutenant Giffault;;24035;24170;PAYS DE BELVES;44,774489;1,002403;msap24220@ccvdfb.fr;;Collectivité;CC Dordogne Forêt Bessede;9h-12h;9h12h 13h30 -16h30;9h-12h;9h12h 13h30 -16h30;9h12h 13h30 -16h30;-;;;;Espace labélisé 01/2020;;
140;24;Thenon Hautefort - Thenon;5, place Montaigne;;24550;24210;THENON;45,136399;1,071554;contact@cctth.fr;;Collectivité;CCAS;9h-12h 13H30-16H;9h - 12h  14h – 17h30;9h - 12h  14h – 17h30;14h-17h30;9h - 12h  14h – 17h30;-;;;;Espace labélisé 01/2020;;
141;24;Lanouaille;9 place de la Fontaine Bugeaud;;24227;24270;LANOUAILLE;45,391435;1,139449;;;La Poste;La Poste;9h-12h 13H30-16H;9h-12h 13H30-16H;9h-12h 13H30-16H;9h-12h 13H30-16H;9h-12h 13H30-16H;9h-12h;;;;Espace labélisé 01/2020;;
142;24;Nontron;12 bis Boulevard Gambetta;;24311;24300;NONTRON;45,532329;0,660902;;;Etat;Sous préfecture;9h-12h 13h-15h;9h-12h 14H-16H;9h-12h 14h-16H;9h-12h 13h-15h;9h-12h 14h-16H;-;;;;Espace labélisé 01/2020;;
143;24;Thenon Hautefort - Hautefort;200 avenue Sylvain Floirat;;24210;24390;HAUTEFORT;45,260751;1,146947;csi.thenon@wanadoo.fr;;Collectivité;Mairie de Hautefort;9h-12h 13h30-17h;9h-12h 13h30-17h;9h-12h 13h30-17h;9h-12h 13h30-17h;9h-12h 13h30-17h;-;;;;Espace labélisé 01/2020;;
144;24;Mussidan;Place Woodbridge;;24299;24400;MUSSIDAN;45,037127;0,364799;;;Collectivité;CC Isle Crempse en Perigord;9h-12h 14H-16H;9h-12h 14H-16H;9h-12h 14H-16H;9h-12h 14H-16H;9h-12h 14H-16H;-;;;;Espace labélisé 01/2020;;
145;24;Saint Exupéry;60 ter Avenue du Général de Gaulle;Espace Jules Verne;24138;24660;COULOUNIEIX CHAMIERS;45,189052;0,697801;cscc24.correa@gmail.com;;Association;Centre social Saint Exupéry;8h30-12h 13h30-17h;8h30-12h 13h30-17h;8h30-12h 13h30-17h;8h30-12h 13h30-17h;8h30-12h 13h30-17h;-;;;;Espace labélisé 01/2020;;
193;33;Sainte Foy la Grande;12 boulevard Charles Garrau;;33402;33220;STE FOY LA GRANDE;44,839036;0,219476;msap-stefoy@paysfoyen.fr;5 57 48 60 90;Collectivité;;9h 12h / 13h30 17h;9h-12h / 13h30-17h;9h-12h / 13h30-17h;9h-12h / 13h30-17h;9h-12h / 13h30-17h;-;;;;Espace labélisé 01/2020;;
195;33;Rauzan;11 grand rue;;33350;33420;RAUZAN;44,779665;-0,124905;;;La Poste;La Poste;;;;;;;;;;Espace labélisé 01/2020;;
196;33;Cussac Fort Médoc;34, avenue du haut médoc;;33146;33460;CUSSAC FORT MEDOC;45,114496;-0,73088;msap-cussacfortmedoc@orange.fr;;;;;;;;;;;;;Espace labélisé 01/2020;;
197;33;Ste Eulalie;1 pl Charles de Gaulle;;33397;33560;STE EULALIE;44,908396;-0,473335;ccas@mairie-ste-eulalie.fr;;;;;;;;;;;;;Espace labélisé 01/2020;;
198;33;Pessac;Rue de l'Horloge;;33318;33600;PESSAC;44,791606;-0,628367;;;;;;;;;;;;;;Espace labélisé 01/2020;;
199;33;Lacanau;3 Rue de l'Aiguillonne;;33214;33680;LACANAU;44,978789;-1,073617;pole.aiguillonne@lacanau.fr;;;;;;;;;;;;;Espace labélisé 01/2020;;
200;33;Captieux;Place du 8 mai 1945;;33095;33840;CAPTIEUX;44,291757;-0,261174;;;;;;;;;;;;;;Espace labélisé 01/2020;;
246;40;Pays d'Orthe et Arrigans;156 route de Mahoumic;;40224;40300;PEYREHORADE;43,55478;-1,122575;;;;;;;;;;;;;;Espace labélisé 01/2020;;
247;40;Geaune;2 rue de la Poste;;40110;40320;GEAUNE;43,640403;-0,379791;;;La Poste;La Poste;;;;;;;;;;Espace labélisé 01/2020;;
248;40;Rion-des-Landes;144 avenue Frédéric Bastiat;;40243;40370;RION DES LANDES;43,933235;-0,922735;;;La Poste;La Poste;;;;;;;;;;Espace labélisé 01/2020;;
249;40;Aire-sur-l’Adour;4 rue René Méricam ;;40001;40800;AIRE SUR L ADOUR;43,700463;-0,2611;;;;;;;;;;;;;;Espace labélisé 01/2020;;
268;47;Duras;14, boulevard Jean Brisseau;;47086;47120;DURAS;44,677266;0,182852;;;Collectivité;Communauté de communes du Pays de Duras;9h – 12h 30 / 13h 30 - 18h;9h – 12h 30 / 13h 30 - 18h;9h – 12h 30 / 14h – 17h;9h – 12h 30 / 13h 30 - 18h;9h – 12h 30 / 14h – 17h;-;;;;Espace labélisé 01/2020;;
269;47;Laplume ;Place du Foirail;Bureau de Poste;47137;47310;LAPLUME;44,112746;0,530547;;;La Poste;La Poste;9h -11h 30 / 14 h – 16 h 45;9h -11h 30 / 14 h – 16 h 45;9h -11h 30 / 14 h – 16 h 45;9h -11h 30 / 14 h – 16 h 45;9h -11h 30 / 14 h – 16 h 45;9 h 30-12 h ;;;;Espace labélisé 01/2020;;
270;47;Nérac;10 place Aristide Briand ;Centre Haussmann;47195;47600;NERAC;44,137012;0,338267;msap@albretcommunaute.fr;;Collectivité;Communauté de communes Albret Communauté ;9h -12h / 14 h – 17 h ;9h -12h / 14 h – 17 h ;9h -12h / 14 h – 17 h ;9 h -  12 h;9 h -  12 h;-;Oui;;;Espace labélisé 01/2020;;
385;64;Mauléon-Licharre;15 Avenue Maréchal Foch;;64102;64100;BAYONNE;43,493858;-1,482345;;;Collectivité;CAPB;9h-12h/13h30-17h;9h-12h/13h30-17h;9h-12h/13h30-17h;9h-12h/13h30-17h;9h-12h/13h30-17h;-;;;;Espace labélisé 01/2020;;
386;64;Mourenx;2 Place du Béarn;;64410;64150;MOURENX;43,371361;-0,629368;;;Association;Association loi 1901;14h-18h;9h-12h/14h-18h;9h-12h;9h-12h/14h-18h;9h-12h/14h-17h;-;;;;Espace labélisé 01/2020;;
460;79;Niort;10ter rue Jules Siegfried;;79191;79000;NIORT;46,315634;-0,481648;;;Collectivité;Commune de NIORT;8 h 45 – 12 h 30 / 13 h 45  – 17 h 30;10 h – 12 h 30 / 13 h 45  – 17 h 30;8 h 45 – 12 h 30 / 13 h 45 – 17 h 30;8 h 45 – 12 h 30 / 13 h 45 – 17 h 30;8 h 45 – 12 h 30 / 13 h 45 – 17 h 30;-;;;;Espace labélisé 01/2020;;
461;79;Argentonnay;4 place Léopold Bergeron;;79013;79150;ARGENTONAY;46,984737;-0,444555;msap@argentonnay.fr;;Collectivité;Commune d' ARGENTONNAY;9 h – 12 h 30 / 13 h 30  – 17 h ;9 h – 12 h 30 / 13 h 30  – 17 h ;9 h – 12 h 30 / 13 h 30  – 17 h ;9 h – 12 h 30 / 13 h 30   – 17 h ;9 h – 12 h 30 / 13 h 30 – 17 h ;-;;;;Espace labélisé 01/2020;;
462;79;Sauze-Vaussais;40 grand’ rue;;79307;79190;SAUZE VAUSSAIS;46,133713;0,107145;;;Collectivité;CC Mellois en Poitou;-;9 h 30 – 12 h 30 / 14 h  – 16 h 30;14 h – 16 h 30;9 h 30 – 12 h 30 / 13 h 30 – 17 h;9 h 30 – 12 h 30 / 13 h 30 – 17 h;9 h 30 – 12 h 30;;;;Espace labélisé 01/2020;;
463;79;Saint-Maixent-l'Ecole;7 boulevard de la Trouillette;;79270;79400;SAINT-MAIXENT-L’ECOLE;46,410976;-0,209758;;;Collectivité;CC Haut Val de Sèvre;9 h – 12 h 30 / 13 h 30 – 17 h ;9 h – 12 h 30 / 13 h 30 – 17 h ;9 h – 12 h 30 ;9 h – 12 h 30 / 13 h 30 – 17 h ;9 h – 12 h 30 / 13 h 30 – 17 h ;-;;;;Espace labélisé 01/2020;;
464;79;Airvault;16ter rue Emmanuel Bonnet;;79005;79600;AIRVAULT;46,823802;-0,136877;dgs@airvault.fr;;Collectivité;Commune d'AIRVAULT;8 h 30 – 1 2h 30 / 13 h 30 – 18 h 30;8 h 30 – 12 h 30 / 13 h 30 – 17 h 30;8 h 30 – 17 h 30;8 h 30 – 12 h 30 / 13 h 30 – 17 h 30;8 h 30 – 17 h 30;-;;;;Espace labélisé 01/2020;;
465;79;Mauléon;8 grand ‘rue;;79079;79700;MAULEON;46,923074;-0,74859;msapmauleon@orange.fr;;Collectivité;Commune de MAULEON;9 h 30 – 12 h 30 ;9 h 30 – 12 h 30 / 14 h – 17 h;9 h 30 – 12 h 30 / 14 h – 17 h;9 h 30 – 12 h 30 / 14 h – 17 h;9 h 30 – 12 h 30 / 14 h – 17 h;-;;;;Espace labélisé 01/2020;;
507;86;PIMMS Saint-Eloi;15 avenue de la fraternité;;86194;86000;POITIERS;46,589976;0,38297;poitiers.st-eloi@pimms.org;;PIMMS;Union Nationale des PIMMS;9h30– 12h30;9h30 – 12h30 / 14h - 18h;9h30 - 12h30 / 14h - 17h;9h30 - 12h30 / 14h - 17h;9h30– 12h30;-;;;;Espace labélisé 01/2020;;
511;87;Châlus;28 Avenue François Mittérrand;;87032;87230;CHALUS;45,654527;0,981322;accueil@paysdenexon-montsdechalus.fr;;Collectivité;Communauté de Communes;9h-12h30/13h30-17h00;9h-12h30/13h30-17h00;9h-12h30/13h30-17h00;9h-12h30/13h30-17h00;9h-12h30/13h30-17h00;-;;;;Espace labélisé 01/2020;;
513;87;Châteauponsac;Place Ducoux;;87041;87290;CHATEAUPONSAC;46,132678;1,277431;msap.chateauponsac@orange.fr;;Collectivité;Commune;14h-17h;9h-12h / 14h-17h;9h-12h / 14h-17h;9h-12h / 14h-17h;9h-12h / 14h-17h;9h-12h;;;;Espace labélisé 01/2020;;
515;87;Nexon;5 Rue Jean-Jacques Rousseau;;87106;87800;NEXON;45,681147;1,183637;msap.nexon@orange.fr;;Association;AAJPN;14h - 19h;9h - 12h30 / 14h - 19h;9h - 12h30 / 14h - 19h;9h - 12h30 / 14h - 19h;9h - 12h30 / 14h - 19h;-;;;;Espace labélisé 01/2020;;
579;16;Centre Social Culturel et Sportif du Pays Manslois;21 rue Martin;;16206;16230;MANSLE;45,876895;0,17784;;5 45 20 72 08;Association;CSCS Pays Manslois;9h - 12h / 14h - 18h;9h - 12h / 14h - 18h;9h - 12h / 14h - 18h;9h - 12h / 14h - 18h;9h - 12h / 14h - 18h;-;;;;Espace labélisé 01/2020;;
590;17;Tonnay-Charente – Itinérante;20 Avenue du Général de Gaulle ;;17449;17430;TONNAY CHARENTE;45,944822;-0,894744;;;Association;CAP Tonnay-Charente;8h30-12h30    13h30-17h30;9h00- 12h30   13h30-17h30;13h30-17h00;9h00-12h30      13h30-17h30;9h00-12h30   13h30-17h00;-;Oui;;;Espace labélisé 01/2020;;
601;64;Pau - Quartier Ousse des Bois;8, rue Parc-en-ciel;Quartier Ousse des Bois;64445;64000;PAU;43,321846;-0,343692;;;Collectivité;VILLE DE PAU;9h30-16h30;9h30-16h30;9h30-16h30;-;-;-;;;;Espace labélisé 01/2020;;
602;64;Pau - Quartier Saragosse;2 rue du 8 mai 1945;Quartier Saragosse;64445;64000;PAU;43,307582;-0,362449;;;Collectivité;VILLE DE PAU;;;9h30-16h30;9h30-16h30;9h30-16h30;-;;;;Espace labélisé 01/2020;;
607;47;Albret - Lavardac;10, place Aristide Briand ;Centre Haussmann;47195;47600;NERAC;44,181446;0,30049;;;Collectivité;Communauté de communes Albret Communauté ;9h -12h / 14 h – 17 h ;9h -12h / 14 h – 17 h ;9h -12h / 14 h – 17 h ;9 h -  12 h;9 h -  12 h;-;;;;Espace labélisé 01/2020;;
621;47;Albret - Buzet;10, place Aristide Briand ;Centre Haussmann;47195;47600;NERAC;44,13701;0,338267;;;Collectivité;Communauté de communes Albret Communauté ;9h -12h / 14 h – 17 h ;9h -12h / 14 h – 17 h ;9h -12h / 14 h – 17 h ;9 h -  12 h;9 h -  12 h;-;;;;Espace labélisé 01/2020;;
622;47;Albret - Mézin;10, place Aristide Briand ;Centre Haussmann;47195;47600;NERAC;44,13701;0,338267;;;Collectivité;Communauté de communes Albret Communauté ;9h -12h / 14 h – 17 h ;9h -12h / 14 h – 17 h ;9h -12h / 14 h – 17 h ;9 h -  12 h;9 h -  12 h;-;;;;Espace labélisé 01/2020;;
623;47;Albret - Sos;10, place Aristide Briand ;Centre Haussmann;47195;47600;NERAC;44,18145;0,338267;;;Collectivité;Communauté de communes Albret Communauté ;9h -12h / 14 h – 17 h ;9h -12h / 14 h – 17 h ;9h -12h / 14 h – 17 h ;9 h -  12 h;9 h -  12 h;-;;;;Espace labélisé 01/2020;;
385;64;Mauléon-Licharre;15 Avenue Maréchal Foch;;64102;64100;BAYONNE;43,493858;-1,482345;;;Collectivité;CAPB;9h-12h/13h30-17h;9h-12h/13h30-17h;9h-12h/13h30-17h;9h-12h/13h30-17h;9h-12h/13h30-17h;-;;;;Espace labélisé 01/2020;;
386;64;Mourenx;2 Place du Béarn;;64410;64150;MOURENX;43,371361;-0,629368;;;Association;Association loi 1901;14h-18h;9h-12h/14h-18h;9h-12h;9h-12h/14h-18h;9h-12h/14h-17h;-;;;;Espace labélisé 01/2020;;
460;79;Niort;10ter rue Jules Siegfried;;79191;79000;NIORT;46,315634;-0,481648;;;Collectivité;Commune de NIORT;8 h 45 – 12 h 30 / 13 h 45  – 17 h 30;10 h – 12 h 30 / 13 h 45  – 17 h 30;8 h 45 – 12 h 30 / 13 h 45 – 17 h 30;8 h 45 – 12 h 30 / 13 h 45 – 17 h 30;8 h 45 – 12 h 30 / 13 h 45 – 17 h 30;-;;;;Espace labélisé 01/2020;;
461;79;Argentonnay;4 place Léopold Bergeron;;79013;79150;ARGENTONAY;46,984737;-0,444555;msap@argentonnay.fr;;Collectivité;Commune d' ARGENTONNAY;9 h – 12 h 30 / 13 h 30  – 17 h ;9 h – 12 h 30 / 13 h 30  – 17 h ;9 h – 12 h 30 / 13 h 30  – 17 h ;9 h – 12 h 30 / 13 h 30   – 17 h ;9 h – 12 h 30 / 13 h 30 – 17 h ;-;;;;Espace labélisé 01/2020;;
462;79;Sauze-Vaussais;40 grand’ rue;;79307;79190;SAUZE VAUSSAIS;46,133713;0,107145;;;Collectivité;CC Mellois en Poitou;-;9 h 30 – 12 h 30 / 14 h  – 16 h 30;14 h – 16 h 30;9 h 30 – 12 h 30 / 13 h 30 – 17 h;9 h 30 – 12 h 30 / 13 h 30 – 17 h;9 h 30 – 12 h 30;;;;Espace labélisé 01/2020;;
463;79;Saint-Maixent-l'Ecole;7 boulevard de la Trouillette;;79270;79400;SAINT-MAIXENT-L’ECOLE;46,410976;-0,209758;;;Collectivité;CC Haut Val de Sèvre;9 h – 12 h 30 / 13 h 30 – 17 h ;9 h – 12 h 30 / 13 h 30 – 17 h ;9 h – 12 h 30 ;9 h – 12 h 30 / 13 h 30 – 17 h ;9 h – 12 h 30 / 13 h 30 – 17 h ;-;;;;Espace labélisé 01/2020;;
464;79;Airvault;16ter rue Emmanuel Bonnet;;79005;79600;AIRVAULT;46,823802;-0,136877;dgs@airvault.fr;;Collectivité;Commune d'AIRVAULT;8 h 30 – 1 2h 30 / 13 h 30 – 18 h 30;8 h 30 – 12 h 30 / 13 h 30 – 17 h 30;8 h 30 – 17 h 30;8 h 30 – 12 h 30 / 13 h 30 – 17 h 30;8 h 30 – 17 h 30;-;;;;Espace labélisé 01/2020;;
465;79;Mauléon;8 grand ‘rue;;79079;79700;MAULEON;46,923074;-0,74859;msapmauleon@orange.fr;;Collectivité;Commune de MAULEON;9 h 30 – 12 h 30 ;9 h 30 – 12 h 30 / 14 h – 17 h;9 h 30 – 12 h 30 / 14 h – 17 h;9 h 30 – 12 h 30 / 14 h – 17 h;9 h 30 – 12 h 30 / 14 h – 17 h;-;;;;Espace labélisé 01/2020;;
507;86;PIMMS Saint-Eloi;15 avenue de la fraternité;;86194;86000;POITIERS;46,589976;0,38297;poitiers.st-eloi@pimms.org;;PIMMS;Union Nationale des PIMMS;9h30– 12h30;9h30 – 12h30 / 14h - 18h;9h30 - 12h30 / 14h - 17h;9h30 - 12h30 / 14h - 17h;9h30– 12h30;-;;;;Espace labélisé 01/2020;;
511;87;Châlus;28 Avenue François Mittérrand;;87032;87230;CHALUS;45,654527;0,981322;accueil@paysdenexon-montsdechalus.fr;;Collectivité;Communauté de Communes;9h-12h30/13h30-17h00;9h-12h30/13h30-17h00;9h-12h30/13h30-17h00;9h-12h30/13h30-17h00;9h-12h30/13h30-17h00;-;;;;Espace labélisé 01/2020;;
513;87;Châteauponsac;Place Ducoux;;87041;87290;CHATEAUPONSAC;46,132678;1,277431;msap.chateauponsac@orange.fr;;Collectivité;Commune;14h-17h;9h-12h / 14h-17h;9h-12h / 14h-17h;9h-12h / 14h-17h;9h-12h / 14h-17h;9h-12h;;;;Espace labélisé 01/2020;;
515;87;Nexon;5 Rue Jean-Jacques Rousseau;;87106;87800;NEXON;45,681147;1,183637;msap.nexon@orange.fr;;Association;AAJPN;14h - 19h;9h - 12h30 / 14h - 19h;9h - 12h30 / 14h - 19h;9h - 12h30 / 14h - 19h;9h - 12h30 / 14h - 19h;-;;;;Espace labélisé 01/2020;;
601;64;Pau - Quartier Ousse des Bois;8, rue Parc-en-ciel;Quartier Ousse des Bois;64445;64000;PAU;43,321846;-0,343692;;;Collectivité;VILLE DE PAU;9h30-16h30;9h30-16h30;9h30-16h30;-;-;-;;;;Espace labélisé 01/2020;;
602;64;Pau - Quartier Saragosse;2 rue du 8 mai 1945;Quartier Saragosse;64445;64000;PAU;43,307582;-0,362449;;;Collectivité;VILLE DE PAU;;;9h30-16h30;9h30-16h30;9h30-16h30;-;;;;Espace labélisé 01/2020;;
