slug;typeCommunecter;tags;url;shortDescription;image;description;__recordKey__;email;address;geo;@type;name;geo_latitude;geo_longitude;geometrie;url_communecter;address_addresslocality;address_codeinsee;address_postalcode;address_streetaddress
wereso;LocalBusiness;"TiersLieux;Plus de 200m2;En fonctionnement;Coworking;Salle de réunion;Télétravail;Business;Domiciliation";"{""website"": ""http://wereso.com/"", ""communecter"": ""https://www.communecter.org/#@wereso"", ""api"": ""https://www.communecter.org/api/organization/get/id/57adc6f140bb4e33208a6a13""}";<h1>La solution unique de salles de réunion et de bureaux</h1><br>;https://opendata.lillemetropole.fr/api/v2/catalog/datasets/reseau-de-tiers-lieux-de-la-mel/files/aaeb68321bbad915facde0afbef40f6f;"**Le lieu :**  
• Au 5 ème étage du bâtiment  
• Salon d'entrée avec 3 ordinateurs à disposition, espace réseau / pause  
• 1 cuisine avec 2 frigos et micro-ondes  
• Douches  
• Espace partagé modulable selon les besoins  
• Call boxes (petites pièces pour téléphoner et skyper avec écran)  
• 2 salles de réunion avec lumière du jour de 7 à 30 participants, grand écran compatible tout  
ordinateur + paperboard  
• 2 espaces de rendez-vous pour les coworkers qui veulent travailler ensemble. La présence  
des invités est prise en charge par leur hôte.  
• 5 bureaux privatifs avec 1 à 3 postes  

**- Le service :**  
• Inclus dans les tarifs : imprimante / copieur / scanner , café, eau, wifi  
• Une personne sur place tous les jours de 8 à 18h pour assurer l'accueil, répondre aux questions, et connecter les gens les uns avec les autres  
• Possibilité de louer une place de parking à la demi-journée, à la journée, au mois  
• Service domiciliation commerciale et juridique  
• Journée de test offerte  

**Tarifs :**  
• Bureau « nomade » (placement libre) :  
o En unités de temps (You-T = 1/2h de présence) :  
 - Jusqu'à 49, 1 You-T = 3€  
 - Jusqu’à 199, 1 You-T = 2,50€  
 - A partir de 200 UT, 1 You-T = 1,90€.  
Au bout de 5h de présence consécutive, le reste de la journée n'est pas facturé.  
o Abonnement mensuel : 240€ / mois (195€ le 1 er mois) : accès illimité à l'espace  
24h/24 grâce à une clef, domiciliation juridique de l’entreprise comprise.  
• Bureau attitré dans l’espace partagé : 340€ / mois  
• Bureau privatif (bureau fermé, personnel ou partagé avec un coworker) : 500€ / mois, avec ligne téléphonique fixe et communications non surtaxées incluses  
→ Inclus avec les bureaux attitrés et privatifs : accès illimité à l’espace 24h/24 grâce à une clef, domiciliation commerciale et / ou juridique comprise, possibilité de laisser ses affaires et de personnaliser son espace.

**Animations :**  
Weréso Academy : 2 fois / semaine, conférence thématique assurée par un coworker ou par une  
personne extérieure qui transmet son expertise. Format petit déjeuner avec une quinzaine de  
personnes. Tarif inclus pour les membres, 10€ pour les extérieurs. Thématiques : RH, coaching,  
web, organisation, conférence d'un entrepreneur etc.  

**Le profil des coworkers :**  
• Objectif : mixité professionnelle et générationnelle  
• Des salariés de grandes entreprises (collaborateurs en région), des salariés de TPE/PME et  
des indépendants qui ont créé leur activité  
• Nombres de membres actifs : 50";57adc6f140bb4e33208a6a13;hello@wereso.com;"{""addressCountry"": ""FR"", ""addressLocality"": ""LILLE"", ""streetAddress"": ""104 rue Nationale"", ""postalCode"": ""59000"", ""codeInsee"": ""59350"", ""@type"": ""PostalAddress""}";"{""latitude"": 50.6306185, ""@type"": ""GeoCoordinates"", ""longitude"": 3.047481}";Organization;Weréso;50.6306185;3.047481;50.6306185,3.047481;https://www.communecter.org/#@wereso;LILLE;59350;59000;104 rue Nationale
lhybride1;NGO;"Cinema associatif;Bar;TiersLieux;Cinéma;Court-métrage;documentaire;exposition";"{""website"": ""http://lhybride.org/"", ""communecter"": ""https://www.communecter.org/#@lhybride1"", ""api"": ""https://www.communecter.org/api/organization/get/id/57e260fc40bb4e5b2cc4c9db""}";<p>Lieu de réhydratation culturelle</p>;https://opendata.lillemetropole.fr/api/v2/catalog/datasets/reseau-de-tiers-lieux-de-la-mel/files/5088112f0400a46deb5343af8f8e3f29;"Lieu culturel dédié à l’audiovisuel, L’hybride a ouvert ses portes en 2007\. Il propose trois soirs par semaine une programmation dédiée aux formes audiovisuelles indépendantes : court métrage, animation, expérimental, documentaire, long indépendant, transdisciplinaire (musique-image, spectacle vivant-image, arts plastiques-images). L’hybride accueille également deux fois par an une exposition consacrée à des collectifs ou artistes d'ici ou d'ailleurs. La convivialité et l’échange autour des œuvres se placent au cœur du projet, avec un espace original proposant un grand écran, un bar et des canapés, et de nombreuses rencontres avec des professionnels.  

Toute les infos : lhybride.org";57e260fc40bb4e5b2cc4c9db;contact@lhybride.org;"{""addressCountry"": ""FR"", ""addressLocality"": ""LILLE"", ""streetAddress"": ""18 rue Gosselet"", ""postalCode"": ""59000"", ""codeInsee"": ""59350"", ""@type"": ""PostalAddress""}";"{""latitude"": 50.6261472, ""@type"": ""GeoCoordinates"", ""longitude"": 3.0664334}";Organization;L'hybride;50.6261472;3.0664334;50.6261472,3.0664334;https://www.communecter.org/#@lhybride1;LILLE;59350;59000;18 rue Gosselet
coworkingHautedeuleEnCours;Group;TiersLieux;"{""communecter"": ""https://www.communecter.org/#@coworkingHautedeuleEnCours"", ""api"": ""https://www.communecter.org/api/organization/get/id/58c672ee40bb4ef735343ed2""}";;;"Collectif en cours de formation pour faire naître un projet de tiers-lieux en **Haute-Deûle**.  

Contact : william@jetravailleauvert.org";58c672ee40bb4ef735343ed2;;"{""addressCountry"": ""FR"", ""addressLocality"": ""ANNOEULLIN"", ""streetAddress"": ""Léon Blum"", ""postalCode"": ""59112"", ""codeInsee"": ""59011"", ""@type"": ""PostalAddress""}";"{""latitude"": ""50.53151616691332"", ""@type"": ""GeoCoordinates"", ""longitude"": ""2.93485164642334""}";Organization;Coworking Haute-Deûle - En cours;50.53151616691332;2.93485164642334;50.5315161669,2.93485164642;https://www.communecter.org/#@coworkingHautedeuleEnCours;ANNOEULLIN;59011;59112;Léon Blum
le240;NGO;"TiersLieux;Coworking;Cuisine;PeuCher";"{""website"": ""http://le240.fr/"", ""communecter"": ""https://www.communecter.org/#@le240"", ""api"": ""https://www.communecter.org/api/organization/get/id/58c6fbbb40bb4ead4e92bed3""}";<p>Espace de coworking peu couteux pour les étudiants et travailleurs indépendant.<br></p><br>;https://opendata.lillemetropole.fr/api/v2/catalog/datasets/reseau-de-tiers-lieux-de-la-mel/files/ce3b2958f86da59f962850908e5cd5b1;"# Le Boursier

Accès 9h-19h  
Accès à toutes les salles & services  
Libre accès cuisine  
Certificats de présence  
(pour les parents)  
Impression Fair Use

#### 24€ TTC /mois

# L'Etudiant

Accès 9h-19h  
Accès à toutes les salles & services  
Libre accès cuisine  
Certificats de présence  
(pour les parents)  
Impression Fair Use

#### 35€ TTC /mois

# L'Habitué

Accès 9h-19h  
Accès à toutes les salles & services  
(sous réservation)  
Cuisine à disposition  
Impression Fair Use

#### 95€ TTC /mois

# L'Occasionnel

Cet abonnement vous permet de participer aux différents événements que propose le240.fr ainsi que la possibilité de privatiser les salles pour vos activitésà partir de

#### 5€ TTC /mois";58c6fbbb40bb4ead4e92bed3;contact@le240.fr;"{""addressCountry"": ""FR"", ""addressLocality"": ""LILLE"", ""streetAddress"": ""240 rue Nationale"", ""postalCode"": ""59000"", ""codeInsee"": ""59350"", ""@type"": ""PostalAddress""}";"{""latitude"": ""50.631201"", ""@type"": ""GeoCoordinates"", ""longitude"": ""3.048507""}";Organization;Le 240;50.631201;3.048507;50.631201,3.048507;https://www.communecter.org/#@le240;LILLE;59350;59000;240 rue Nationale
workco;Group;"Nord;TiersLieux";"{""communecter"": ""https://www.communecter.org/#@workco"", ""api"": ""https://www.communecter.org/api/organization/get/id/57220ed240bb4e55389673c2""}";;;;57220ed240bb4e55389673c2;;;;Organization;Work&Co;;;;https://www.communecter.org/#@workco;;;;
tilios;Group;"TiersLieux;Commun;Fabmob";"{""website"": ""http://coop-group.org/tiers-lieux/wakka.php?wiki=PagePrincipale"", ""communecter"": ""https://www.communecter.org/#@tilios"", ""api"": ""https://www.communecter.org/api/organization/get/id/57220ed240bb4e55389673cf""}";;;;57220ed240bb4e55389673cf;;;;Organization;Tilios;;;;https://www.communecter.org/#@tilios;;;;
mutualab;Group;"Lille;Nord;TiersLieux;Commun;Catalyst;SallesDeRéunion;Plus de 200m2;En fonctionnement;Association;Restaurant;Achat groupé;Cuisine à disposition;Fablab;Télétravail";"{""website"": ""http://mutualab.org/"", ""communecter"": ""https://www.communecter.org/#@mutualab"", ""api"": ""https://www.communecter.org/api/organization/get/id/57220ed340bb4e5538967419""}";"<h1>Bienvenue à MUTUALAB !</h1>
<p>Développez vos projets, rencontrez, échangez, faites germer vos idées…</p><br>";https://opendata.lillemetropole.fr/api/v2/catalog/datasets/reseau-de-tiers-lieux-de-la-mel/files/4a2ed77748141ff4ab3020c16451cc1c;"Mutualab est un lieu ouvert d’innovation sociale qui permet de travailler autrement, de développer son réseau, partager son savoir et initier ses projets  

1000m² sur 2 étages à aménager qui vous donneront accès à :  

• Un coworking pour les travailleurs « nomades » au rez-de-chaussée et des espaces résidents à l'étage  
• Un MakerSpace pour faire du prototypage et du bricolage  
• Bis2Fly : un restaurant bio et local  
• Un petit espace détente (table basse et canapé / fauteuils)  
• Des bureaux de réception sont mis gratuitement à disposition  
• Deux salles de réunion plus grandes et un espace événementiel, à louer pour des ateliers, des réunions, des conférences (tarifs spécifiques pour les coworkers)  
• Une cuisine complète  
• Une table de ping-pong !  
• Des isoloirs pour téléphoner  
• Des vestiaires  
• Des places de stationnement  

Mutualab est porté par l'association CoworkingLille qui participe aux collectifs lillois Catalyst, Lille Makers, et au groupe Coworking France. Nous sommes depuis peu un lieu associé du réseau TechPlaces. Notre but est de permettre à ces espaces d’un nouveau genre d’exister à Lille dans un esprit de coopération et de mutualisation, d’en développer et d’en promouvoir les valeurs.  

**Tarifs :**  
• Pour le coworking « nomade » :  
◦ Abonnement au mois : 140€. Inclut imprimante / scanner, ainsi que des casiers de  
rangement.  
◦ Ticket journée : 7 à 14€ / jour (tarifs dégressifs en fonction du nombre de tickets)  
• Forfaits résidents (engagement de 3 mois minimum, puis ensuite reconduction tacite par mois) avec espace de travail dédié, imprimante / scanner, espaces de rangement  
◦ Abonnement au mois : 180 €  
◦ Abonnement mensuel en équipe : 1 er poste : 180€ / mois ; 2 ème poste : 150€ / mois ; 3 ème poste et suivant : 120€ / mois  
• Salle de réunion (60 personnes) et espace événementiel : sur devis, avec prestations  
complémentaires possibles (petits déjeuners, pauses, traiteur, communication, logistique...)

**Organisation interne :**  
• L'accueil est assuré par des coworkers (Bob).  
• L'organisation du lieu fonctionne par petits groupes qui assurent certaines activités  
(exemples : Bob, Communication, Finances, Aménagements...).  

**Animations :**  
• Tous les mardis à 12h30 : des mêlées de présentation des coworkers  
• Des repas collectifs  
• La plupart des événements sont initiés par les membres et le lieu accueille de nombreux  
collectifs / associations. Exemples :  
◦ LilleMakers tous les jeudis soirs dans le MakerSpace  
◦ MeetUp : WelshDesign (webdesign) ; Lean start-up (création d'entreprise); ChtiJS  
(développeurs); GrowthHacking (marketing Disruptif) ; CleanTuesday (Clean Tech),  
MakeSense...  
◦ Autres formats : PechaKucha (formes de pitchs)  
• Co-organisation des Roumics (« Les Rencontres OUvertes du Multimédia et de l’Internet Citoyen et Solidaire »)  
• Livraison de l'AMAP de la Pévèle les Mardis soir – Relais Bio Cabas  

**Le profil des coworkers :**  
• Tous les profils : indépendants, entreprises individuelles, sociétés, associations, salariés en télétravail et étudiants.  
• Tous secteurs d'activité.";57220ed340bb4e5538967419;mutualab@coworkinglille.com;"{""addressCountry"": ""FR"", ""addressLocality"": ""LILLE"", ""streetAddress"": ""19 rue Nicolas Leblanc, Lille"", ""postalCode"": ""59000"", ""codeInsee"": ""59350"", ""@type"": ""PostalAddress""}";"{""latitude"": 50.6296016, ""@type"": ""GeoCoordinates"", ""longitude"": 3.0617998}";Organization;Mutualab;50.6296016;3.0617998;50.6296016,3.0617998;https://www.communecter.org/#@mutualab;LILLE;59350;59000;19 rue Nicolas Leblanc, Lille
lhermitage;Group;"hacking;transition;ensemble;Accompagnement de projets;Bar participatif;Commun;En fonctionnement;Plus de 200m2;TiersLieux";"{""website"": ""http://www.hermitagelelab.com"", ""communecter"": ""https://www.communecter.org/#@lhermitage"", ""api"": ""https://www.communecter.org/api/organization/get/id/5dc3e0246908642c5f8b4595""}";Actif sur les thématiques : vivre ensemble, agro-écologie, transition énergétique, hacking citoyen. Labo d'initiatives et d'expérimentations;https://opendata.lillemetropole.fr/api/v2/catalog/datasets/reseau-de-tiers-lieux-de-la-mel/files/1837a87258464b1371ab6b5024b5d6ce;;5dc3e0246908642c5f8b4595;contact@hermitagelelab.com;"{""postalCode"": ""59000"", ""addressLocality"": ""LILLE"", ""codeInsee"": ""undefined"", ""addressCountry"": ""FR"", ""@type"": ""PostalAddress""}";"{""latitude"": ""50.62905900"", ""@type"": ""GeoCoordinates"", ""longitude"": ""3.06038000""}";Organization;L'Hermitage;50.62905900;3.06038000;50.629059,3.06038;https://www.communecter.org/#@lhermitage;LILLE;undefined;59000;
leZeppelin;NGO;"théâtre;ateliers;convivial;livres;radio;patio;Coworking;Atelier participatif;Bar;Espace détente;Jardin;Association;En fonctionnement;Entre 60 et 200m2;TiersLieux";"{""website"": ""http://lezeppelin.fr/"", ""communecter"": ""https://www.communecter.org/#@leZeppelin"", ""api"": ""https://www.communecter.org/api/organization/get/id/5dc68a84690864195e8b4957""}";Salle de spectacle, ateliers de pratique artistique, coworking, bar, jardin, radio, Gare aux Livres.;https://opendata.lillemetropole.fr/api/v2/catalog/datasets/reseau-de-tiers-lieux-de-la-mel/files/63069bd1134109ba42a36e6d96994ba4;Depuis 2010, Le Zeppelin est devenu un lieu remarqué de la vie artistique et culturelle de la métropole lilloise, ouvert aux flâneries joyeuses, aux expérimentations singulières, aux œuvres d’hier et d’aujourd’hui qui interrogent les idées et les hommes. De la salle de spectacle au bar en passant par le jardin ou la Gare aux livres, le Zeppelin offre aux artistes et aux publics un espace privilégié pour des conversations durables, riches de sens et d’émotions.;5dc68a84690864195e8b4957;mediation@lezeppelin.fr;"{""addressCountry"": ""FR"", ""addressLocality"": ""ST ANDRE LEZ LILLE"", ""streetAddress"": ""23 rue Alsace-Lorraine"", ""postalCode"": ""59350"", ""codeInsee"": ""undefined"", ""@type"": ""PostalAddress""}";"{""latitude"": ""50.660032"", ""@type"": ""GeoCoordinates"", ""longitude"": ""3.04935""}";Organization;Le Zeppelin;50.660032;3.04935;50.660032,3.04935;https://www.communecter.org/#@leZeppelin;ST ANDRE LEZ LILLE;undefined;59350;23 rue Alsace-Lorraine
tranquilleEmile;LocalBusiness;"Bar / café;Coworking;Atelier participatif;Association;En fonctionnement;Entre 60 et 200m2;TiersLieux";"{""website"": ""https://tranquille-emile-cafe.fr/"", ""communecter"": ""https://www.communecter.org/#@tranquilleEmile"", ""api"": ""https://www.communecter.org/api/organization/get/id/5e67bcba690864ac278b4702""}";Un café éthique et une boutique, pensé pour accueillir les enfants et les familles, où se déroule des ateliers zéro déchets, etc.;https://opendata.lillemetropole.fr/api/v2/catalog/datasets/reseau-de-tiers-lieux-de-la-mel/files/0eb5abab8718693eb275c255b0142d84;Tranquille Emile est un café ludique, kids friendly et éthique qui propose une restauration rapide à partir de produits frais, locaux et de saison !;5e67bcba690864ac278b4702;;"{""addressCountry"": ""FR"", ""addressLocality"": ""HEM"", ""streetAddress"": ""348 Rue Jules Guesde"", ""postalCode"": ""59510"", ""codeInsee"": ""undefined"", ""@type"": ""PostalAddress""}";"{""latitude"": ""50.652948"", ""@type"": ""GeoCoordinates"", ""longitude"": ""3.187095""}";Organization;Tranquille Émile;50.652948;3.187095;50.652948,3.187095;https://www.communecter.org/#@tranquilleEmile;HEM;undefined;59510;348 Rue Jules Guesde
enCoursDeDefinition;Group;"En projet;Hybride;Café;Offre culturelle ou artistique;Restauration;Bar ou café participatif;Transmission;Mise en oeuvre et production de savoirs;TiersLieux";"{""communecter"": ""https://www.communecter.org/#@enCoursDeDefinition"", ""api"": ""https://www.communecter.org/api/organization/get/id/5d41655240bb4e913e0e4a92""}";;;;5d41655240bb4e913e0e4a92;thibaultchambon@gmail.com;"{""postalCode"": ""59000"", ""addressLocality"": ""LILLE"", ""codeInsee"": ""59350"", ""addressCountry"": ""FR"", ""@type"": ""PostalAddress""}";"{""latitude"": ""50.6138111"", ""@type"": ""GeoCoordinates"", ""longitude"": ""3.0423599""}";Organization;En cours de définition;50.6138111;3.0423599;50.6138111,3.0423599;https://www.communecter.org/#@enCoursDeDefinition;LILLE;59350;59000;
1624;LocalBusiness;"En fonctionnement;Coworking;Moins de 60m2;Espace à louer;Espace détente;Restauration;Salle de réunion;TiersLieux";"{""website"": ""http://1624.fr"", ""communecter"": ""https://www.communecter.org/#@1624"", ""api"": ""https://www.communecter.org/api/organization/get/id/5d41655640bb4e913e0e4aec""}";"""Capacité d'accueil de 30 m2 peut recevoir jusqu'à 30 personnes";;"http://1624.fr""";5d41655640bb4e913e0e4aec;aflipo@sparkling-partners.com;"{""addressCountry"": ""FR"", ""addressLocality"": ""LILLE"", ""streetAddress"": ""12 ter rue des Tous"", ""postalCode"": ""59000"", ""codeInsee"": ""59350"", ""@type"": ""PostalAddress""}";"{""latitude"": ""50.623613"", ""@type"": ""GeoCoordinates"", ""longitude"": ""3.054337""}";Organization;1624;50.623613;3.054337;50.623613,3.054337;https://www.communecter.org/#@1624;LILLE;59350;59000;12 ter rue des Tous
officeDuTourismeDeRoubaix;NGO;"En fonctionnement;Autre;Café;Espace détente;Boutique;Offre culturelle ou artistique;Boutique;Jardin;Salle de réunion;Atelier participatif;Il y a un micro onde;Une machine à café et une cour avec tables et chaises.;TiersLieux";"{""website"": ""www.roubaixtourisme.com"", ""communecter"": ""https://www.communecter.org/#@officeDuTourismeDeRoubaix"", ""api"": ""https://www.communecter.org/api/organization/get/id/5d41655940bb4e913e0e4b32""}";"""";;"www.roubaixtourisme.com""";5d41655940bb4e913e0e4b32;loic.trinel@roubaixtourisme.com;"{""addressCountry"": ""FR"", ""addressLocality"": ""ROUBAIX"", ""streetAddress"": ""7 Rue du Chemin de Fer"", ""postalCode"": ""59100"", ""codeInsee"": ""59512"", ""@type"": ""PostalAddress""}";"{""latitude"": ""50.69451"", ""@type"": ""GeoCoordinates"", ""longitude"": ""3.165193""}";Organization;Office du tourisme de Roubaix;50.69451;3.165193;50.69451,3.165193;https://www.communecter.org/#@officeDuTourismeDeRoubaix;ROUBAIX;59512;59100;7 Rue du Chemin de Fer
9MediathequesLilloises;LocalBusiness;"En fonctionnement;Autre;Entre 60 et 200m2;Salle de réunion;Espace détente;Bacs de compostage;Médiation numérique;Offre culturelle ou artistique;Jardin;Accompagnement des publics accueillis;Complexe évènementiel;Salle de réunion;Formation;Ateliers créatifs;Écrivain public numérique ou non;Compost pour les habitants du quartier;Jardinage;Gardiennage de plantes;TiersLieux";"{""website"": ""http://www.bm-lille.fr/"", ""communecter"": ""https://www.communecter.org/#@9MediathequesLilloises"", ""api"": ""https://www.communecter.org/api/organization/get/id/5d41655a40bb4e913e0e4b37""}";"""fonctionnement participatifCapacité d'accueil de 200 m2 peut recevoir jusqu'à 200 personnes";;"http://www.bm-lille.fr/""";5d41655a40bb4e913e0e4b37;bmlille@mairie-lille.fr;"{""addressCountry"": ""FR"", ""addressLocality"": ""LILLE"", ""streetAddress"": ""32-34 rue Edouard-Delesalle"", ""postalCode"": ""59000"", ""codeInsee"": ""59350"", ""@type"": ""PostalAddress""}";"{""latitude"": ""50.61823"", ""@type"": ""GeoCoordinates"", ""longitude"": ""3.077195""}";Organization;9 Médiathèques lilloises;50.61823;3.077195;50.61823,3.077195;https://www.communecter.org/#@9MediathequesLilloises;LILLE;59350;59000;32-34 rue Edouard-Delesalle
plusDeGensPlusHeureux;NGO;"En fonctionnement;Accompagnement de projets;Moins de 60m2;Atelier;Salle de réunion;Espace à louer;Jardin;Accompagnement des publics accueillis;Complexe évènementiel;Formation;TiersLieux";"{""website"": ""https://www.humus.dev"", ""communecter"": ""https://www.communecter.org/#@plusDeGensPlusHeureux"", ""api"": ""https://www.communecter.org/api/organization/get/id/5d41655b40bb4e913e0e4b5a""}";Ateliers - Témoignages - Location salles de réunion - Espace pour entrepreneurs;https://opendata.lillemetropole.fr/api/v2/catalog/datasets/reseau-de-tiers-lieux-de-la-mel/files/6d4d9b41cb7fde55650069943f0167be;"Ateliers - Témoignages - Location salles de réunion - Espace pour entrepreneurs 
Un SENS humaniste, pour plus d'énergie, de créativité, de confiance client, de performance.";5d41655b40bb4e913e0e4b5a;domitille.nicolas@plusdegensplusheureux.org;"{""addressCountry"": ""FR"", ""addressLocality"": ""MARCQ EN BAROEUL"", ""streetAddress"": ""232, boulevard Clémenceau"", ""postalCode"": ""59700"", ""codeInsee"": ""59378"", ""@type"": ""PostalAddress""}";"{""latitude"": ""50.661452"", ""@type"": ""GeoCoordinates"", ""longitude"": ""3.091445""}";Organization;Plus de Gens Plus Heureux;50.661452;3.091445;50.661452,3.091445;https://www.communecter.org/#@plusDeGensPlusHeureux;MARCQ EN BAROEUL;59378;59700;232, boulevard Clémenceau
centreSocialDesQuatreSaisons;Group;"En fonctionnement;Médiation;TiersLieux";"{""website"": ""http://www.cs4saisons.fr"", ""communecter"": ""https://www.communecter.org/#@centreSocialDesQuatreSaisons"", ""api"": ""https://www.communecter.org/api/organization/get/id/5d41655b40bb4e913e0e4b69""}";"""";;"http://www.cs4saisons.fr""";5d41655b40bb4e913e0e4b69;;"{""addressCountry"": ""FR"", ""addressLocality"": ""ARMENTIERES"", ""streetAddress"": ""1 Rue du Maréchal Joffre"", ""postalCode"": ""59280"", ""codeInsee"": ""59017"", ""@type"": ""PostalAddress""}";"{""latitude"": ""50.692386"", ""@type"": ""GeoCoordinates"", ""longitude"": ""2.885612""}";Organization;Centre social des Quatre Saisons;50.692386;2.885612;50.692386,2.885612;https://www.communecter.org/#@centreSocialDesQuatreSaisons;ARMENTIERES;59017;59280;1 Rue du Maréchal Joffre
mediathequeMargueriteYourcenar;Group;"En fonctionnement;Médiation;TiersLieux";"{""website"": ""http://www.ville-fachesthumesnil.fr/Temps-libre/Mediatheque-Marguerite-Yourcenar/Infos-pratiques"", ""communecter"": ""https://www.communecter.org/#@mediathequeMargueriteYourcenar"", ""api"": ""https://www.communecter.org/api/organization/get/id/5d41655c40bb4e913e0e4b72""}";"""";;"http://www.ville-fachesthumesnil.fr/Temps-libre/Mediatheque-Marguerite-Yourcenar/Infos-pratiques""";5d41655c40bb4e913e0e4b72;anihoul@ville-fachesthumesnil.fr;"{""addressCountry"": ""FR"", ""addressLocality"": ""FACHES THUMESNIL"", ""streetAddress"": ""199 Rue Carnot"", ""postalCode"": ""59155"", ""codeInsee"": ""59220"", ""@type"": ""PostalAddress""}";"{""latitude"": ""50.603191"", ""@type"": ""GeoCoordinates"", ""longitude"": ""3.067399""}";Organization;Médiathèque Marguerite Yourcenar;50.603191;3.067399;50.603191,3.067399;https://www.communecter.org/#@mediathequeMargueriteYourcenar;FACHES THUMESNIL;59220;59155;199 Rue Carnot
centreSocialLeParc;Group;"En fonctionnement;Médiation;TiersLieux";"{""website"": ""http://www.centresocialhaubourdin.fr"", ""communecter"": ""https://www.communecter.org/#@centreSocialLeParc"", ""api"": ""https://www.communecter.org/api/organization/get/id/5d41655d40bb4e913e0e4b90""}";"""";;"http://www.centresocialhaubourdin.fr""";5d41655d40bb4e913e0e4b90;accueil@centresocial-haubourdin.fr;"{""addressCountry"": ""FR"", ""addressLocality"": ""HAUBOURDIN"", ""streetAddress"": ""2 Rue de Paris"", ""postalCode"": ""59320"", ""codeInsee"": ""59286"", ""@type"": ""PostalAddress""}";"{""latitude"": ""50.615839"", ""@type"": ""GeoCoordinates"", ""longitude"": ""2.978244""}";Organization;Centre social Le Parc;50.615839;2.978244;50.615839,2.978244;https://www.communecter.org/#@centreSocialLeParc;HAUBOURDIN;59286;59320;2 Rue de Paris
cybercentreBerkem;Group;"En fonctionnement;Médiation;TiersLieux";"{""website"": ""http://www.acoljaq.fr/cybercentre"", ""communecter"": ""https://www.communecter.org/#@cybercentreBerkem"", ""api"": ""https://www.communecter.org/api/organization/get/id/5d41655d40bb4e913e0e4b9f""}";"""";;"http://www.acoljaq.fr/cybercentre""";5d41655d40bb4e913e0e4b9f;cybercentre.acoljaq@gmail.com;"{""addressCountry"": ""FR"", ""addressLocality"": ""LA MADELEINE"", ""streetAddress"": ""70 Rue de Berkem"", ""postalCode"": ""59110"", ""codeInsee"": ""59368"", ""@type"": ""PostalAddress""}";"{""latitude"": ""50.657344"", ""@type"": ""GeoCoordinates"", ""longitude"": ""3.062674""}";Organization;Cybercentre Berkem;50.657344;3.062674;50.657344,3.062674;https://www.communecter.org/#@cybercentreBerkem;LA MADELEINE;59368;59110;70 Rue de Berkem
cybercentreDuPoleAnimation;Group;"En fonctionnement;Médiation;TiersLieux";"{""website"": ""http://www.lambersart.fr/Bien-vivre/Vie-municipale/Ville-numerique"", ""communecter"": ""https://www.communecter.org/#@cybercentreDuPoleAnimation"", ""api"": ""https://www.communecter.org/api/organization/get/id/5d41655d40bb4e913e0e4ba4""}";"""";;"http://www.lambersart.fr/Bien-vivre/Vie-municipale/Ville-numerique""";5d41655d40bb4e913e0e4ba4;pciemniejewski@ville-lambersart.fr;"{""addressCountry"": ""FR"", ""addressLocality"": ""LAMBERSART"", ""streetAddress"": ""1 Avenue du Parc"", ""postalCode"": ""59130"", ""codeInsee"": ""59328"", ""@type"": ""PostalAddress""}";"{""latitude"": ""50.654619"", ""@type"": ""GeoCoordinates"", ""longitude"": ""3.030235""}";Organization;Cybercentre du pôle animation;50.654619;3.030235;50.654619,3.030235;https://www.communecter.org/#@cybercentreDuPoleAnimation;LAMBERSART;59328;59130;1 Avenue du Parc
associationFormationConseilPourTous;Group;"En fonctionnement;Médiation;TiersLieux";"{""website"": ""http://afct.fr/"", ""communecter"": ""https://www.communecter.org/#@associationFormationConseilPourTous"", ""api"": ""https://www.communecter.org/api/organization/get/id/5d41655e40bb4e913e0e4bb3""}";"""";;"http://afct.fr/""";5d41655e40bb4e913e0e4bb3;contact@afct.fr;"{""addressCountry"": ""FR"", ""addressLocality"": ""LILLE"", ""streetAddress"": ""102 Rue de Canteleu"", ""postalCode"": ""59000"", ""codeInsee"": ""59350"", ""@type"": ""PostalAddress""}";"{""latitude"": ""50.627367"", ""@type"": ""GeoCoordinates"", ""longitude"": ""3.036518""}";Organization;Association formation Conseil pour tous;50.627367;3.036518;50.627367,3.036518;https://www.communecter.org/#@associationFormationConseilPourTous;LILLE;59350;59000;102 Rue de Canteleu
emasConnect;Group;"En fonctionnement;Médiation;TiersLieux";"{""website"": ""http://emmaus-connect.org/programme-terrain/points-accueil/nord-pas-de-calais/lille/"", ""communecter"": ""https://www.communecter.org/#@emasConnect"", ""api"": ""https://www.communecter.org/api/organization/get/id/5d41655f40bb4e913e0e4bd6""}";"""";;"http://emmaus-connect.org/programme-terrain/points-accueil/nord-pas-de-calais/lille/""";5d41655f40bb4e913e0e4bd6;cslille@emmaus-connect.org;"{""addressCountry"": ""FR"", ""addressLocality"": ""LILLE"", ""streetAddress"": ""2 Rue du Marché"", ""postalCode"": ""59000"", ""codeInsee"": ""59350"", ""@type"": ""PostalAddress""}";"{""latitude"": ""50.624865"", ""@type"": ""GeoCoordinates"", ""longitude"": ""3.030102""}";Organization;Emaüs Connect;50.624865;3.030102;50.624865,3.030102;https://www.communecter.org/#@emasConnect;LILLE;59350;59000;2 Rue du Marché
