name,supporting_structure_name,description,type,status,legal_entity_type,siret,address_raw,address_housenumber,address_street,address_postcode,address_citycode,address_city,address_departement_code,address_departement_name,address_region_name,latitude,longitude,is_itinerant,itinerant_details,is_online,contact_phone_raw,contact_phone,contact_phone_details,contact_email,contact_website_url,contact_facebook_url,contact_twitter_url,contact_youtube_url,opening_hours_raw,opening_hours_osm_format,opening_hours_details,target_audience_raw,target_audience,support_access_raw,support_access,support_mode_raw,support_mode,is_free,price_details,payment_methods,labels_raw,labels,aide_mapped,francilin_id,lieu_nom,contact_nom,adresse,code_postal,commune,horaires,telephone,e_mail,site_web,aide,accessibilite,label,SIRET,thematique_principale,services,source,id_source
Centre Social / Maison de Quartier Lounès Matoub,,,,,,,4 6 place de la République 93100 Montreuil,6,Place de la Republique,93100,93048,Montreuil,93,Seine-Saint-Denis,Île-de-France,48.853755,2.424256,,,,0171892509,0171892509,,xavier.acakpovi@montreuil.fr,http://www.montreuil.fr/fileadmin/user_upload/Files/actualites_fichiers/2017/09_septembre/L.Matoub_web.pdf,,,,"Mo-Fr 09:00-12:30,14:00-18:30; Tu 14:00-18:30; Sa 09:00-12:30","Mo-Fr 09:00-12:30,14:00-18:30; Tu 14:00-18:30; Sa 09:00-12:30",,,,,,,,,,,,,"La recherche d'un emploi,Les déclarations en ligne (E-admin),Les premiers pas sur internet et en informatique",11,Centre Social / Maison de Quartier Lounès Matoub,Xavier Acakpovi,4 6 place de la République,93100,Montreuil,"Mo-Fr 09:00-12:30,14:00-18:30; Tu 14:00-18:30; Sa 09:00-12:30",0171892509,xavier.acakpovi@montreuil.fr,http://www.montreuil.fr/fileadmin/user_upload/Files/actualites_fichiers/2017/09_septembre/L.Matoub_web.pdf,"1,2,3",,,,2,"333,205,209,",CD93,78
Club Informatique Montreuillois,,,,,,,8 place du 14 Juillet 93100 Montreuil,8,Place du 14 Juillet,93100,93048,Montreuil,93,Seine-Saint-Denis,Île-de-France,48.859498,2.441363,,,,,,,,,,,,Mo-Fr 15:00-18:00; Th 15:00-20:00,Mo-Fr 15:00-18:00; Th 15:00-20:00,,,,,,,,,,,,,"La recherche d'un emploi,Les déclarations en ligne (E-admin)",12,Club Informatique Montreuillois,,8 place du 14 Juillet,93100,Montreuil,Mo-Fr 15:00-18:00; Th 15:00-20:00,,,,"1,2",,,,3,"333,305,319,334,316,403,404,708,506",CD93,770
Maison de Quartier du Grand Air Espace 40,,,,,,,40 rue du Bel Air 93100 Montreuil,40,Rue du Bel Air,93100,93048,Montreuil,93,Seine-Saint-Denis,Île-de-France,48.860522,2.459515,,,,0171868010,0171868010,,omar.somi@montreuil.fr,http://www.montreuil.fr/fileadmin/user_upload/Files/actualites_fichiers/2018/01_jan/Grand_air_jan-juin18_HD.pdf,,,,"Mo,Tu 14:00-18:15; We-Fr 09:15-12:15,14:00-18:30; Sa 14:00-18:30","Mo,Tu 14:00-18:15; We-Fr 09:15-12:15,14:00-18:30; Sa 14:00-18:30",,,,,,,,,,,,,"La recherche d'un emploi,Les déclarations en ligne (E-admin)",13,Maison de Quartier du Grand Air Espace 40,Omar Somi directeur,40 rue du Bel Air,93100,Montreuil,"Mo,Tu 14:00-18:15; We-Fr 09:15-12:15,14:00-18:30; Sa 14:00-18:30",0171868010,omar.somi@montreuil.fr,http://www.montreuil.fr/fileadmin/user_upload/Files/actualites_fichiers/2018/01_jan/Grand_air_jan-juin18_HD.pdf,"1,2",,,,4,"333,401,402,404,405",CD93,81
Centre Social la Boissière,,,,,,,317 boulevard de la Baissière 93110 Rosny-sous-Bois,317,Boulevard de la Boissière,93110,93064,Rosny-sous-Bois,93,Seine-Saint-Denis,Île-de-France,48.873536,2.470483,,,,0148121680,0148121680,,cercle.boissiere@mairie-rosny-sous-bois.fr,http://www.rosny93.fr/Centre-socioculturel-Cercle,,,,"Mo-Sa 09:00-12:00,13:30-19:00","Mo-Sa 09:00-12:00,13:30-19:00",,,,,,,,,,,,,"La recherche d'un emploi,Les déclarations en ligne (E-admin),Les premiers pas sur internet et en informatique",14,Centre Social la Boissière,,317 boulevard de la Baissière,93110,Rosny-sous-Bois,"Mo-Sa 09:00-12:00,13:30-19:00",0148121680,cercle.boissiere@mairie-rosny-sous-bois.fr,http://www.rosny93.fr/Centre-socioculturel-Cercle,"1,2,3",,,,1,"110,111",CD93,92
Centre Socioculturel Les Marnaudes,,,,,,,5 rue Jacques Offenbach 93110 Rosny-sous-Bois,5,Rue Jacques Offenbach,93110,93064,Rosny-sous-Bois,93,Seine-Saint-Denis,Île-de-France,48.882083,2.484211,,,,0148121780,0148121780,,directionmarnaudes@yahoo.fr,http://www.rosny93.fr/Centre-socioculturel-Marnaudes,,,,"Tu-Sa 09:00-12:00,14:00-19:00","Tu-Sa 09:00-12:00,14:00-19:00",,,,,,,,,,,,,"La recherche d'un emploi,Les déclarations en ligne (E-admin),Les premiers pas sur internet et en informatique",15,Centre Socioculturel Les Marnaudes,,5 rue Jacques Offenbach,93110,Rosny-sous-Bois,"Tu-Sa 09:00-12:00,14:00-19:00",0148121780,directionmarnaudes@yahoo.fr,http://www.rosny93.fr/Centre-socioculturel-Marnaudes,"1,2,3",,,,3,"333,209,111",CD93,139
Service Jeunesse Arthur Rimbaud,,,,,,,45 rue Richard Gardebled 93110 Rosny-sous-bois,45,Rue Richard Gardebled,93110,93064,Rosny-sous-Bois,93,Seine-Saint-Denis,Île-de-France,48.875996,2.484004,,,,0148128850,0148128850,,cerclej@mairie-rosny-sous-bois.fr,https://www.rosnysousbois.fr/jeunes/point-information-jeunesse-pij/,,,,Tu-Fr 14:00-18:00; We 14:00-19:00,Tu-Fr 14:00-18:00; We 14:00-19:00,,,,,,,,,,,,,"La recherche d'un emploi,Les déclarations en ligne (E-admin)",16,Service Jeunesse Arthur Rimbaud,,45 rue Richard Gardebled,93110,Rosny-sous-bois,Tu-Fr 14:00-18:00; We 14:00-19:00,0148128850,cerclej@mairie-rosny-sous-bois.fr,https://www.rosnysousbois.fr/jeunes/point-information-jeunesse-pij/,"1,2",,,,2,"110,111,112,113,114,115,201,202,203,204,205,206,207,209,215,210",CD93,91
Bibliothèque John Lennon,,,,,,,9 Av du Général Leclerc 93120 La Courneuve,9,Avenue du Général Leclerc,93120,93027,La Courneuve,93,Seine-Saint-Denis,Île-de-France,48.926479,2.378146,,,,0171863470,0171863470,,thomas.serieys@plainecommune.com.fr,http://www.mediatheques-plainecommune.fr/john-lennon,,,,"Tu 13:00-19:00; We 10:00-12:00,14:00-18:00; Th,Fr 15:00-18:00; Sa 10:00-18:00","Tu 13:00-19:00; We 10:00-12:00,14:00-18:00; Th,Fr 15:00-18:00; Sa 10:00-18:00",,,,,,,,,,,,,"La recherche d'un emploi,Les déclarations en ligne (E-admin),Les premiers pas sur internet et en informatique",17,Bibliothèque John Lennon,Thomas Serieys,9 Av du Général Leclerc,93120,La Courneuve,"Tu 13:00-19:00; We 10:00-12:00,14:00-18:00; Th,Fr 15:00-18:00; Sa 10:00-18:00",0171863470,thomas.serieys@plainecommune.com.fr,http://www.mediatheques-plainecommune.fr/john-lennon,"1,2,3",,,,3,,CD93,47
Cyber-Base Emploi - Espace Mde,,,,,,,17 place du Pommier de Bois 93120 La Courneuve,17,Place du Pommier de Bois,93120,93027,La Courneuve,93,Seine-Saint-Denis,Île-de-France,48.928337,2.390879,,,,0171863400,0171863400,,nadia.mnasri@plaine.commune.com.fr,http://www.ville-la-courneuve.fr/,,,,"Mo-Th 09:00-12:00,13:30-16:30; Fr 09:30-12:30","Mo-Th 09:00-12:00,13:30-16:30; Fr 09:30-12:30",,,,,,,,,,,,,"La recherche d'un emploi,Les déclarations en ligne (E-admin)",18,Cyber-Base Emploi - Espace Mde,Animatrice Cyber-base Emploi,17 place du Pommier de Bois,93120,La Courneuve,"Mo-Th 09:00-12:00,13:30-16:30; Fr 09:30-12:30",0171863400,nadia.mnasri@plaine.commune.com.fr,http://www.ville-la-courneuve.fr/,"1,2",,,,1,"111,112,114",CD93,73
Espace Jeunesse Cosmonautes,,,,,,,41 Centre Commercial la Tour 93120 La Courneuve,,Centre Commercial de la Tour,93120,93027,La Courneuve,93,Seine-Saint-Denis,Île-de-France,48.927631,2.378501,,,,0183722410,0183722410,,,,,,,"Mo-Fr 16:00-19:00; We,Sa 14:00-19:00","Mo-Fr 16:00-19:00; We,Sa 14:00-19:00",,,,,,,,,,,,,La recherche d'un emploi,19,Espace Jeunesse Cosmonautes,,41 Centre Commercial la Tour,93120,La Courneuve,"Mo-Fr 16:00-19:00; We,Sa 14:00-19:00",0183722410,,,1,,,,3,,CD93,45
Espace Jeunesse Quinet,,,,,,,9 rue Edgard Quinet 93120 La Courneuve,9,Rue Edgar Quinet,93120,93027,La Courneuve,93,Seine-Saint-Denis,Île-de-France,48.928764,2.394755,,,,0148386824,0148386824,,,http://www.ville-la-courneuve.fr/LC_idocs/ville_reussite_jeunesse_2012/espaces_jeunesse.php#horaires,,,,"Mo-Fr 16:00-19:00; We,Sa 14:30-19:00","Mo-Fr 16:00-19:00; We,Sa 14:30-19:00",,,,,,,,,,,,,La recherche d'un emploi,20,Espace Jeunesse Quinet,,9 rue Edgard Quinet,93120,La Courneuve,"Mo-Fr 16:00-19:00; We,Sa 14:30-19:00",0148386824,,http://www.ville-la-courneuve.fr/LC_idocs/ville_reussite_jeunesse_2012/espaces_jeunesse.php#horaires,1,,,,3,,CD93,48
Jade,,,,,,,145 rue Rateau 93120 La Courneuve,145,Rue Rateau,93120,93027,La Courneuve,93,Seine-Saint-Denis,Île-de-France,48.924896,2.414678,,,,0148365483,0148365483,,asso.jade@wanadoo.fr,http://www.asso-jade.fr,,,,Mo-Fr 09:00-18:00,Mo-Fr 09:00-18:00,,,,,,,,,,,,,"La recherche d'un emploi,Les déclarations en ligne (E-admin)",21,Jade,,145 rue Rateau,93120,La Courneuve,Mo-Fr 09:00-18:00,0148365483,asso.jade@wanadoo.fr,http://www.asso-jade.fr,"1,2",,,,3,"333,335,401,402,404,405,407,408",CD93,159
Maison des Jeunes Guy Môquet,,,,,,,119 avenue Paul Vaillant Couturier 93120 La Courneuve,119,Avenue Paul Vaillant Couturier,93120,93027,La Courneuve,93,Seine-Saint-Denis,Île-de-France,48.924031,2.413875,,,,0148362407,0148362407,,espaces.multimedia@ville-la-courneuve.fr,https://espacefamille.ville-la-courneuve.fr/espacefamille91/affichage_activites.do?idActivite=53,,,,Mo 13:30-19:00; Tu-Fr 16:30-19:30; We 13:30-19:30; Sa 13:30-18:30,Mo 13:30-19:00; Tu-Fr 16:30-19:30; We 13:30-19:30; Sa 13:30-18:30,,,,,,,,,,,,,"La recherche d'un emploi,Les déclarations en ligne (E-admin)",22,Maison des Jeunes Guy Môquet,Hadjara Sassa,119 avenue Paul Vaillant Couturier,93120,La Courneuve,Mo 13:30-19:00; Tu-Fr 16:30-19:30; We 13:30-19:30; Sa 13:30-18:30,0148362407,espaces.multimedia@ville-la-courneuve.fr,https://espacefamille.ville-la-courneuve.fr/espacefamille91/affichage_activites.do?idActivite=53,"1,2",,,,7,"701,702,704",CD93,44
Maison Marcel Paul,,,,,,,77 avenue de la République 93120 La Courneuve,77,Avenue de la République,93120,93027,La Courneuve,93,Seine-Saint-Denis,Île-de-France,48.928552,2.390851,,,,0143118062,0143118062,,,,,,,"Mo-Fr 09:00-12:00,14:00-17:00; Tu 09:00-12:00","Mo-Fr 09:00-12:00,14:00-17:00; Tu 09:00-12:00",,,,,,,,,,,,,"La recherche d'un emploi,Les déclarations en ligne (E-admin)",23,Maison Marcel Paul,,77 avenue de la République,93120,La Courneuve,"Mo-Fr 09:00-12:00,14:00-17:00; Tu 09:00-12:00",0143118062,,,"1,2",,,,3,"333,203,204,205,206,208,209",CD93,769
Maison Pour Tous Cesária Évora,,,,,,,55 avenue Henri Barbusse 93120 La Courneuve,55,Avenue Henri Barbusse,93120,93027,La Courneuve,93,Seine-Saint-Denis,Île-de-France,48.932169,2.392437,,,,0171896610,0171896610,,magali.chastagner@ville-la-courneuve.fr,http://www.ville-la-courneuve.fr/LC_idocs/ville_reussite_jeunesse_2012/espaces_jeunesse.php,,,,Mo-Fr 09:00-18:30; Sa 13:30-18:30,Mo-Fr 09:00-18:30; Sa 13:30-18:30,,,,,,,,,,,,,"La recherche d'un emploi,Les déclarations en ligne (E-admin),Les premiers pas sur internet et en informatique",24,Maison Pour Tous Cesária Évora,Magali Chastagner,55 avenue Henri Barbusse,93120,La Courneuve,Mo-Fr 09:00-18:30; Sa 13:30-18:30,0171896610,magali.chastagner@ville-la-courneuve.fr,http://www.ville-la-courneuve.fr/LC_idocs/ville_reussite_jeunesse_2012/espaces_jeunesse.php,"1,2,3",,,,3,333,CD93,61
Médiathèque Aimé Césaire,,,,,,,1 Mail de l'égalité 93120 La Courneuve,,Mail de l'Egalite,93120,93027,La Courneuve,93,Seine-Saint-Denis,Île-de-France,48.925634,2.390983,,,,0171863737,0171863737,,pierrick.longatte@plainecommune.com.fr,http://www.mediatheques-plainecommune.fr/aime-cesaire,,,,"Tu,Th 14:00-20:00; We,Fr,Sa 10:00-18:00","Tu,Th 14:00-20:00; We,Fr,Sa 10:00-18:00",,,,,,,,,,,,,"La recherche d'un emploi,Les déclarations en ligne (E-admin)",25,Médiathèque Aimé Césaire,Pierrick Longatte,1 Mail de l'égalité,93120,La Courneuve,"Tu,Th 14:00-20:00; We,Fr,Sa 10:00-18:00",0171863737,pierrick.longatte@plainecommune.com.fr,http://www.mediatheques-plainecommune.fr/aime-cesaire,"1,2",,,,3,"333,334,335",CD93,46
Point Information Jeunesse,,,,,,,61 rue du Général Schramm 93120 La Courneuve,61,Rue du Général Schramm,93120,93027,La Courneuve,93,Seine-Saint-Denis,Île-de-France,48.927183,2.388246,,,,0149926075,0149926075,,pij@ville-la-courneuve.fr,http://www.ville-la-courneuve.fr,,,,"Mo-Fr 10:00-12:00,14:00-18:00; Tu off; We 10:00-12:00,14:00-19:00; Sa 11:00-14:00","Mo-Fr 10:00-12:00,14:00-18:00; Tu off; We 10:00-12:00,14:00-19:00; Sa 11:00-14:00",,,,,,,,,,,,,La recherche d'un emploi,26,Point Information Jeunesse,,61 rue du Général Schramm,93120,La Courneuve,"Mo-Fr 10:00-12:00,14:00-18:00; Tu off; We 10:00-12:00,14:00-19:00; Sa 11:00-14:00",0149926075,pij@ville-la-courneuve.fr,http://www.ville-la-courneuve.fr,1,,,,4,"333,209,203,204,213",CD93,43
Centre Social du Londeau,,,,,,,3 rue Paul Verlaine 93130 Noisy-le-Sec,3,Rue Paul Verlaine,93130,93053,Noisy-le-Sec,93,Seine-Saint-Denis,Île-de-France,48.88667,2.466105,,,,0148108231,0148108231,,,,,,,"Mo-Fr 09:00-12:30,13:30-18:00; Sa 09:00-12:00","Mo-Fr 09:00-12:30,13:30-18:00; Sa 09:00-12:00",,,,,,,,,,,,,La recherche d'un emploi,27,Centre Social du Londeau,,3 rue Paul Verlaine,93130,Noisy-le-Sec,"Mo-Fr 09:00-12:30,13:30-18:00; Sa 09:00-12:00",0148108231,,,1,,,,3,,CD93,65
Espace Info Jeunes,,,,,,,15 rue de Bethisy 93130 Noisy-le-Sec,15,Rue Bethisy,93130,93053,Noisy-le-Sec,93,Seine-Saint-Denis,Île-de-France,48.890171,2.454959,,,,0149426711,0149426711,,laura.vautrin@noisylesec.fr,,,,,We 14:00-18:00; Th 16:30-19:00; Fr 16:00-18:00; Sa 10:00-16:30,We 14:00-18:00; Th 16:30-19:00; Fr 16:00-18:00; Sa 10:00-16:30,,,,,,,,,,,,,"La recherche d'un emploi,Les déclarations en ligne (E-admin),Les premiers pas sur internet et en informatique",28,Espace Info Jeunes,Laura Vautrin,15 rue de Bethisy,93130,Noisy-le-Sec,We 14:00-18:00; Th 16:30-19:00; Fr 16:00-18:00; Sa 10:00-16:30,0149426711,laura.vautrin@noisylesec.fr,,"1,2,3",,,,3,333,CD93,79
Médiathèque Roger Gouthier,,,,,,,3 rue Jean Jaurès 93130 Noisy-le-Sec,3,Rue Jean Jaurès,93130,93053,Noisy-le-Sec,93,Seine-Saint-Denis,Île-de-France,48.890533,2.453274,,,,0149426719,0149426719,,info@mediatheque-noisylesec.org,http://www.mediatheque-noisylesec.org/,,,,"Tu,Th 15:00-20:00; We,Fr,Sa 10:00-18:00","Tu,Th 15:00-20:00; We,Fr,Sa 10:00-18:00",,,,,,,,,,,,,"La recherche d'un emploi,Les déclarations en ligne (E-admin),Les premiers pas sur internet et en informatique",29,Médiathèque Roger Gouthier,,3 rue Jean Jaurès,93130,Noisy-le-Sec,"Tu,Th 15:00-20:00; We,Fr,Sa 10:00-18:00",0149426719,info@mediatheque-noisylesec.org,http://www.mediatheque-noisylesec.org/,"1,2,3",,,,3,"333,335",CD93,66
Médiathèque-Ludothèque (Annexe du Londeau),,,,,,,10 rue Paul Verlaine 93130 Noisy-le-Sec,10,Rue Paul Verlaine,93130,93053,Noisy-le-Sec,93,Seine-Saint-Denis,Île-de-France,48.885983,2.469963,,,,0141711604,0141711604,,,https://www.noisylesec.fr/equipements-publics/annuaire-th%C3%A9matique/m%C3%A9diath%C3%A8que-ludoth%C3%A8que-du-londeau,,,,,,,,,,,,,,,,,,La recherche d'un emploi,30,Médiathèque-Ludothèque (Annexe du Londeau),,10 rue Paul Verlaine,93130,Noisy-le-Sec,,0141711604,,https://www.noisylesec.fr/equipements-publics/annuaire-th%C3%A9matique/m%C3%A9diath%C3%A8que-ludoth%C3%A8que-du-londeau,1,,,,3,,CD93,67
Centre Socio-Culturel Georges Brassens,,,,,,,19 avenue Henri Barbusse 93140 Bondy,19,Avenue Henri Barbusse,93140,93010,Bondy,93,Seine-Saint-Denis,Île-de-France,48.902165,2.483247,,,,0171866495,0171866495,,,http://www.ville-bondy.fr/fileadmin/user_upload/Sante_solidarite/Centres_sociaux/Plaquette-brassens_2015-2016.pdf,,,,"Mo-Fr 08:45-12:30,13:30-19:00; We 13:30-19:00","Mo-Fr 08:45-12:30,13:30-19:00; We 13:30-19:00",,,,,,,,,,,,,"La recherche d'un emploi,Les déclarations en ligne (E-admin)",31,Centre Socio-Culturel Georges Brassens,,19 avenue Henri Barbusse,93140,Bondy,"Mo-Fr 08:45-12:30,13:30-19:00; We 13:30-19:00",0171866495,,http://www.ville-bondy.fr/fileadmin/user_upload/Sante_solidarite/Centres_sociaux/Plaquette-brassens_2015-2016.pdf,"1,2",,,,3,"333,114",CD93,35
