rh_id,n_ref,statut_infos,departement,ville,code_commune,nom,structure_porteuse,code_postal,adresse,adresse_suite,adresse_full,geo_lat,geo_lon,nature_juridique,type_lieu,rattachement,tel_structure,email_structure,site_internet,lundi,mardi,mercredi,jeudi,vendredi,samedi,dimanche,horaires_semaine,date_maj,public_toutes_actions,conditions_acces_toutes_actions,type_mediation_1,public_si_different_1,conditions_acces_si_diff_1,presta_mediation_1,bloc_mediation_1,type_mediation_2,public_si_different_2,conditions_acces_si_diff_2,presta_mediation_2,bloc_mediation_2,type_mediation_3,public_si_different_3,conditions_acces_si_diff_3,presta_mediation_3,bloc_mediation_3,type_mediation_4,public_si_different_4,conditions_acces_si_diff_4,presta_mediation_4,bloc_mediation_4,type_mediation_5,public_si_different_5,conditions_acces_si_diff_5,presta_mediation_5,bloc_mediation_5,code_label,label_full,wifi,precisions,lat,lon,codes_types_mediations,codes_publics,codes_thematiques,code_departement
RH_fiche_11_,,,65,Arreau,,Restos du Cœur,,65240.0,17 grande rue,,17 grande rue 65240 Arreau,nan,,Association,,,,,,,,,,,,,,2018,,,ORD,TP,10h-12h jeudi,,<p><ul><li> type de médiation : non renseigné</li><li> public :</li><li> infos : 10h-12h jeudi</li></ul></p>,,,,,,,,,,,,,,,,,,,,,,,non,,42.905152,0.358811,ORD,TP,,=65=
RH_fiche_12_,,,65,Arreau,,médiathèque,,65240.0,Chateaux des Nestes,,Chateaux des Nestes 65240 Arreau,nan,,,,,05 62 98 66 94,,,,,,,,,,,2018,,,ORD,TP,,,<p><ul><li> type de médiation : non renseigné</li><li> public :</li><li> infos : </li></ul></p>,,,,,,,,,,,,,,,,,,,,,,,non,,42.905425,0.358085,ORD,TP,,=65=
RH_fiche_13_,,,65,Aspin en Lavedan,,médiathèque de Batsurguère,,65100.0,3 rue de la Ribère,,3 rue de la Ribère 65100 Aspin en Lavedan,nan,,,,,05 62 94 79 36 / 06 43 15 36 22,asso-escb@orange.fr,,,,,,,,,,Decembre 2019,,,ORD,TP,,,<p><ul><li> type de médiation : non renseigné</li><li> public :</li><li> infos : </li></ul></p>,,,,,,,,,,,,,,,,,,,,,,,oui,,43.076696999999996,-0.046425,ORD,TP,,=65=
RH_fiche_14_,,,32,Auch,,Coopérative réemploi,,32000.0,,,32000 Auch,nan,,,,,,,,,,,,,,,,Decembre 2019,,,COMP,,,,<p><ul><li> type de médiation : non renseigné</li><li> public :</li><li> infos : </li></ul></p>,,,,,,,,,,,,,,,,,,,,,,,,,43.661702000000005,0.566383,COMP,,,=32=
RH_fiche_15_,,,32,Auch,,Garros Services,,32000.0,,,32000 Auch,nan,,,,,,auch@cnlrq.org,,,,,,,,,,Decembre 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.661702000000005,0.566383,,,,=32=
RH_fiche_16_,,,32,Auch,,Promeneurs du net,,32000.0,,,32000 Auch,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.661702000000005,0.566383,,,,=32=
RH_fiche_17_,,,32,Auch,,INNOPARC - TIERS LIEUX - MON ESPACE SOHO SOLO,,32000.0,Place Jean David,,Place Jean David 32000 Auch,nan,,PRV. ASSOCIATION,GERS DEVELOPPEMENT - SOHO SOLO,,06 33 88 58 76,f.bedoussac@gersdeveloppement.fr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TL,Tiers lieu,,,43.648046,0.5850390000000001,,,,=32=
RH_fiche_18_,,,32,Auch,,INNOPARC - FABLAB AUCH GERS,,32000.0,6 Rue Roland Salengro,,6 Rue Roland Salengro 32000 Auch,nan,,PRV. ASSOCIATION,GERS DEVELOPPEMENT,,,a.fievet@gersdeveloppement.fr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TL,Tiers lieu,,,43.666598,0.600594,,,,=32=
RH_fiche_19_,,,32,Auch,,AG2i,,32000.0,12 quai des marronniers,,12 quai des marronniers 32000 Auch,nan,,,,,,,,,,,,,,,,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,APTIC,APTIC,,,43.646132,0.5898720000000001,,,,=32=
RH_fiche_20_,,,65,Aureilhan,,bibliothèque Jules Laforgue,,65800.0,24  avenue Jean Jaurès,,24  avenue Jean Jaurès 65800 Aureilhan,nan,,,,,05 62 38 91 65,,,,,,,,,,,Decembre 2019,,,ORD,TP,,,<p><ul><li> type de médiation : non renseigné</li><li> public :</li><li> infos : </li></ul></p>,,,,,,,,,,,,,,,,,,,,,,,oui,,43.237372,0.093539,ORD,TP,,=65=
RH_fiche_21_,,,31,Auterive,,Le foyer Auterive,,31190.0,1  place du Maréchal Leclerc,,1  place du Maréchal Leclerc 31190 Auterive,nan,,,Centre social,FIGO Centre social,,,centresocialauterive.fr,,,,,,,,,Decembre 2019,,,SENS,,,,<p><ul><li> type de médiation : non renseigné</li><li> public :</li><li> infos : </li></ul></p>,SENS,,,,<p><ul><li> type de médiation : non renseigné</li><li> public :</li><li> infos : </li></ul></p>,ACCDA,,,,<p><ul><li> type de médiation : non renseigné</li><li> public :</li><li> infos : </li></ul></p>,,,,,,,,,,,,,,,43.352866,1.477881,SENS-SENS-ACCDA,,,=31=
RH_fiche_22_,,,31,Auterive,,Communauté de commune bas armagnac,,31190.0,,,31190 Auterive,nan,,Collectivités,,Collectivités,05 61 50 99 00,info@cc-basarmagnac.fr,,,,,,,,,,Decembre 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.350694,1.478826,,,,=31=
RH_fiche_23_,,,31,Auterive,,Médiathèque municipale,,31190.0,780 Route d'Espagne,,780 Route d'Espagne 31190 Auterive,nan,,,,,05 82 95 45 75,direction.mediatheque@auterive-ville.fr mediatheque@auterive-ville.fr,,,,,,,,,,Decembre 2019,,,ORD,TP,adhésion,,<p><ul><li> type de médiation : non renseigné</li><li> public :</li><li> infos : adhésion</li></ul></p>,,,,,,,,,,,,,,,,,,,,,,,,,43.337717,1.480148,ORD,TP,,=31=
RH_fiche_24_,,,31,Auterive,,Communauté de communes de bassin auterivain,,31190.0,ZI Robert Lavigne  RD 820,,ZI Robert Lavigne  RD 820 31190 Auterive,4324158.0,2 118 852,Collectivités,,Collectivités,05 61 50 99 00,,http://annuaire.auterive31.fr/front/index.php?membre=1687,,,,,,,,,Janvier 2020,,,ACCDS,TP,Libre,,<p><ul><li> type de médiation : non renseigné</li><li> public :</li><li> infos : Libre</li></ul></p>,COMP,Emploi,Libre,,<p><ul><li> type de médiation : non renseigné</li><li> public :</li><li> infos : Libre</li></ul></p>,,,,,,,,,,,,,,,,,,,,43.368673,1.445539,ACCDS-COMP,TP-Emploi,,=31=
RH_fiche_25_,,,31,Auterive,,Maison France Service Auterive - CC Bassin Auterivain,Communauté de communes,31190.0,Rd 820 ZI Robert Lavigne,,Rd 820 ZI Robert Lavigne 31190 Auterive,nan,,,,Collectivité,,guichetunique@ccba31.fr,,9:00 - 12:00 / 13:30 - 17:30,9:00 - 12:00 / 13:30 - 17:30,8:30 - 12:00,8:30 - 12:00 / 13:30 - 17:00,8:30 - 12:00 / 13:30 - 17:00,-,,<p><br><ul><li>lundi : 9:00 - 12:00 / 13:30 - 17:30</li><li>mardi : 9:00 - 12:00 / 13:30 - 17:30</li><li>mercredi : 8:30 - 12:00</li><li>jeudi : 8:30 - 12:00 / 13:30 - 17:00</li><li>vendredi : 8:30 - 12:00 / 13:30 - 17:00</li><li>samedi : -</li></ul></p>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MFS,France Services,,,43.368673,1.445539,,,,=31=
RH_fiche_26_,,,31,Auterive,,TL ESPACE FIRMIN PONS,,31190.0,780  route d'Espagne,,780  route d'Espagne 31190 Auterive,4318414.0,2 556 949,PUB. COMMUNE,COMMUNE AUTERIVE,,05.61.50.96.87,dgs@auterive-ville.fr,,,,,,,,,,Decembre 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,TL,Tiers lieu,,,43.337717,1.480148,,,,=31=
RH_fiche_27_,,,65,Bagneres de Bigorre,,Espace Culturel Maintenon,,65200.0,,,65200 Bagneres de Bigorre,nan,,,,,,centre.culturel@ville-bagneresdebigorre.fr,,,,,,,,,,Janvier 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.000505,0.13009400000000002,,,,=65=
RH_fiche_28_,,,65,Bagneres de Bigorre,,Haute Bigorre,CC de la Haute-Bigorre,65200.0,30 avenue Géruzet,,30 avenue Géruzet 65200 Bagneres de Bigorre,nan,,,,Collectivité,,,,8:30 - 12:00 / 13:30 - 17:00,8:30 - 12:00 / 13:30 - 17:00,8:30 - 12:00 / 13:30 - 17:00,8:30 - 12:00 / 13:30 - 17:00,8:30 - 12:00 / 13:30 - 17:00,-,,<p><br><ul><li>lundi : 8:30 - 12:00 / 13:30 - 17:00</li><li>mardi : 8:30 - 12:00 / 13:30 - 17:00</li><li>mercredi : 8:30 - 12:00 / 13:30 - 17:00</li><li>jeudi : 8:30 - 12:00 / 13:30 - 17:00</li><li>vendredi : 8:30 - 12:00 / 13:30 - 17:00</li><li>samedi : -</li></ul></p>,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,MFS,France Services,,,43.068334,0.151224,,,,=65=
RH_fiche_29_,,,65,Bagnères de Bigorre,,Restos du Cœur,,65200.0,4 rue Grasset,,4 rue Grasset 65200 Bagnères de Bigorre,nan,,Association,,,,,,,,,,,,,,2018,,,ORD,TP,,,<p><ul><li> type de médiation : non renseigné</li><li> public :</li><li> infos : </li></ul></p>,,,,,,,,,,,,,,,,,,,,,,,non,,43.065049,0.152363,ORD,TP,,=65=
RH_fiche_30_,,,65,Bagnères de Bigorre,,Médiathèque Intercommunale,,65200.0,4 rue alsace Lorraine,,4 rue alsace Lorraine 65200 Bagnères de Bigorre,nan,,,,,05 62 95 34 64,mediatheque@haute-bigorre.fr,,,,,,,,,,2018,,,ORD,TP,,,<p><ul><li> type de médiation : non renseigné</li><li> public :</li><li> infos : </li></ul></p>,,,,,,,,,,,,,,,,,,,,,,,oui,,43.062172,0.14941500000000002,ORD,TP,,=65=
RH_fiche_31_,,,65,Bagnères de Bigorre,,Maison Départementale de la Solidarité,,65200.0,1 rue Castelmouly,,1 rue Castelmouly 65200 Bagnères de Bigorre,nan,,,,,05 31 74 36 20,,,,,,,,,,,2018,,,,TP,,,<p><ul><li> type de médiation : non renseigné</li><li> public :</li><li> infos : </li></ul></p>,,,,,,,,,,,,,,,,,,,,,,,non,,43.070651,0.148817,,TP,,=65=
RH_fiche_32_,,,65,Bagnères de Bigorre,,MSAP,,65200.0,30 avenue de Géruzet,,30 avenue de Géruzet 65200 Bagnères de Bigorre,nan,,,,,05 62 90 42 02,msap@haute-bigorre.fr,,,,,,,,,,Decembre 2019,,,ORD,TP,,,<p><ul><li> type de médiation : non renseigné</li><li> public :</li><li> infos : </li></ul></p>,,,,,,,,,,,,,,,,,,,,,MSAP,Maison de Service Au Public,limité,,43.068334,0.151224,ORD,TP,,=65=
RH_fiche_33_,,,31,Bagnères de Luchon,,31 SARLUC,,31110.0,,,31110 Bagnères de Luchon,nan,,,,,,31sarluc@ac-toulouse.fr,,,,,,,,,,Decembre 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.764074,0.615959,,,,=31=
RH_fiche_34_,,,31,Bagnères de Luchon,,MJC,,31110.0,,,31110 Bagnères de Luchon,nan,,,,,,luchon@mjc-midi-pyrenees.com,,,,,,,,,,Decembre 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.764074,0.615959,,,,=31=
RH_fiche_35_,,,31,Balma,,Foyer Expérimental Pierre Ribet,,31130.0,,,31130 Balma,nan,,,,,,,,,,,,,,,,Janvier 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.610929999999996,1.50334,,,,=31=
RH_fiche_36_,,,32,Barran,,Val de Gers - Antenne de Barran,Communauté de Communes Val de Gers,32350.0,45 rue du Docteurue G. Demandès,Mairie de Barran,45 rue du Docteurue G. Demandès 32350 Barran,nan,,,,Collectivité,,mairiedebarran@wanadoo.fr,,-,8:30 - 12:00,8:30 - 12:00 / 13:30 - 17:00,8:30 - 12:00 / 13:30 - 17:00,8:30 - 12:00,8:30 - 12:00,,<p><br><ul><li>lundi : -</li><li>mardi : 8:30 - 12:00</li><li>mercredi : 8:30 - 12:00 / 13:30 - 17:00</li><li>jeudi : 8:30 - 12:00 / 13:30 - 17:00</li><li>vendredi : 8:30 - 12:00</li><li>samedi : 8:30 - 12:00</li></ul></p>,Decembre 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,MFS,France Services,,,43.616541999999995,0.44284700000000005,,,,=32=
RH_fiche_37_,,,31,Belberaud,,Le 100eme singe,,31450.0,8 route de Fourquevaux,,8 route de Fourquevaux 31450 Belberaud,nan,,Association,,Association,06 17 13 65 98,lecentiemesinge@gmail.com,le100esinge.com,,,,,,,,,Decembre 2019,,,W,,,,<p><ul><li> type de médiation : non renseigné</li><li> public :</li><li> infos : </li></ul></p>,,,,,,,,,,,,,,,,,,,,,,,,,43.510940999999995,1.566573,W,,,=31=
RH_fiche_38_,,,32,Berrac,,Gerskali / Gers numérique,,32480.0,,,32480 Berrac,nan,,,,Entreprise,,,https://www.gers-numerique.com/,09h - 18h,09h - 18h,09h - 18h,09h - 18h,09h - 18h,,,<p><br><ul><li>lundi : 09h - 18h</li><li>mardi : 09h - 18h</li><li>mercredi : 09h - 18h</li><li>jeudi : 09h - 18h</li><li>vendredi : 09h - 18h</li></ul></p>,Decembre 2019,TP,,ORDM,,,,<p><ul><li> type de médiation : non renseigné</li><li> public :</li><li> infos : </li></ul></p>,COMP,,payant,,<p><ul><li> type de médiation : non renseigné</li><li> public :</li><li> infos : payant</li></ul></p>,ACCN,,,,<p><ul><li> type de médiation : non renseigné</li><li> public :</li><li> infos : </li></ul></p>,,,,,,,,,,,,,,,44.0079,0.5515,ORDM-COMP-ACCN,TP,,=32=
RH_fiche_39_,,,11,Berriac,,Le Relai,,11000.0,,,11000 Berriac,nan,,,,Association,,,,,,,,,,,,Janvier 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.213227,2.401777,,,,=11=
RH_fiche_40_,,,31,Bessieres,,Val Aïgo - Antenne de Bessières,Communauté de communes Val'Aïgo,31660.0,26 Place du souvenir,,26 Place du souvenir 31660 Bessieres,nan,,,,Collectivité,,cias2@valaigo.fr,,9:00 - 12:30 / 14:00 - 17:00,9:00 - 12:30 / Sur RDV : après-midi,9:00 - 12:30 / Sur RDV : après-midi,9:00 - 12:30 / Sur RDV : après-midi,9:00 - 12:30 / Sur RDV : après-midi,-,,<p><br><ul><li>lundi : 9:00 - 12:30 / 14:00 - 17:00</li><li>mardi : 9:00 - 12:30 / Sur RDV : après-midi</li><li>mercredi : 9:00 - 12:30 / Sur RDV : après-midi</li><li>jeudi : 9:00 - 12:30 / Sur RDV : après-midi</li><li>vendredi : 9:00 - 12:30 / Sur RDV : après-midi</li><li>samedi : -</li></ul></p>,Decembre 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,MFS,France Services,,,43.80075,1.606565,,,,=31=
RH_fiche_41_,,,31,Blagnac,,Mairie de Blagnac,,31700.0,,,31700 Blagnac,nan,,,,Mairie,,,,,,,,,,,,Decembre 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.638622999999995,1.3797139999999999,,,,=31=
RH_fiche_42_,,,31,Blagnac,,centre social blagnac,,nan,,,Blagnac,nan,,,,FIGO Centre social,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.638622999999995,1.3797139999999999,,,,=31=
RH_fiche_43_,,,31,Blagnac,,FAB MJC DES ARTS BLAGNAC,,31700.0,,,31700 Blagnac,nan,,PRV. ASSOCIATION,MAISON DES JEUNES ET DE LA CULTURE DES ARTS DE BLAGNAC,,05 34 26 52 76 - 067 84 27 84 81,direction@mjc-arts-blagnac.com,,,,,,,,,,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,TL,Tiers lieu,,,43.638622999999995,1.3797139999999999,,,,=31=
RH_fiche_44_,,,65,Bordères sur Echez,,bibliothèque Claude Nogaro,,65320.0,place J Jaurès,,place J Jaurès 65320 Bordères sur Echez,nan,,,,,05 62 38 33 73,,,,,,,,,,,Decembre 2019,,,ORD,TP,,,<p><ul><li> type de médiation : non renseigné</li><li> public :</li><li> infos : </li></ul></p>,,,,,,,,,,,,,,,,,,,,,,,oui,,43.258089,0.051235,ORD,TP,,=65=
RH_fiche_45_,,,11,Bouisse,,Maison de services au public POM's de Bouisse,,nan,,,Bouisse,nan,,,,MSAP,,poms.bouisse@orange.fr,,,,,,,,,,Decembre 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,MSAP,Maison de Service Au Public,,,42.987293,2.429092,,,,=11=
RH_fiche_46_,,,11,Boutenac,,Mediatheque Milcom de Boutenac,,nan,,,Boutenac,nan,,,,Collectivités,,,,,14h-18h,14h-18h,,14h-18h,,,<p><br><ul><li>mardi : 14h-18h</li><li>mercredi : 14h-18h</li><li>vendredi : 14h-18h</li></ul></p>,Janvier 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.144897,2.816707,,,,=11=
RH_fiche_47_,,,11,Bram,,Piège Lauragais Malepere,CDC PIEGE LAURAGAIS MALEPERE,11150.0,62 rue bonrepos,,62 rue bonrepos 11150 Bram,nan,,,,Collectivité,,msap@ccplm.fr,,8:30 - 12:00 / 13:30 - 17:00,8:30 - 12:00 / 13:30 - 17:00,8:30 - 12:00 / 13:30 - 17:00,8:30 - 12:00 / 13:30 - 17:00,8:30 - 12:00 / 13:30 - 17:00,-,,<p><br><ul><li>lundi : 8:30 - 12:00 / 13:30 - 17:00</li><li>mardi : 8:30 - 12:00 / 13:30 - 17:00</li><li>mercredi : 8:30 - 12:00 / 13:30 - 17:00</li><li>jeudi : 8:30 - 12:00 / 13:30 - 17:00</li><li>vendredi : 8:30 - 12:00 / 13:30 - 17:00</li><li>samedi : -</li></ul></p>,Decembre 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,MFS,France Services,,,43.241583,2.118852,,,,=11=
RH_fiche_48_,,,65,Campan,,Espace Public Informatique du canton de Campan,,65710.0,,,65710 Campan,nan,,,,,,epicampan@gmail.com,,,,,,,,,,Janvier 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,EPN,Espace Public Numérique,,,42.975429999999996,0.21990900000000002,,,,=65=
RH_fiche_49_,,,11,Capendu,,Carcassone Agglo,CARCASSONNE AGGLO,11700.0,2 rue des Figuères,,2 rue des Figuères 11700 Capendu,nan,,,,Collectivité,,msap@carcassonne-agglo.fr,,8:00 - 13:00 / 14:00 - 17:00,8:00 - 13:00 / 14:00 - 17:00,8:30 - 12:00,8:00 - 13:00 / 14:00 - 17:00,8:00 - 13:00 / 14:00 - 17:00,-,,<p><br><ul><li>lundi : 8:00 - 13:00 / 14:00 - 17:00</li><li>mardi : 8:00 - 13:00 / 14:00 - 17:00</li><li>mercredi : 8:30 - 12:00</li><li>jeudi : 8:00 - 13:00 / 14:00 - 17:00</li><li>vendredi : 8:00 - 13:00 / 14:00 - 17:00</li><li>samedi : -</li></ul></p>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MFS,France Services,,,43.184142,2.5569490000000004,,,,=11=
RH_fiche_50_,,,11,Carcasonne,,R'MINE - FABLAB CARACASSONNE AGGLO,,11000.0,20 rue Claude CHAPPE,,20 rue Claude CHAPPE 11000 Carcasonne,nan,,PUB. EPCI,C.A. CARCASSONNE,,04.68.11.95.58,Denis.PETITCOLIN@carcassonne-agglo.fr,,,,,,,,,,Decembre 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,TL,Tiers lieu,,,43.212161,2.324602,,,,=11=
RH_fiche_51_,,,11,Carcassonne,,Régie de quartier,,11000.0,,,11000 Carcassonne,nan,,,,Association,,carcassonne-rdq@cnlrq.org,,,,,,,,,,Decembre 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.207511,2.344538,,,,=11=
RH_fiche_52_,,,11,Carcassonne,,Espace Culturel Multimédia,,11000.0,,,11000 Carcassonne,nan,,,,Mairie,,,,,,,,,,,,Decembre 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.207511,2.344538,,,,=11=
RH_fiche_53_,,,11,Carcassonne,,acti city - Information Jeunesse,,11000.0,,,11000 Carcassonne,nan,,,,,,information.jeunesse@acticity.com,,,,,,,,,,Decembre 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.207511,2.344538,,,,=11=
RH_fiche_54_,,,11,Carcassonne,,Logigames,,11000.0,25 boulevard de Varsovie,,25 boulevard de Varsovie 11000 Carcassonne,nan,,,,Entreprise,04 68 72 67 04,logigames2001@yahoo.fr,logigames.fr,,10h – 19h,10h – 19h,10h – 19h,10h – 19h,13h - 21h,,<p><br><ul><li>mardi : 10h – 19h</li><li>mercredi : 10h – 19h</li><li>jeudi : 10h – 19h</li><li>vendredi : 10h – 19h</li><li>samedi : 13h - 21h</li></ul></p>,Decembre 2019,,,ORDM,,,,<p><ul><li> type de médiation : non renseigné</li><li> public :</li><li> infos : </li></ul></p>,ACCN,,,,<p><ul><li> type de médiation : non renseigné</li><li> public :</li><li> infos : </li></ul></p>,,,,,,,,,,,,,,,,,,,,43.214040000000004,2.3465529999999997,ORDM-ACCN,,,=11=
RH_fiche_55_,,,11,Carcassonne,,EPCI,,nan,,,Carcassonne,4385028.0,661 762,,,,,,,,,,,,,,,Decembre 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.207511,2.344538,,,,=11=
RH_fiche_56_,,,65,Castelnau Magnoac,,EPI de Castelnau Magnoac,,65230.0,,,65230 Castelnau Magnoac,nan,,,,,,epi.castelnau.magnoac@wanadoo.fr,,,,,,,,,,10 04 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.299358000000005,0.512045,,,,=65=
RH_fiche_57_,,,65,Castelnau Magnoac,,Médiathèque,,65230.0,21 place de l'Estelette,,21 place de l'Estelette 65230 Castelnau Magnoac,nan,,,,,05 62 99 80 62,biblio-castelnau@orange.fr,,,,,,,,,,,,,ORD,TP,,,<p><ul><li> type de médiation : non renseigné</li><li> public :</li><li> infos : </li></ul></p>,,,,,,,,,,,,,,,,,,,,,,,limité,,43.294418,0.504938,ORD,TP,,=65=
RH_fiche_58_,,,32,Caupenne d'armagnac,,SYMA DU NOUGAROPOLE,,32110.0,Route de Caupenne d’armagnac,,Route de Caupenne d’armagnac 32110 Caupenne d'armagnac,nan,,PUB. SYNDICAT MIXTE,SYMA,,06.72.24.16.70,florence.fos@nogaropole.fr,,,,,,,,,,Decembre 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,TL,Tiers lieu,,,43.777590000000004,-0.045349,,,,=32=
