Dernière MAJ;Lieu;Type Structure;Commune;Adresse postale;Email;Description;Libellé 1;Libellé 2;Proposition de permanence;Présence d'un médiateur;Site internet;Téléphone;Coord. X;Coord. Y;Pôle territorial;Intercommunalité;services;equipements
15/05/2019;Association Départementale Les Amis des Voyageurs de la Gironde;Association;Libourne;179 avenue Georges Pompidou - 33500 LIBOURNE;centresocial.libournais@adav-33.fr;"L’antenne locale de l’ADAV33 à Libourne s'adresse aux Gens du Voyage de l’arrondissement de la Sous-préfecture de Libourne, aux travailleurs  saisonniers  européens et aux personnes vivant en camping-car (essentiellement pour la domiciliation).
Elle mène des actions territorialisées sur divers thématiques : domiciliation & accès aux droits – scolarisation –habitat – insertions par l’économique – citoyenneté afin de favoriser l’accès au droit commun et le compléter le cas échéant";Association Départementale Les Amis des Voyageurs de la Gironde;;Non;Non;www.adav33.fr;05 57 55 04 95;44,9298525;-0,2386524;Libournais;CA du Libournais;Accès à Internet en autonomie / Etre accompagné dans ses démarches administratives;Accès Internet / Imprimante / Ordinateur
04/11/2019;Association familiale de Talence;Association;Talence;Espace Mozart Avenue de la Vieille Tour 33400 Talence;assofamilialetalence@gmail.com;"L'Association Familiale de Talence (loi 1901) a pour but de regrouper les familles afin de les informer, de les renseigner, de les aider à mieux vivre et se détendre au sein des différentes activités. Elle est ouverte à tous, sans distinction.

Adhésion annuelle : 6€ par famille inscrite aux activités + participation suivant l'activité souhaitée";Association familiale de Talence;;Non;Non;assofamilialetalence@free.fr;05 56 37 69 90;44,812484;-0,600538;Graves;Bordeaux Métropole;Etre initié aux outils numériques;
13/05/2019;Association  Le Roseau;Association;Biganos;14 rue de la Verrerie - 33380 BIGANOS;accueil@le-roseau.fr;L ’association s’appuie sur deux équipements : un centre social et un espace de vie sociale. Leurs actions privilégient l’implication des habitants et le développement des liens sociaux.;Associaton Le Roseau;;Oui;Oui;https://le-roseau.fr/;05 57 17 54 57;44,637912;-0,977605;Bassin;CA du Bassin d'Arcachon Nord;Etre accompagné dans ses démarches administratives / Etre initié aux outils numériques;
29/04/2019;Association Le Temps Libre;Association;Saint-Yzan-de-Soudiac;8 avenue Pierre Semard - 33920 ST YZAN DE SOUDIAC;assotemps.libre@gmail.com;Ateliers créatifs et ludiques. Sorties culturelles et sportives. Evénements divers.;Association Le Temps Libre;;Non;Non;@;05 57 58 44 84;45,14132;-0,392972;Haute Gironde;CC Latitude Nord Gironde;;
12/12/2019;Association MIX-CITE Centre social et culturel de Talence;Association;Talence;221, avenue de Thouars 33400 Talence;cstalence@wanadoo.fr;"Lieu de proximité convivial ouvert à tous. Bénévoles et professionnels développent ensemble  des projets et des actions solidaires, intergénérationnelles, de l’animation de la vie locale et du lien social (manifestations de quartier, Café des habitants…).
Diverses activités : Espace informatique de proximité La Souris, accès aux droits, cours d’alphabétisation et de Français Langue Etrangère, accompagnement à la scolarité du CP à la 3ème, animations enfants (mercredi +vacances scolaires), conversation espagnol et anglais, gym, taï-chi, cuisine…";Association MIX-CITE Centre social et culturel de Talence;;Oui;Oui;https://www.facebook.com/Mix-Cite-Centre-Social-et-Culturel-de-Talence-898256397009252/;05 56 04 04 49;44,792463;-0,592736;Graves;Bordeaux Métropole;Accès à Internet en autonomie / Etre accompagné dans ses démarches administratives / Etre initié aux outils numériques / Pratiquer des activités récréatives numériques;Accès Internet / Ordinateur
12/12/2019;Association Multimicro, club de Libourne;Association;Libourne;Chemin du Verdet Résidence Vieux Tilleul Batiment C 33500 Libourne;multimicro.lib@gmail.com;"Animés par des bénévoles , l'association a pour but le partage de connaissances informatiques pour rendre le numérique accessible à tous, public non initié ou mal initié, de tout âge, avec peu de moyens financiers, Local accessible aux personnes à mobilité réduite
Débutants, initiés passionnés échangent par l'intermédiaire de stages structurés, ou ateliers du multimédia  en particulier utilisation du smartphone et des applications utiles,
Séances réservées aux débutants et séances libres  avec accompagnateurs ,
Aide aux démarches administratives obligatoires, déclaration des impôts en ligne, carte d'identité, caisse de retraites, Sécurité sociale Cv, etc...
Accueil  bienveillant des personnes handicapées psychiques.
Nos équipements permettent l'accueil des personnes handicapées,  avec fauteuil roulant .toilettes. Parking gratuit";Association Multimicro, club de Libourne;;Non;Oui;http://multimicro.typepad.com;0557518036;44,9024;-0,211262;Libournais;CA du Libournais;Accès à Internet en autonomie / Etre accompagné dans ses démarches administratives / Etre initié aux outils numériques;Accès Internet / Imprimante / Ordinateur / Photocopieuse / Tablette
03/05/2019;Association pour l’Initiation des Adultes à l’Informatique;Association;Tizac-de-Curton;2 lieu-dit Morion - 33420 TIZAC DE CURTON;asso.aiai@orange.fr;L’association organise des activités d'information, d'initiation et de formation afin que le plus grand nombre de personnes comprennent et maîtrisent au mieux les technologies de l’informatique et de la communication.;Association pour l’Initiation des Adultes à l’Informatique;(salle polyvalente);Oui;Oui;http://aiai-informatique.jimdo.com;06 19 17 35 43;44,820384;-0,250584;Libournais;CA du Libournais;Etre accompagné dans ses démarches administratives / Etre initié aux outils numériques;Imprimante multi-fonctions / Ordinateur / Vidéo-projecteur / Wifi
28/11/2019;Atelier Graphite;Association;Bordeaux;157 Cours Balguerie Stuttenberg - 33300 BORDEAUX;contact@atelier-graphite.fr;"Ecrivains publics, juristes, médiateurs numériques
Pour les personnes orientées par les partenaires référencés";Atelier Graphite;;Non;Oui;http://www.atelier-graphite.fr;05 56 69 82 32;44,860926;-0,5634355;Bordeaux;Bordeaux Métropole;Etre accompagné dans ses démarches administratives / Etre initié aux outils numériques;Accès Internet / Imprimante / Photocopieuse / Scanner
04/11/2019;Bibliothèque de Bacalan;Collectivité;Bordeaux;196 rue Achard - 33000 BORDEAUX;dgac.lectpub@mairie-bordeaux.fr;;Bibliothèque de Bacalan;;Non;Non;http://www.bordeaux.fr/o741/bibliotheque-bacalan;05 56 50 87 02;44,87287;-0,546607;Bordeaux;Bordeaux Métropole;;
02/12/2019;Bibliothèque de Cadaujac;Collectivité;Cadaujac;45 avenue du Général de Gaulle - 33140 CADAUJAC;bibliotheque@mairie-cadaujac.fr;;Bibliothèque de Cadaujac;;Non;Non;;05 56 23 57 61;44,7510819;-0,5456191;Graves;CC de Montesquieu;Accès à Internet en autonomie;
26/11/2019;Bibliothèque  de Le Pian Médoc;Collectivité;Le Pian-Médoc;260 rue Pasteur - 33290 LE PIAN MEDOC;bibliotheque@mairie-pianmedoc.fr;;Bibliothèque de Le Pian Médoc;;Non;Non;http://lepian.opac3d.fr;05 56 35 17 74;44,954149;-0,668948;Porte du Médoc;CC Médoc Estuaire;Accès à Internet en autonomie;Ordinateur
02/12/2019;Bibliothèque de l’Espace Gérard Denoël Lapouyade;Collectivité;Lapouyade;25 ter avenue de Verdun 33620 LAPOUYADE;bm.lapouyade@wanadoo.fr;L'espace communal Gérard Denoël est un lieu de rencontre qui regroupe plusieurs services : une bibliothèque pourvue d’un pôle internet, un Espace Intergénérationnel avec une salle de jeux, une Agence Postale Communale et un hall d’exposition.;Bibliothèque de l’Espace Gérard Denoël Lapouyade;;Non;Non;lapouyade.jimdo.com;05 57 49 42 89;45,0864403;-0,2872861;Libournais;CA du Libournais;Accès à Internet en autonomie;Accès Internet / Ordinateur / Tablette
13/05/2019;Bibliothèque de l'IUT de Bordeaux 1;Collectivité;Gradignan;15 Rue Naudet Bâtiment administratif - 33170 GRADIGNAN;bibliotheque@iut.u-bordeaux.fr;;Bibliothèque de l'IUT de Bordeaux 1;;Non;Oui;;05 56 84 79 69;44,769851;-0,613181;Graves;Bordeaux Métropole;Accès à Internet en autonomie / Etre accompagné dans ses démarches administratives;Accès Internet / Ordinateur
12/07/2019;Bibliothèque de Mazeres;Collectivité;Mazères;rue de la République - 33210 MAZERES;bibli.mazeres@cdcsudgironde.fr;Bibliothèque intercommunale de Mazères : sections adultes et jeunes;Bibliothèque de Mazeres;;Non;Non;http://www.cdcsudgironde.fr/index.php/culture-et-sport/bibliotheques;05 56 62 84 23;44,494635;-0,257847;Sud Gironde;CC du Sud Gironde;Accès à Internet en autonomie;Accès Internet / Ordinateur
04/11/2019;Bibliothèque des Capucins;Collectivité;Bordeaux;10-12 place des Capucins - 33000 BORDEAUX;dgac.lectpub@mairie-bordeaux.fr;;Bibliothèque des Capucins;;Non;Non;http://www.bordeaux.fr/o521/bibliotheque-capucins-saint-michel;05 56 91 18 79;44,830082;-0,567113;Bordeaux;Bordeaux Métropole;;
04/11/2019;Bibliothèque du Grand Parc;Collectivité;Bordeaux;34 rue Pierre Trébod - 33000 BORDEAUX;dgac.lectpub@mairie-bordeaux.fr;;Bibliothèque du Grand Parc;;Non;Non;http://www.bordeaux.fr/o743/bibliotheque-du-grand-parc;05 56 50 28 35;44,85643;-0,583114;Bordeaux;Bordeaux Métropole;;
10/12/2019;Bibliothèque du Haillan;Collectivité;Le Haillan;30 rue de Los Heros - 33185 LE HAILLAN;s.benchamoul@ville-lehaillan.fr;"Située en centre ville, la bibliothèque bénéficie de larges plages d'ouverture pour vous proposer une offre actuelle de presse, cinéma, lecture et musique en accès libre et gratuit. Pour une démarche en ligne, une recherche, jouer ou rédiger un document, 6 postes informatiques sous environnement windows équipés de logiciels bureautiques sont à votre disposition, ainsi qu'une imprimante multifonctions (impressions, photocopies, scan).
Pour jouer, réservez une tablette ou l'une de nos consoles de jeux !
Pour tout public, inscription gratuite aux heures d'ouverture du service, autorisation parentale requise pour les mineurs.";Bibliothèque du Haillan;;Non;Oui;http://bibliotheque.ville-lehaillan.fr/;05 57 93 11 31;44,872007;-0,674061;Porte du Médoc;Bordeaux Métropole;Accès à Internet en autonomie / Etre accompagné dans ses démarches administratives / Etre initié aux outils numériques / Pratiquer des activités récréatives numériques;Imprimante multi-fonctions / Ordinateur / Photocopieuse / Scanner / Tablette / Wifi
12/07/2019;Bibliothèque FARGUES ST HILAIRE;Collectivité;Fargues-Saint-Hilaire;61 avenue de l'Entre-Deux-Mers - 33370 FARGUES ST HILAIRE;bibli-fargues-st-hilaire@wanadoo.fr;;Bibliothèque FARGUES ST HILAIRE;;Non;Non;https://www.fargues-saint-hilaire.fr/culture/services-culturels/mediatheque;05 56 68 53 76;44,823875;-0,44569;Hauts de Garonne;CC des Coteaux Bordelais;Accès à Internet en autonomie;Accès Internet / Ordinateur
12/07/2019;Bibliothèque intercommunale LANGON;Collectivité;Langon;20-22 cours du Maréchal de Lattre de Tassigny - 33210 LANGON;bibli.langon@cdcsudgironde.fr;"La bibliothèque intercommunale de Langon fait partie du réseau de lecture publique de la Communauté de Communes du Sud Gironde.
Le réseau est composé d'une bibliothèque centrale : Langon et de 6 bibliothèques de proximité : Castets en Dorthe, Fargues de Langon, Mazères, Roaillan, Saint Pierre de Mons et Toulenne.";Bibliothèque intercommunale LANGON;;Non;Non;http://www.bibliotheques-paysdelangon.net/;05 56 62 33 39;44,552186;-0,245459;Sud Gironde;CC du Sud Gironde;Etre accompagné dans ses démarches administratives;Accès Internet / Ordinateur
12/07/2019;Bibliothèque intercommunale TOULENNE;Collectivité;Toulenne;30 rue de Vincennes - 33210 TOULENNE;bibli.toulenne@cdcsudgironde.fr;Bibliothèque intercommunale TOULENNE : sections adulte et jeunesse;Bibliothèque intercommunale TOULENNE;;Non;Non;http://www.bibliotheques-paysdelangon.net/;05 56 63 56 70;44,557857;-0,267294;Sud Gironde;CC du Sud Gironde;Accès à Internet en autonomie;Accès Internet / Ordinateur
04/11/2019;Bibliothèque Jardin Public;Collectivité;Bordeaux;Terrasse du Jardin Public - 33000 BORDEAUX;dgac.lectpub@mairie-bordeaux.fr;;Bibliothèque Jardin Public;;Non;Non;http://www.bordeaux.fr/o421/bibliotheque-du-jardin-public;05 56 81 38 91;44,85933;-0,571217;Bordeaux;Bordeaux Métropole;;
12/07/2019;Bibliothèque La Teste de Buch;Collectivité;La Teste-de-Buch;Place Jean Hameau Hôtel Lalanne - 33260 LA TESTE DE BUCH;bibliotheque@latestedebuch.fr;"Bibliothèque généraliste, qui dispose de collections adulte et jeunesse régulièrement actualisées.
Lieu de culture ouvert sur l’information, la connaissance et les loisirs, la Biblio propose également un agenda d’activités culturelles mensuelles.";Bibliothèque La Teste de Buch;;Non;Non;http://www.bibliotheque-latestedebuch.fr/;05 56 54 65 63;44,584861;-1,202251;Bassin;CA Bassin d'Arcachon Sud-Pôle Atlantique (COBAS);;Accès Internet
26/11/2019;Bibliothèque « Livres et Vous » Saint Ciers d’Abzac;Collectivité;Saint-Ciers-d'Abzac;20 rue François Mauriac  33910 St Ciers d’Abzac;bibliostciersdabzac@gmail.com;La bibliothèque assure le prêt de livres gratuitement et organise des animations régulières chaque mois (tout public et enfants) : lecture de contes, soirée jeux vidéo, Apéro Livres …;Bibliothèque « Livres et Vous » Saint Ciers d’Abzac;;Non;Oui;https://bibliostciersdabzac.wordpress.com;05 57 69 40 63;45,0307655;-0,2780296;Libournais;CA du Libournais;Accès à Internet en autonomie / Etre initié aux outils numériques;Accès Internet / Ordinateur
04/11/2019;Bibliothèque Mériadeck;Collectivité;Bordeaux;85 cours du Maréchal Juin - 33000 BORDEAUX;dgac.lectpub@mairie-bordeaux.fr;;Bibliothèque Mériadeck;;Non;Non;http://bmbordeaux.cyber-base.org/;05 56 10 30 00;44,835075;-0,586535;Bordeaux;Bordeaux Métropole;;
12/07/2019;Bibliothèque MONTUSSAN;Collectivité;Montussan;23 route Cure Mairie - 33450 MONTUSSAN;bibliotheque-montussan@wanadoo.fr;;Bibliothèque MONTUSSAN;;Non;Non;http://www.montussan.fr/?page_id=2134;05 56 72 88 42;44,885913;-0,427733;Hauts de Garonne;CC du Secteur de Saint-Loubès;Accès à Internet en autonomie;Accès Internet / Ordinateur / Wifi
12/07/2019;Bibliothèque Municiaple Génissac;Association;Génissac;92 rue de l’ancienne école 33420 Génissac;Biblio.genissac@gmail.com;Gérée par des bénévoles de l’association Familles Rurales de Génissac, la bibliothèque dispose d’environ 3 000 références au sein d’un espace convivial pour lire et échanger sur place, d’un espace dédié aux tous petits et d’un point informatique;Bibliothèque Municiaple Génissac;;Non;Oui;http://mabib.fr/genissac;05 57 74 84 99;44,8725164;-0,2445198;Libournais;CA du Libournais;Accès à Internet en autonomie / Etre initié aux outils numériques;Accès Internet / Imprimante multi-fonctions / Ordinateur
12/07/2019;Bibliothèque Municiaple  ST DENIS DE PILE;Collectivité;Saint-Denis-de-Pile;Place de Verdun - 33910 ST DENIS DE PILE;bibliotheque@mairie-saintdenisdepile.fr;Espace de découverte, d'information et de recherche composé de plus de 14 000 ouvrages (romans, documentaires, BD, essais, etc), 20 titres de revues pour enfants et adultes, et de livres en gros caractères. Toute l'année : animations, expositions, rencontres d'auteurs et dédicaces, accueil de classes et lectures aux tout-petits, point internet gratuit.;Bibliothèque Municiaple  ST DENIS DE PILE;;Non;Non;http://www.mairie-saintdenisdepile.fr/;05 57 55 19 45;44,992032;-0,205145;Libournais;CA du Libournais;Accès à Internet en autonomie;Accès Internet / Imprimante multi-fonctions / Ordinateur
12/07/2019;Bibliothèque Municipale BAURECH;Collectivité;Baurech;Le Bourg Mairie - 33880 BAURECH;clubdelecture.baurech@gmail.com;;Bibliothèque Municipale BAURECH;;Non;Non;http://www.bibliotheques.cdc-portesentredeuxmers.fr/index.php?option=com_contact&view=contact&id=1%3Abibliotheque-de-baurech&catid=12%3Abibliotheques&Itemid=49;05 56 21 32 67;44,732023;-0,43447;Hauts de Garonne;CC des Portes de l'Entre-Deux-Mers;Accès à Internet en autonomie;Imprimante multi-fonctions / Ordinateur
13/05/2019;Bibliothèque Municipale BEGLES;Collectivité;Bègles;58, avenue du Maréchal de Lattre de Tassigny - 33130 BEGLES;biblio.multimedia@mairie-begles.fr;;Bibliothèque Municipale BEGLES;;Non;Oui;http://bibliotheque.mairie-begles.fr/;05 56 49 54 81;44,806394;-0,542762;Graves;Bordeaux Métropole;Accès à Internet en autonomie / Etre accompagné dans ses démarches administratives / Etre initié aux outils numériques;Imprimante multi-fonctions / Ordinateur / Tablette
12/07/2019;Bibliothèque municipale CAMBLANES ET MEYNAC;Collectivité;Camblanes-et-Meynac;Chemin des écoliers - 33360 CAMBLANES ET MEYNAC;mediatheque.de.camblanes@sfr.fr;;Bibliothèque municipale CAMBLANES ET MEYNAC;;Non;Oui;;05 57 97 16 90;44,765431;-0,480123;Hauts de Garonne;CC des Portes de l'Entre-Deux-Mers;Accès à Internet en autonomie / Etre initié aux outils numériques;Accès Internet / Ordinateur
07/05/2019;Bibliothèque municipale CARBON BLANC;Collectivité;Carbon-Blanc;17 avenue Vigneau Anglade - 33560 CARBON BLANC;mediatheque@carbon-blanc.fr;;Bibliothèque municipale CARBON BLANC;;Non;Oui;http://www.mediatheque-carbon-blanc.fr;05 57 77 68 86;44,903394;-0,50064;Hauts de Garonne;Bordeaux Métropole;Accès à Internet en autonomie / Etre accompagné dans ses démarches administratives;Accès Internet / Ordinateur
12/07/2019;Bibliothèque municipale de la Mairie de Nérigean;Association;Nérigean;25 route de la Souloire 33750 NERIGEAN;bibliothequenerigean@gmail.com;La bibliothèque gérée par une équipe de bénévole de l’association Culture et Passion (C.E.P.) possède un fonds permanent de plus de 2 000 livres en prêt ainsi que des CD et des livres audio pour les grands et les petits, et un espace informatique;Bibliothèque municipale Nérigean;;Non;Non;https://nerigean.fr/;05 57 24 52 70;44,84143325;-0,289137593044509;Libournais;CA du Libournais;Accès à Internet en autonomie;Accès Internet / Imprimante multi-fonctions / Ordinateur
12/07/2019;Bibliothèque municipale d'Etauliers;Collectivité;Étauliers;71 Rue Principale - 33820 ETAULIERS;mairie.etauliers@gmail.com;;Bibliothèque municipale d'Etauliers;;Non;Non;@;05 57 64 70 27;45,228241;-0,573721;Haute Gironde;CC de l'Estuaire;Accès à Internet en autonomie;Ordinateur
12/07/2019;Bibliothèque municipale Johel Coutura;Collectivité;Blaye;27 cours de la République - 33390 BLAYE;bibliotheque@blaye.fr;;Bibliothèque municipale Johel Coutura de BLAYE;;Non;Non;http://www.blaye.fr/culture-et-loisirs/bibliotheque-municipale-j-coutura/;05 57 42 23 58;45,129359;-0,661675;Haute Gironde;CC de Blaye;Accès à Internet en autonomie;Ordinateur
12/07/2019;Bibliothèque Municipale  Mairie de Saint Germain du Puch;Collectivité;Saint-Germain-du-Puch;5 rue de l'église 33750 SAINT GERMAIN DU PUCH;bibliotheque.saint-germain-du-puch@orange.fr;Découvrez au sein de la bibliothèque les coups de coeur de vos bibliothécaires, un accès aux ressources numériques de la bibliothèque départementale de prêt et un atelier informatique;Bibliothèque Municipale  Saint Germain du Puch;;Non;Non;@;05.57.24.51.19;44,8567867;-0,3219507;Libournais;CA du Libournais;Accès à Internet en autonomie / Etre initié aux outils numériques;Accès Internet / Ordinateur
12/07/2019;Bibliothèque municipale Mairie de Saint Médard de Guizières;Collectivité;Saint-Médard-de-Guizières;9 esplanade du 18 juin 33230 ST MEDARD DE GUIZIERES;biblio.33230smdg@gmail.com;La bibliothèque avec espace numérique;Bibliothèque municipale Saint Médard de Guizières;;Non;Non;www.saintmedarddeqguizieres.fr;06 87 86 09 25;45,014416;-0,056869;Libournais;CA du Libournais;Accès à Internet en autonomie / Etre initié aux outils numériques;Accès Internet / Imprimante multi-fonctions / Ordinateur
17/04/2019;Bibliothèque municipale Roland Barthes;Collectivité;Floirac;Rue Voltaire - 33270 FLOIRAC;mediatheque@ville-floirac33.fr;;Bibliothèque municipale Roland Barthes;;Non;Non;http://www.ville-floirac33.fr/;05 56 86 99 28;44,844688;-0,509383;Hauts de Garonne;Bordeaux Métropole;Accès à Internet en autonomie;Accès Internet / Ordinateur
12/07/2019;Bibliothèque municipale SADIRAC;Collectivité;Sadirac;Place de l'église - 33670 SADIRAC;v.chiccoli@sadirac.fr;"Cours informatique :
mercredi : 9h30 - 12h30 
vend: 16h - 18h30 
samedi : 9h30 - 12h30";Bibliothèque municipale SADIRAC;;Non;Oui;http://www.sadirac.com/;05 56 30 61 17;44,781727;-0,411312;Hauts de Garonne;CC du Créonnais;Accès à Internet en autonomie / Etre accompagné dans ses démarches administratives / Etre initié aux outils numériques;Ordinateur
05/12/2019;Bibliothèque Pablo Neruda Pessac;Collectivité;Pessac;16 bis allée des Mimosas - 33600 PESSAC;biblio.pabloneruda@mairie-pessac.fr;"Bibliothèque de quartier située à Saige-Formanoir à Pessac, accueillant enfants et adultes
Accès sur inscription pour les postes informatiques sans devoir s'inscrire à la bibliothèque";Bibliothèque Pablo Neruda Pessac;;Non;Oui;http://mediatheque.mairie-pessac.fr/EXPLOITATION/Default/les-mediatheques.aspx;05 57 93 67 20;44,79061;-0,631273;Graves;Bordeaux Métropole;Accès à Internet en autonomie / Etre accompagné dans ses démarches administratives / Etre initié aux outils numériques / Pratiquer des activités récréatives numériques;Accès Internet / Imprimante / Ordinateur / Scanner / Wifi
12/07/2019;Bibliothèque Saint-Palais;Collectivité;Saint-Palais;16 le Bourg -33820 SAINT-PALAIS;;;Bibliothèque Saint-Palais;;Non;Non;;0557326158;45,269;-0,523415;Haute Gironde;CC de l'Estuaire;Accès à Internet en autonomie;Ordinateur
