bfc_id,mise_a_jour,lon,lat,adresse,code_postal,ville,adresse_full,departement,dep_txt,nom_structure,url_lieu,contact_email,contact_tel,source,url_illustration,code_typo,def_typo,code_label,def_label,code_accomp,def_accomp,horaires
mednumBFC_TL_61_,,5.031579,47.315282,2  rue des Corroyeurs,21000,DIJON,2  rue des Corroyeurs 21000 DIJON,21,D_21,PANDA 1er mai,,,,,,M,Lieux de médiation publique,DM,Réseau Dijon métropole,,,"<ul><li>- </li><li>- mardi matin: 10h-12h / mardi après-midi: 16h-18h<br>
</li><li>- </li><li>- jeudi matin: 10h-12h</li><li>- vendredi matin: 10h-12h</li><li>- </li><li>- </li></ul>"
mednumBFC_TL_62_,,5.015599,47.308963,31 boulevard Eugène Fyot,21000,DIJON,31 boulevard Eugène Fyot 21000 DIJON,21,D_21,PANDA Bourroches,,,,,,M,Lieux de médiation publique,DM,Réseau Dijon métropole,,,"<ul><li>- </li><li>-  / mardi après-midi: 18h-20h<br>
</li><li>-  / mercredi après-midi: 14h-18h<br>
</li><li>- </li><li>-  / vendredi après-midi: 15h-17h<br>
</li><li>- </li><li>- </li></ul>"
mednumBFC_TL_63_,,5.039781,47.308806,6  rue Joseph Milsand,21000,DIJON,6  rue Joseph Milsand 21000 DIJON,21,D_21,PANDA Chevreul,,,,,,M,Lieux de médiation publique,DM,Réseau Dijon métropole,,,"<ul><li>- </li><li>- </li><li>- </li><li>- </li><li>-  / vendredi après-midi: 19h-21h<br>
</li><li>- </li><li>- </li></ul>"
mednumBFC_TL_64_,,5.008154,47.319111,2 allée de Grenoble,21000,DIJON,2 allée de Grenoble 21000 DIJON,21,D_21,PANDA Fontaine d'Ouche,,,,,,M,Lieux de médiation publique,DM,Réseau Dijon métropole,,,"<ul><li>- </li><li>- mardi matin: 10h-12h / mardi après-midi: 14h-16h<br>
</li><li>- mercredi matin: 10h-12h / mercredi après-midi: 14h-18h<br>
</li><li>- jeudi matin: 9h-12h</li><li>- vendredi matin: 9h-12h / vendredi après-midi: 16h-18h<br>
</li><li>- </li><li>- </li></ul>"
mednumBFC_TL_65_,,5.025971,47.320367,14 rue Jehan de Marville,21000,DIJON,14 rue Jehan de Marville 21000 DIJON,21,D_21,PANDA Jardin des Sciences,,,,,,M,Lieux de médiation publique,DM,Réseau Dijon métropole,,,<ul><li>- </li><li>- </li><li>- mercredi matin: 8h-12h</li><li>- </li><li>- </li><li>- </li><li>- </li></ul>
mednumBFC_TL_66_,,5.008154,47.319111,2  allée de Grenoble,21000,DIJON,2  allée de Grenoble 21000 DIJON,21,D_21,PANDA Lab - Maison Phare MJC,https://lamaisonphare.fr/,contact@lamaisonphare.fr,03 80 45 45 26,,,M-F-TL,Lieux de médiation publique-Lieux de médiation et de fabrication-Lieux de travail et de collaborationL,DM,Réseau Dijon métropole,,,
mednumBFC_TL_67_,,5.042991000000001,47.350615999999995,25 avenue Charles Baudelaire,21000,DIJON,25 avenue Charles Baudelaire 21000 DIJON,21,D_21,PANDA Lab Baudelaire,,,,,,M-F-TL,Lieux de médiation publique-Lieux de médiation et de fabrication-Lieux de travail et de collaborationL,DM,Réseau Dijon métropole,,,"<ul><li>- </li><li>-  / mardi après-midi: 15h-17h<br>
</li><li>-  / mercredi après-midi: 14h-16h<br>
</li><li>- jeudi matin: 10h-12h / jeudi après-midi: 19h-21h<br>
</li><li>- </li><li>- </li><li>- </li></ul>"
mednumBFC_TL_68_,,5.032554,47.333696,2H  rue Darius Milhaud,21000,DIJON,2H  rue Darius Milhaud 21000 DIJON,21,D_21,PANDA Montchapet,,,,,,M,Lieux de médiation publique,DM,Réseau Dijon métropole,,,"<ul><li>- </li><li>- </li><li>- </li><li>- </li><li>-  / vendredi après-midi: 19h-21h<br>
</li><li>-  / samedi après-midi: 14h-18h<br>
</li><li>- </li></ul>"
mednumBFC_TL_69_,,5.068201,47.312553,Avenue Alain Savary,21000,DIJON,Avenue Alain Savary 21000 DIJON,21,D_21,PANDA Université,,,,,,M,Lieux de médiation publique,DM,Réseau Dijon métropole,,,"<ul><li>- </li><li>- </li><li>- </li><li>- </li><li>- </li><li>-  / samedi après-midi: 13h-15h<br>
</li><li>- </li></ul>"
mednumBFC_TL_70_,,5.036812,47.322066,7bis  rue du Chapeau Rouge,21000,DIJON,7bis  rue du Chapeau Rouge 21000 DIJON,21,D_21,Quatre Quarts,https://quatrequarts.fr/,contact@quatrequarts.fr,03 80 30 98 47,,,T-TL,Lieux de travail et de collaboration-Lieux de travail et de collaborationL,,,,,
mednumBFC_TL_71_,,5.036269,47.324365,15 boulevard de Brosse,21000,DIJON,15 boulevard de Brosse 21000 DIJON,21,D_21,Startway Dijon,https://www.start-way.com/project/coworking-dijon-centre/,hello@start-way.com,07 49 35 29 47,,,T-TL,Lieux de travail et de collaboration-Lieux de travail et de collaborationL,,,,,
mednumBFC_TL_72_,,5.14572,47.255702,Place de la mairie,21110,FAUVERNEY,Place de la mairie 21110 FAUVERNEY,21,D_21,Bibliothèque municipale de Fauverney,,,,,,M,Lieux de médiation publique,,,,,
mednumBFC_TL_73_,,5.224851,47.240966,12  rue de Franche-Comté,21110,GENLIS,12  rue de Franche-Comté 21110 GENLIS,21,D_21,Espace Coluche. Service Enfance Jeunesse,,,,,,M,Lieux de médiation publique,,,,,
mednumBFC_TL_74_,,5.171291,47.274087,Point Internet Fauverney,21110,FAUVERNEY,Point Internet Fauverney 21110 FAUVERNEY,21,D_21,Point Internet Fauverney,,,,,,M,Lieux de médiation publique,,,,,
mednumBFC_TL_75_,,5.115722,47.522443,1 avenue Carnot,21120,IS-SUR-TILLE,1 avenue Carnot 21120 IS-SUR-TILLE,21,D_21,Espace Numérique Côte-d'Or d'Is-sur-Tille,,,07 72 55 21 16,,,M,Lieux de médiation publique,,,,,
mednumBFC_TL_76_,,5.112966,47.521601000000004,20 place du Général Leclerc,21120,IS-SUR-TILLE,20 place du Général Leclerc 21120 IS-SUR-TILLE,21,D_21,MSAP Is-sur-Tille,,msap.issurtille@hotmail.com,,,,I,Lieux d’information et d’accès aux droits,-MSAP-MFS,-Maison de Services Au Public-Maison France Services,,,"<ul><li>- lundi matin: 9h-12h / lundi après-midi: 13h30-17h<br>
</li><li>- mardi matin: 9h-12h / mardi après-midi: 13h30-17h<br>
</li><li>- mercredi matin: 9h-12h / mercredi après-midi: 13h30-17h<br>
</li><li>- jeudi matin: 9h-12h / jeudi après-midi: 13h30-17h<br>
</li><li>- vendredi matin: 9h-12h / vendredi après-midi: 13h30-16h<br>
</li><li>- </li><li>- </li></ul>"
mednumBFC_TL_77_,,5.025536,47.339232,5  rue des ponnières,21121,FONTAINE-LES-DIJON,5  rue des ponnières 21121 FONTAINE-LES-DIJON,21,D_21,Atelier D’calés,https://atelier-d-cales.jimdofree.com/,atelier.d.cales@gmail.com,06 63 29 37 49,,,F-TL,Lieux de médiation et de fabrication-Lieux de travail et de collaborationL,,,,,
