"ID Exporter les données","Exporter les données","Horodateur","Nom SP","Statut","EPN","Nature","Ouverture","Mail SP","Adresse SP","CP","Commune","Tél SP","Site SP","Accès équipement","Type équipement","Fixe mobile équipement","Lieu mobilité équipement","Conditions accès équipement","Coût accès équipement","Horaires équipement","Médnum","Compétences médnum","Fixe mobile médnum","Lieu mobilité médnum","Conditions accès médnum","Accompagnement médnum","Coût accès médnum","Fréquence médnum","Horaires médnum","Démarches","Démarches spécifiques","Type démarches","Fixe mobile démarches","Lieu mobilité démarches","Conditions accès démarches","Accompagnement démarches","Coût accès démarches","Fréquence démarches","Horaires démarches","Stockage","Coût stockage","vente matériel","typé vente matériel","connaissance aptic","intéréssée aptic","connaissance picto","intéréssée picto","Publics spécifiques","Publics","Territoire","Quel territoire","PMR","Transports en commun","Collaboration","Autres structures partenaires","Autres offres","chéques APTIC","LIEN PICTO aptic","LIEN PICTO ACCES","PICTO","Latitude","Longitude"
"20","Association Médico Sociale Anne Morgan (ANSAM)","2018","Association Médico Sociale Anne Morgan (ANSAM)","Privé","Non","Association","","contact@amsam.net","31 rue Anne Morgan","02200","Soissons","03 23 75 51 00","http://amsam.net/","Non","","","","","","","Non","","","","","","","","","Oui","","L'association accompagne des personnes âgées, malades,  en situation de handicap et de précarité. Un ensemble de services est proposé pour le maintien à domicile dans le respect de l'autonomie dont l'accompagnement aux démarches administratives.","","","Sur rendez-vous","Individuel","Gratuit","","","Non","","Non","","","","","","","Personnes âgées et/ou handicapées","","","Oui","","","","","","","","http://hauts-de-france.drjscs.gouv.fr/sites/hauts-de-france.drjscs.gouv.fr/IMG/png/picto3.png","49,372772","3,320975"
"21","Humanis / Ville de Roubaix","2018","Humanis / Ville de Roubaix","Public / Privé","Non","Association","Du mardi au vendredi : 09:00-18:00 / Samedi : 09:30-12:30","guillaume.alsac.ext@humanis.com","13 Rue Pierre Motte","59170","Roubaix","06 85 32 47 33","https://reseau-confiance-roubaix.humanis.com/fr/login","Non","","","","","","","Oui","« Réseau de Confiance », c’est une démarche de territoire qui vise à renforcer la vie sociale de chaque senior grâce à un accès facilité à un réseau de personnes fiables et à des activités de proximité. Le réseau propose des ateliers d'initiation au numérique en petits groupes (3 ou 4) encadrés par deux intervenants sur 4 à 6 semaines.","","","Accès libre","","Gratuit","","","Oui","","Une permanence d'accueil, dans les locaux d'Humanis, sans rendez-vous permet également d'accompagner le public dans la réalisation de leurs démarches.","","","Accès libre","","Gratuit","","","Non","","Non","","","","","","","Personnes âgées et/ou handicapées","","","","","","","","","","","http://hauts-de-france.drjscs.gouv.fr/sites/hauts-de-france.drjscs.gouv.fr/IMG/png/picto23.png","50,686901","3,190715"
"24","Centre Social La Busette","2018","Centre Social La Busette","Privé","Non","Centre social","voir site internet","cs.cyberbusette@gmail.com","1 Rue Georges Lefebvre","59000","Lille","03 20 49 02 53","https://cslabusette.wordpress.com/","Oui","Avec la présence d'un médiateur social, accès libre aux ordinateurs ainsi qu'à la connexion WiFI. Possibilité d'être accompagné et aidé individuellement sur une démarche ou un besoin précis.","Dans un lieu d'accueil fixe","","Accès libre","Gratuit - Tarif d’adhésion annuelle : 6€","","Oui","Ateliers d'informatique -  Numérique au quotidien  - Avec un médiateur numérique, cours sur une thématique qui change tous les mois selon les envies des participants. / Avec un membre de l'UTPAS : constitution et suivi des dossiers administratifs ; conseils et orientations vers les structures adéquates.","","","Sur inscription","En groupe","Gratuit - Tarif d’adhésion annuelle : 6€","","","Oui","Accompagnement autour des télé-services administratifs","","","","Accessible à tous","Personnalisé","Gratuit","","","Non","","Non","","","","","","","Adhérents du Centre Social","","","Oui","","","","","","","https://pictoaccess.fr/widgets/poi?uid=4f91db6b-dd6f-4092-906a-20e6bbdaad5e","http://hauts-de-france.drjscs.gouv.fr/sites/hauts-de-france.drjscs.gouv.fr/IMG/png/picto123.png","50,63086","3,074662"
"25","Maison de Quartier les Moulins","2018","Maison de Quartier les Moulins","Privé","Non","Maison de quartier","Lundi : 09:30-12:00","cybermdqmoulins@orange.fr","1 rue Armand Carrel","59000","Lille","03 20 53 45 05","http://www.maisondequartierlesmoulins.fr/","Oui","Avec la présence d'un médiateur numérique, accès libre aux ordinateurs, à l'imprimante, à la connexion WiFI","Dans un lieu d'accueil fixe","","Accès libre avec accompagnement personnalisé sur demande","Gratuit","","Oui","Accompagnement à la recherche d'emploi - Avec un médiateur social et un animateur numérique : réalisation d'un bilan de compétences, rédaction de CV et lettres de motivation, recherche d'offres d'emploi, navigation sur le site Pôle Emploi","","","Accès libre","Personnalisé","Tarifs pour une adhésion annuelle : - jeunes de 11 à 25 ans : 5€ - adulte au Quotient Familial inférieur à 470€ : 7,50€ sinon 10€","","","Oui","","Possibilité d'être accompagné individuellement sur un problème, une question, une démarche.","","","","Individuel","voir adhésion","","","Non","","Non","","","","","","","Tout public","","","","","","","","","","","http://hauts-de-france.drjscs.gouv.fr/sites/hauts-de-france.drjscs.gouv.fr/IMG/png/picto123.png","50,617921","3,07383"
"31","Centre Social d'Ostricourt","2018","Centre Social d'Ostricourt","Privé","Non","Centre social","Lundi : 10:00-12:00","","251 Avenue du Maréchal Leclerc","59162","Ostricourt","03 27 89 81 12","http://centresocialostricourt.e-monsite.com/","Non","","","","","","","Oui","Ateliers sur les bases de l'informatique en vue de l'insertion - Formation de 24h (sessions de 2h/semaine) portant sur les bases nécessaires aux tâches administratives","","","Sur inscription","En groupe","Gratuit","","","Non","","","","","","","","","","Non","","Non","","","","","","","Allocataires RSA","","","Oui","","","","","","","","http://hauts-de-france.drjscs.gouv.fr/sites/hauts-de-france.drjscs.gouv.fr/IMG/png/picto2.png","50,458208","3,029403"
"33","Centre Social du Centre Ville","2018","Centre Social du Centre Ville","Privé","Non","Centre social","Du lundi au vendredi : 09:00-12:00 et 14:00-17:00","","9 Quai Saint-Lazare","59400","Cambrai","03 27 70 02 02","http://www.centresocialcambrai.fr/CSCV/","Oui","Cyber centre disposant de 8 postes en accès libre","Dans un lieu d'accueil fixe","","Accès libre avec accompagnement personnalisé sur demande","Gratuit","","Non","","","","","","","","","Non","","","","","","","","","","Non","","Non","","","","","","","Tout public","","","Oui","","","","","","","","http://hauts-de-france.drjscs.gouv.fr/sites/hauts-de-france.drjscs.gouv.fr/IMG/png/picto1.png","50,180505","3,229909"
"38","Centre Socio-Culturel de Denain","2018","Centre Socio-Culturel de Denain","Privé","Non","Centre social","Vendredi : 14:00-16:00","","Maison de Quartier Fernand Duchateau, 59 rue Patrick Roy","59220","Denain","03 27 32 13 21","","Non","","","","","","","Oui","Atelier d'initiation à l'informatique (bureautique, internet, démarches en ligne, etc.). Cours ouvert à tous, mais les séniors sont prioritaires.","","","Accès libre","En groupe","Gratuit","","","Non","","","","","","","","","","Non","","Non","","","","","","","Adhérents","","","Oui","","","","","","","","http://hauts-de-france.drjscs.gouv.fr/sites/hauts-de-france.drjscs.gouv.fr/IMG/png/picto2.png","50,318168","3,402956"
"39","Centre Socio-Culturel Agora","2018","Centre Socio-Culturel Agora","Privé","Non","Centre social","Du lundi au vendredi : 09:00-12:00 et 13:30-17:30","csagora@acsrv.org","18 avenue Julien Renard","59282","Douchy les Mines","03 27 44 05 42","","Oui","Le Centre Social dispose d'une salle comprenant plusieurs postes informatiques ouverte aux usagers de la structure ainsi qu'aux habitants de la ville.","Dans un lieu d'accueil fixe","","Accès libre avec accompagnement personnalisé sur demande","Gratuit","aux horaires d'ouverture de la structure.","Non","","","","","","","","","Non","","","","","","","","","","Non","","Non","","","","","","","Tout public","","","Oui","","","","","","","","http://hauts-de-france.drjscs.gouv.fr/sites/hauts-de-france.drjscs.gouv.fr/IMG/png/picto1.png","50,300205","3,392276"
"40","Maison de Quartier Sabatier","2018","Maison de Quartier Sabatier","Privé","Non","Maison de quartier","Mardi : 14:00-16:00","sabatier.amqr@gmail.com","78D rue de Thiers","59590","Raismes","03 27 51 43 80","https://www.quartiersderaismes.fr/index.php/sabatier","Non","","","","","","","Oui","Ateliers de formation à l'informatique (bureautique, internet, démarches en ligne, etc.). 2 niveaux : débutants et confirmés","","","Sur inscription","En groupe","Gratuit","","","Non","","","","","","","","","","Non","","Non","","","","","","","Adhérents","","","Oui","","","","","","","","http://hauts-de-france.drjscs.gouv.fr/sites/hauts-de-france.drjscs.gouv.fr/IMG/png/picto2.png","50,406036","3,517429"
"41","Centre Social Rural de Lamorlaye","2018","Centre Social Rural de Lamorlaye","Privé","Non","Centre social","Du lundi au vendredi : 07:00-19:30","","87 avenue de la Libération","60260","Lamorlaye","03 44 21 61 61","http://www.centre-social-rural-lamorlaye.org/","Oui","","Dans un lieu d'accueil fixe","","Accès libre","Gratuit","","Oui","Mise à disposition, via une convention de prêt, par le Centre Social de tablettes numériques Ardoiz, adaptées aux séniors.   Initiation à la tablette numérique Ardoiz – « Nos séniors connectés » : prise en main, mise en fonction.","Dans un lieu d'accueil fixe","","Sur rendez-vous / Nombre de tablettes limité","Individuel","Gratuit"," suivi hebdomadaire avec un visiteur de la structure","","Oui","","L'association du Centre Social Rural de Lamorlaye est partenaire d'appui à l'accueil des usagers de la CAF de l'Oise.   Elle propose un accès libre et sécurisé aux sites internet de la CAF : caf.fr, mon-enfant.fr, viesdefamilles.fr   L'usager peut recevoir un accompagnement s'il le souhaite","Dans un lieu d'accueil fixe","","Accès libre","Personnalisé","","","","Non","","Non","","","","","","","Séniors éloignés du numériques","","","Non","","","","","","","","http://hauts-de-france.drjscs.gouv.fr/sites/hauts-de-france.drjscs.gouv.fr/IMG/png/picto123.png","49,157095","2,445793"
"42","Maison de Services Au Public d'Hondshoote","2018","Maison de Services Au Public d'Hondshoote","Public","Non","Maison de Service au Public (MSAP)","Du lundi au jeudi : 09:00-12:00 et 14:00-17:00 / Vendredi : 09:00-12:00 et 13:00-16:00","Christophe.ryckebush@lenord.fr","1 rue de Cassel","59122","Hondschoote","03 59 73 41 80","https://www.maisondeservicesaupublic.fr/content/hondschoote","Oui"," Poste Kiosque  : accès libre à l'ordinateur avec internet, relié imprimante et scanner. Possibilité d'être accompagné sur demande","Dans un lieu d'accueil fixe","","Accès libre","Gratuit","","Non","","","","","","","","","Oui","Oui","Offre de proximité et de qualité afin de réaliser les démarches de la vie quotidienne.    Services disponibles : Pôle Emploi ; Caisse nationale d'assurance maladie ; Caisse nationale d'assurance vieillesse ; Caisse nationale des allocations familiales ; Caisse centrale de la mutualité sociale agricole ; La Poste ; GRDF ; Bailleurs sociaux ; Banque de France ; CICAS ; Conseil départemental ; EDF ; Enedis ; Engie ; Préfecture ; Régime social des Indépendants ; Relais d'assistantes maternelles ; Suez ; Trésor Public ; URSSAF    En un lieu unique :   - accueil, information sur les droits et prestations    - aide à l'utilisation des services en ligne : télé-déclarations ; création, suivi et mise à jour de son espace personnel en ligne    - orientation vers les partenaires, prise de rendez-vous","Dans un lieu d'accueil fixe","","","Individuel","Gratuit","","","Non","","Non","","","","","","","Tout public","","","Oui","","","","","","","","http://hauts-de-france.drjscs.gouv.fr/sites/hauts-de-france.drjscs.gouv.fr/IMG/png/picto13.png","50,976711","2,580848"
"45","Maison de Services Au Public de Saint-Erme","28/11/2019","Maison de Services Au Public de Saint-Erme","Public","Oui","Maison de Service au Public (MSAP)","Lundi 09:00-12:00 et 13:30-18:30 / Mardi, mercredi, jeudi : 09:00-12:00 et 13:30-17:30 / Vendredi : 09:00-12:00 et 13:00-17:00","Faitout@cc-champagnepicarde.fr","2 bis route de Montaigu","02820","Saint Erme","0323223190","www.faitoutconnecte.com","Oui","Mise à disposition d'ordinateurs avec connexion internet    Reliés à l'imprimante et au scanner    Connexion WiFi","Dans un lieu d'accueil fixe","","Accès libre","Gratuit","","Oui","Accès libre avec possibilité d'être accompagné si besoin","Dans un lieu d'accueil fixe","","","Individuel","Gratuit","","","Oui","Oui","Offre de proximité et de qualité afin de réaliser les démarches de la vie quotidienne.    Services proposés : Pôle Emploi ; Caisse nationale d'assurance maladie ; Caisse nationale d'assurance vieillesse ; Caisse nationale des allocations familiales ; Caisse centrale de la mutualité sociale agricole ; GRDF ; Communauté de communes ; Commune ; Conseil départemental ; Mission locale ; Point d'appui à la vie associative ; Point Info Jeunesse ; Préfecture ; SNCF ; Trésor Public    En un lieu unique :    - accueil, information sur les droits et prestations    - aide à l'utilisation des services en ligne : télé-déclarations ; création, suivi et mise à jour de son espace personnel en ligne    - orientation vers les partenaires, prise de rendez-vous","Dans un lieu d'accueil fixe","","","Individuel","Gratuit","","","Non","","Non","","","","","","","Tout public","","","Oui","","","","","","","","http://hauts-de-france.drjscs.gouv.fr/sites/hauts-de-france.drjscs.gouv.fr/IMG/png/picto123.png","49,5274959","3,8567987"
"47","Maison de Services Au Public de Cassel","2018","Maison de Services Au Public de Cassel","Privé","Non","Maison de Service au Public (MSAP)","Du lundi au vendredi : 09:00-12:00 et 13:30-16:30 / Samedi : 09:00-12:00","msap.cassel@laposte.fr","16 rue de Bergues","59670","Cassel","","https://www.maisondeservicesaupublic.fr/content/cassel-bureau-de-poste","Oui","Mise à disposition d'un accès à internet sur un poste fixe ainsi que du Wi-fi - Équipements supplémentaires : imprimante, scanner, photocopieuse","Dans un lieu d'accueil fixe","","Accès libre","Gratuit","","Non","","","","","","","","","Oui","Oui","Offre de proximité et de qualité afin de réaliser les démarches de la vie quotidienne.    Services disponibles : Pôle Emploi ; Caisse nationale d'assurance maladie ; Caisse nationale d'assurance vieillesse ; Caisse nationale des allocations familiales ; Caisse centrale de la mutualité sociale agricole ; GRDF ; La Poste   En un lieu unique :    - accueil, information sur les droits et prestations    - aide à l'utilisation des services en ligne : télé-déclarations ; création, suivi et mise à jour de son espace personnel en ligne    - orientation vers les partenaires, prise de rendez-vous","Dans un lieu d'accueil fixe","","","Individuel","Gratuit","","","Non","","Non","","","","","","","Tout public","","","Oui","","","","","","","","http://hauts-de-france.drjscs.gouv.fr/sites/hauts-de-france.drjscs.gouv.fr/IMG/png/picto13.png","50,800265","2,487435"
"49","Maison de Services Au Public de Crécy-en-Ponthieu","2018","Maison de Services Au Public de Crécy-en-Ponthieu","Privé","Non","Maison de Service au Public (MSAP)","Du lundi au vendredi : 08:30-12:00","nathalie.wolmer@ponthieu-marquenterre.fr","Place Jean de Luxembourg","80150","Crécy-en-Ponthieu","03 22 31 84 16","https://www.maisondeservicesaupublic.fr/content/crecy-en-ponthieu-et-rue-point-accueil-multiservices","Non","","","","","","","Non","","","","","","","","","Oui","Oui","Offre de proximité et de qualité afin de réaliser les démarches de la vie quotidienne.    Services disponibles : Pôle Emploi ; Caisse nationale d'assurance maladie ; Caisse nationale d'assurance vieillesse ; Caisse nationale des allocations familiales ; Caisse centrale de la mutualité sociale agricole ; La Poste ; GRDF ; Centre social ; Chambre de commerce et d'industrie (CCI) ; Conseil départemental ; EDF; Mission locale ; Régime social des indépendants (RSI) ; Trésor Public      En un lieu unique :    - accueil, information sur les droits et prestations    - aide à l'utilisation des services en ligne : télé-déclarations ; création, suivi et mise à jour de son espace personnel en ligne    - orientation vers les partenaires, prise de rendez-vous","Dans un lieu d'accueil fixe","","","Individuel","Gratuit","","","Non","","Non","","","","","","","Tout public","","","","","","","","","","","http://hauts-de-france.drjscs.gouv.fr/sites/hauts-de-france.drjscs.gouv.fr/IMG/png/picto3.png","50,252607","1,882454"
"50","Communauté de Communes Sud-Artois/Espace numérique Achiet-le-Grand","2018","Communauté de Communes Sud-Artois/Espace numérique Achiet-le-Grand","Public","Non","Administration - Collectivité territoriale","Ateliers sur réservation et accès libre","","19 Rue de la Mairie","62121","Achiet-le-Grand","","http://www.cc-sudartois.fr/","Non","","","","","","","Oui","Accompagnement des publics à l'informatique dans des lieux dédiés via des ateliers. Objectif : rendre autonome.","Dans un lieu d'accueil fixe","","Accès libre et inscription","En groupe","Gratuit","","","Oui","","Accompagnement aux démarches informatiques","Dans un lieu d'accueil fixe","","Accès libre et inscription","En groupe","Gratuit","","","Non","","Non","","","","","","Oui","Tout public (séniors, jeunes, demandeurs d'emplois)","","","Oui","","","","","","","https://pictoaccess.fr/widgets/poi?uid=3979abee-4ec6-452a-a8c7-e2757b0094af","http://hauts-de-france.drjscs.gouv.fr/sites/hauts-de-france.drjscs.gouv.fr/IMG/png/picto23.png","50,132361","2,785234"
"51","Communauté de Communes Sud-Artois/Espace numérique Bapaume","2018","Communauté de Communes Sud-Artois/Espace numérique Bapaume","Public","Non","Administration - Collectivité territoriale","Ateliers sur réservation et accès libre","","1 chemin des Anzacs","62450","Bapaume","","http://www.cc-sudartois.fr/","Non","","","","","","","Oui","Accompagnement des publics à l'informatique dans des lieux dédiés via des ateliers. Objectif : rendre autonome.","Dans un lieu d'accueil fixe","","Accès libre et inscription","En groupe","Gratuit","","","Oui","","Accompagnement aux démarches informatiques","Dans un lieu d'accueil fixe","","Accès libre et inscription","En groupe","Gratuit","","","Non","","Non","","","","","","Oui","Tout public (séniors, jeunes, demandeurs d'emplois)","","","Oui","","","","","","","","http://hauts-de-france.drjscs.gouv.fr/sites/hauts-de-france.drjscs.gouv.fr/IMG/png/picto23.png","50,101553","2,864818"
