Num;Nom de votre structure;Nature de votre structure;Adresse e-mail de votre structure;Numéro de téléphone de votre structure;Site internet de votre structure;Numéro de rue;Nom de rue;Code postal;Ville;Accompagnez-vous des publics spécifiques?;Quel type d'accompagnement ?;Quels sont les horaires;Quelles sont les conditions d'accès à vos services ? (adhésion préalable, prise de rdv,...);Quels sont les tarifs appliqués ?;Quel(s) service(s) proposez-vous?;Quel type d'équipement est en accès libre ?;Dans quel(s) domaine(s) proposez-vous une assistance ?;Quelles actions de formation et/ou d'accompagnement proposez-vous ?;Précision et complément d'information sur vos actions de formation et/ou d'accompagnement ?;;Présentation sommaire de votre structure (max 200 caractères);Présentation globale de l'implication de votre structure en matière d'inclusion numérique (max 200 caractères)
11;Secours Catholique;Association;equipe.miramont247@secours-catholique.org;553897696;;5-Jul;Rue Philippeaux;47800;Miramont de Guyenne;Tout public, Plus de 60 ans, Moins de 26 ans, Bénéficiaires du RSA, Personnes en recherche d'emploi, Personnes en situation de handicap, Personnes de nationalité étrangère;Individuel, Collectif;Lundi 9h 12h Mercredi 9h 12h Vendredi 9h 12h;Prise de rendez-vous;0.50 € les 45 mn de connexion. 6 € en participation solidaire pour l'accompagnement solidaire en informatique privé.;Accés libre au matériel informatique, Conseil et orientation vers un partenaire, Assistance ponctuelle / coup de pouce (faire avec l'usager), Accompagnement dans des démarches spécifiques (apprendre à faire), Formation visant l'autonomie numérique (apprendre à faire + certification);Ordinateur (fixe ou portable), Imprimante, Scanner;Citoyenneté - Etat-civil (Carte d'identité, acte de naissance, passeport...), Transport (Carte grise, permis de conduire, achat billet de train...), Santé (Carte Vitale, handicap...), Social (Allocations familiales, RSA...), Logement (Allocation logement, permis de construire, fin de bail...), Emploi (Recherche d'emploi, création d'entreprise...), Retraite (Allocations retraite...), Justice (Dépôt de plainte, casier judiciaire...), Fiscalité (Impôts...), Loisir (Culture, sport, vie associative...);Découverte des compétences numériques de base, Culture et identité numérique, Utilisation de services dématérialisés en ligne (Démarches administratives, démarches personnelles...), Insertion professionnelle (CV, emploi store, recherche d'emploi...), Utilisation de réseaux sociaux;Location solidaire en informatique (location de pc);J’accepte les présentes Conditions Générales d'utilisation.;;
12;UNA GUYENNE47;Association;FUSION-UNAGUYENNE47@ORANGE.FR;553760630;;;MSPC,RUE HENRI CAILLAVET;47800;MIRAMONT;Plus de 60 ans;Individuel, Collectif;LUNDI AU VENDREDI DE 9H/12H ET 14H/17H;ADHESION:12€/AN;22€/H;Assistance ponctuelle / coup de pouce (faire avec l'usager), Accompagnement dans des démarches spécifiques (apprendre à faire), Formation visant l'autonomie numérique (apprendre à faire + certification);;Citoyenneté - Etat-civil (Carte d'identité, acte de naissance, passeport...), Santé (Carte Vitale, handicap...), Social (Allocations familiales, RSA...), Retraite (Allocations retraite...), Fiscalité (Impôts...), Loisir (Culture, sport, vie associative...);Découverte des compétences numériques de base, Utilisation de services dématérialisés en ligne (Démarches administratives, démarches personnelles...), Utilisation de réseaux sociaux;;J’accepte les présentes Conditions Générales d'utilisation.;;
13;Médiathèque intercommunale;Bibliothèque / Médiathèque;mediatheque.saint.barthelemy@gmail.com;553896479;;Chemin de ronde;Centre culturel;47350;Saint-Barthélemyd'Agenais;Tout public;Individuel;mercredi, jeudi, vendredi de 14h à 18h et samedi  de 14h à 17h;adhésion;de 0€ à 26€;Accés libre au matériel informatique, Conseil et orientation vers un partenaire, Diagnostic des besoins numériques, Assistance ponctuelle / coup de pouce (faire avec l'usager), Accompagnement dans des démarches spécifiques (apprendre à faire);Ordinateur (fixe ou portable), Imprimante, Scanner, Connexion WIFI;Citoyenneté - Etat-civil (Carte d'identité, acte de naissance, passeport...), Transport (Carte grise, permis de conduire, achat billet de train...), Santé (Carte Vitale, handicap...), Social (Allocations familiales, RSA...), Logement (Allocation logement, permis de construire, fin de bail...), Emploi (Recherche d'emploi, création d'entreprise...), Retraite (Allocations retraite...), Justice (Dépôt de plainte, casier judiciaire...), Fiscalité (Impôts...), Loisir (Culture, sport, vie associative...);Découverte des compétences numériques de base, Utilisation de services dématérialisés en ligne (Démarches administratives, démarches personnelles...), Insertion professionnelle (CV, emploi store, recherche d'emploi...), Utilisation de réseaux sociaux;;J’accepte les présentes Conditions Générales d'utilisation.;;
14;Bibliothèque municipale de Castelculier;Bibliothèque / Médiathèque;bibliotheque.castelculier@orange.fr;553874816;www.ville-de-castelculier.fr;;place de la mairie;47240;Castelculier;Tout public;Individuel;Du lundi au samedi;adhésion ;"10€/famille ; 5€ les 2 heures de cours";Accés libre au matériel informatique, cours individuel d'initiation;Ordinateur (fixe ou portable);à la demande de l'usager;Découverte des compétences numériques de base;cours de 2 fois 1h dont le contenu est à la demande de l'usager;J’accepte les présentes Conditions Générales d'utilisation.;;
15;Bibliothèque municipale;Bibliothèque / Médiathèque;bibliotheque.duras@wanadoo.fr;553649272;;25;Paul Persil;47120;DURAS;Tout public;aucun;Lundi 9h30-12h30 Mercredi 9h30-12h30 et 14h-19h Vendredi 17h-19h;Aucune condition d'accès;Accès aux ordinateurs gratuit;Accés libre au matériel informatique, Conseil et orientation vers un partenaire;Ordinateur (fixe ou portable), Connexion WIFI, impression de documents payant et sur demande;;;;J’accepte les présentes Conditions Générales d'utilisation.;;
16;La Bib (Villeneuve sur Lot);Bibliothèque / Médiathèque;bm@mairie-villeneuvesurlot.fr;553404902;https://www.labibvilleneuve.fr;23;rue Etienne Marcel;47300;Villeneuve sur lot;Tout public;Individuel, Collectif;mardi : 10-12h et 14-18h / mercredi : 10-18h / jeudi et vendredi : 14-18h - samedi : 10-17h;gratuit, ouvert à tous sur réservation ;0 €;ateliers collectifs : bases de l'informatique et sécurité / ateliers individuels : une liste de thème proposés (organiser ses fichiers, navigation web, gérer sa boite mail, crééer un compte Facebook, paramétrer smartphone et tablette, installer une application / accompagnement aux démarches en ligne : deux dates autour de Parcours sup et Pôle emploi en 2020 avec intervenants extérieurs;Ordinateur (fixe ou portable), Connexion WIFI, possibilité d'impression documents pdf sur le copieur sur clé usb (prêt de clé si besoin) - numérisation possible et copie sur clé - prêt de tablette sur place (uniquement pour les personnes inscrites à la bibliothèque;Emploi (Recherche d'emploi, création d'entreprise...), Parcours sup;Découverte des compétences numériques de base, Utilisation de réseaux sociaux;"en complément : animation d'un ""TROC appli"" en accès libre et gratuit : échanges sur les bons plans d'applications numériques . Conso et santé (11/01/2020), Vacances pratiques (11/04/2020)";J’accepte les présentes Conditions Générales d'utilisation.;;
17;Bibliothèque communautaire Laroque-Timbaut;Bibliothèque / Médiathèque;biblaroque@grand-villeneuvois.fr;553473797;;3;rue du 8 mai 1945;47340;Laroque-Timbaut;Tout public;Individuel;Mardi 9h/12h Mercredi 9h/12h et 14h/18h Jeudi 9h/12h Vendredi 14h/16h Samedi 1er et dernier du mois 9h/12h;ouvert à tous;"Abonnement bibliothèque: 8 euros résidant Cagv, 11euros hors Cagv 
Gratuit jusqu'à 18 ans , demandeurs d'emploi et bénéficiaires du RSA
Multimédia : consultation libre 1 euro , carte annuelle 3 euros ( abonnement bibliothèque obligatoire), Gratuit jusqu'à 18 ans , demandeurs d'emploi et bénéficiaires du RSA
Impressions : Noir et blanc 0.20 euros/page et couleur 0.50 euros/page";Accés libre au matériel informatique, Conseil et orientation vers un partenaire;Ordinateur (fixe ou portable), Imprimante, Scanner;;;;J’accepte les présentes Conditions Générales d'utilisation.;;
18;SECOURS CATHOLIQUE;Association;equipe.nerac.247@secours-catholique.org;553975337;;12;FRANCOIS BAUDY;47600;NERAC;Tout public;Individuel;LUNDI et JEUDI après midi de 14H30 à 17H;LIBRE et sur RV;gratuit;Accés libre au matériel informatique, Conseil et orientation vers un partenaire, Diagnostic des besoins numériques, Assistance ponctuelle / coup de pouce (faire avec l'usager);Ordinateur (fixe ou portable), Imprimante;Citoyenneté - Etat-civil (Carte d'identité, acte de naissance, passeport...), Transport (Carte grise, permis de conduire, achat billet de train...), Santé (Carte Vitale, handicap...), Social (Allocations familiales, RSA...), Loisir (Culture, sport, vie associative...);;;J’accepte les présentes Conditions Générales d'utilisation.;;
19;Médiathèque de Boé;Bibliothèque / Médiathèque;mediatheque@ville-boe.fr;05.53.98.75.31;boe.opac3d.fr;2;Av. de la résistance;47550;Boé;Tout public;Individuel, Collectif;"Mardi de 10h à 12h et de 14h à 18h; Mercredi de 10h à 12h30 et de 14h à 18h; vendredi de 10h à 12h et de 14h à 18h; samedi de 10h à 12h30 et de 14h à 17h30";gratuit en accès libre. Payant pour les ateliers;"Ateliers : Adhésion à la médiathèque = 10€ pour les boétiens, 5 € pour les demandeurs d'emploi et les bénéficiaires du RSA, 15€ pour les hors commune. +
Tarifs des ateliers = 2€ pour les boétiens, gratuit pour les demandeurs d'emploi, 5€ hors commune";Accés libre au matériel informatique, Assistance ponctuelle / coup de pouce (faire avec l'usager), Accompagnement dans des démarches spécifiques (apprendre à faire), Formation visant l'autonomie numérique (apprendre à faire + certification);Ordinateur (fixe ou portable), Imprimante, Scanner, Connexion WIFI;Citoyenneté - Etat-civil (Carte d'identité, acte de naissance, passeport...), Transport (Carte grise, permis de conduire, achat billet de train...), Santé (Carte Vitale, handicap...), Social (Allocations familiales, RSA...), Logement (Allocation logement, permis de construire, fin de bail...), Emploi (Recherche d'emploi, création d'entreprise...), Retraite (Allocations retraite...), Fiscalité (Impôts...), Loisir (Culture, sport, vie associative...), selon besoins;Découverte des compétences numériques de base, Utilisation de services dématérialisés en ligne (Démarches administratives, démarches personnelles...), Insertion professionnelle (CV, emploi store, recherche d'emploi...), Utilisation de réseaux sociaux;insertion professionnelle en partenariat avec pole emploi : prêt de la salle 1 fois/mois à pole emploi.;J’accepte les présentes Conditions Générales d'utilisation.;;
20;Mairie Agen ;Espace Public Numérique;felicien.titonel@agglo-agen.fr;648951332;www.agen.fr;Hotel de ville ;BP 30003;47916;Agen;Tout public, Plus de 60 ans, Moins de 26 ans, Bénéficiaires du RSA, Personnes en recherche d'emploi, Personnes en situation de handicap, QPV;Individuel, Collectif;Tous les jours de la semaine ;Accès libre orientés par les accueils des centres sociaux ;aucun ;Conseil et orientation vers un partenaire, Diagnostic des besoins numériques, Assistance ponctuelle / coup de pouce (faire avec l'usager), Accompagnement dans des démarches spécifiques (apprendre à faire);Ordinateur (fixe ou portable), Tablette, Scanner;Citoyenneté - Etat-civil (Carte d'identité, acte de naissance, passeport...), Santé (Carte Vitale, handicap...), Social (Allocations familiales, RSA...), Logement (Allocation logement, permis de construire, fin de bail...), Emploi (Recherche d'emploi, création d'entreprise...), Retraite (Allocations retraite...);Utilisation de services dématérialisés en ligne (Démarches administratives, démarches personnelles...), Insertion professionnelle (CV, emploi store, recherche d'emploi...);;J’accepte les présentes Conditions Générales d'utilisation.;;
21;Bibliothèque municipale de Saint-Sylvestre-sur-Lot;Bibliothèque / Médiathèque;bibliotheque@saintsylvestresurlot.com;05.53.01.96.84;;29;rue de la république;47140;Saint-Sylvestre-sur-Lot;Tout public;Individuel;"Mardi et Jeudi : 17h00-18h00 ; 
Mercredi : 9h00-12h00 / 14h00-18h00 ; 
Samedi : 9h00-12h00";Aucune;Gratuité;Conseil et orientation vers un partenaire;;;;;J’accepte les présentes Conditions Générales d'utilisation.;;
22;Espace numérique de la Médiathèque d'Agen;Bibliothèque / Médiathèque;mediatheque@agen.fr;553661293;www.agen-mediatheque.fr;1;place Armand Fallières;47916;AGEN;Tout public, Plus de 60 ans, Moins de 26 ans, Bénéficiaires du RSA, Personnes en recherche d'emploi, Personnes en situation de handicap, Personnes de nationalité étrangère;Individuel, Collectif;mardi et mercredi de 10h à 12h30 et de 14h à 18h  / jeudi et vendredi de 14h à 18h / samedi de 10h à 12h30 et 14h à 17h;Gratuit pour les abonnés de la Médiathèque sur présentation de la carte et payant pour les non abonnés (3€/1h) vous pouvez réserver un poste par tél.;3€ l'utilisation d'un poste si vous n'êtes pas abonnés / 0,50€ l'impression noir et blanc et 1€ en couleur;Accés libre au matériel informatique, Conseil et orientation vers un partenaire, Diagnostic des besoins numériques, Assistance ponctuelle / coup de pouce (faire avec l'usager), Accompagnement dans des démarches spécifiques (apprendre à faire), initiations individuelles et personnalisées sur le numérique;Ordinateur (fixe ou portable), Imprimante, Scanner, Connexion WIFI, tablettes graphiques;Citoyenneté - Etat-civil (Carte d'identité, acte de naissance, passeport...), Transport (Carte grise, permis de conduire, achat billet de train...), Fiscalité (Impôts...), Loisir (Culture, sport, vie associative...);Découverte des compétences numériques de base, Culture et identité numérique, Utilisation de services dématérialisés en ligne (Démarches administratives, démarches personnelles...), Utilisation de réseaux sociaux;animation et initiation à la programmation (codage, scratch etc..), jeux de réflexions et d'évasions en ligne, scrapbooking, peinture sur tablette graphique (grafik battle, street art etc...), création de BD en ligne, des ateliers pour les tout petits 4/8ans etc...;J’accepte les présentes Conditions Générales d'utilisation.;;
23;Geront'Aquitaine;Association;gerontaquitaine@gmail.com;06 18 25 52 74 / 06 11 75 68 85;www.gerontaquitaine.fr;4;rue du Prince;47600;Nérac;Plus de 60 ans;Collectif;Selon les besoins;Sur rendez-vous;Selon le nombre de participants;Accés libre au matériel informatique, Assistance ponctuelle / coup de pouce (faire avec l'usager), Accompagnement dans des démarches spécifiques (apprendre à faire), Formation visant l'autonomie numérique (apprendre à faire + certification);Ordinateur (fixe ou portable), Imprimante, Scanner, Connexion WIFI;Citoyenneté - Etat-civil (Carte d'identité, acte de naissance, passeport...), Transport (Carte grise, permis de conduire, achat billet de train...), Santé (Carte Vitale, handicap...), Retraite (Allocations retraite...), Fiscalité (Impôts...), Loisir (Culture, sport, vie associative...);Découverte des compétences numériques de base, Culture et identité numérique, Utilisation de services dématérialisés en ligne (Démarches administratives, démarches personnelles...);;J’accepte les présentes Conditions Générales d'utilisation.;;
24;SYLLABE;plate forme de lutte contre l'illettrisme;accueil.syllabe@orange.fr;553878467;aucun;;square de Verdun - 1er étage bureau A11;47200;Marmande;Tout public;Individuel;MARDI JEUDI VENDREDI de 9h à 12h30 et de 14h à 18h;prescription et demande de rendez-vous par une structure d'accompagnement professionnel ou social;gratuité ;Diagnostic des besoins numériques, évaluation du niveau de maîtrie des savoirs de basr;aucun;diagnostic des besoins numériques;diagnostic numérique;notre mission consiste à faire un diagnostic numérique et à proposer une action de formation réalisée par d'autres que nous;J’accepte les présentes Conditions Générales d'utilisation.;;
25;Médiathèque Danielle Esteban;Bibliothèque / Médiathèque;mediatheque@ville-astaffort.fr;553670789;mediatheque.ville-astaffort.fr;12;rue André Routier;47220;ASTAFFORT;Tout public;Individuel, Collectif;"Lundi 9h-12h30 et 16h-18h30
Mardi 16h-18h30
Mercredi 9h-12h30 et 14h-18h30
Jeudi 16h-18h30
Vendredi 16h-18h30
Samedi 9h-12h30";Gratuit pour les abonnés, payants pour les non-abonnés;1 €/heure (pour connections Internet);Accés libre au matériel informatique, Assistance ponctuelle / coup de pouce (faire avec l'usager), Atelier collectif de prise en main de l'outil informatique (proposé en 2017);Ordinateur (fixe ou portable), Imprimante, Scanner, A venir (courant 2020) : Tablette ;Social (Allocations familiales, RSA...), Logement (Allocation logement, permis de construire, fin de bail...), Loisir (Culture, sport, vie associative...), Traitement de texte, présentation de diaporama;;;J’accepte les présentes Conditions Générales d'utilisation.;;
26;Pôle emploi Villeneuve sur Lot;Opérateur de service essentiel (CAF, MSA, CPAM, Pôle Emploi, Mission Locale, SNCF, SAUR,...);ape.47035@pole-emploi.fr;3949;www.Pole-emploi.fr;;avenue Lazare Carnot;47300;Villeneuve sur lot;Personnes en recherche d'emploi;Individuel, Collectif;Du lundi au vendredi de 8:30 à 12:30 et sur RDV l'après midi (fermé le jeudi après midi);www.pole-emploi.fr;accès gratuit;Accés libre au matériel informatique, Conseil et orientation vers un partenaire;Ordinateur (fixe ou portable), Tablette, Imprimante;Emploi (Recherche d'emploi, création d'entreprise...);Insertion professionnelle (CV, emploi store, recherche d'emploi...);;J’accepte les présentes Conditions Générales d'utilisation.;;
27;Pôle emploi Agen;Opérateur de service essentiel (CAF, MSA, CPAM, Pôle Emploi, Mission Locale, SNCF, SAUR,...);ape.47012@pole-emploi.fr;3949;www.pole-emploi.fr;;av du docteur Jean BRU;47000;Agen;Personnes en recherche d'emploi;Individuel, Collectif;Du lundi au vendredi de 8:30 à 12h30 et sur RDV les après midi (fermé le jeudi après midi);www.pole-emploi.fr;gratuit;Accés libre au matériel informatique, Conseil et orientation vers un partenaire;Ordinateur (fixe ou portable), Imprimante, Scanner;Emploi (Recherche d'emploi, création d'entreprise...);Découverte des compétences numériques de base, Insertion professionnelle (CV, emploi store, recherche d'emploi...);;J’accepte les présentes Conditions Générales d'utilisation.;;
28;Pole emploi D'Aiguillon;Opérateur de service essentiel (CAF, MSA, CPAM, Pôle Emploi, Mission Locale, SNCF, SAUR,...);ape.47043@pole-emploi.fr;3949;www.pole-emploi.fr;7;Avenue Du 11 Novembre;47190;Aiguillon;Personnes en recherche d'emploi;Individuel, Collectif;Du lundi au vendredi de 8:30 à 12h30 et sur RDV les après midi (fermé le jeudi après midi);www.pole-emploi.fr;gratuit;Accés libre au matériel informatique, Conseil et orientation vers un partenaire;Ordinateur (fixe ou portable), Imprimante, Scanner;Emploi (Recherche d'emploi, création d'entreprise...);Découverte des compétences numériques de base, Insertion professionnelle (CV, emploi store, recherche d'emploi...);;J’accepte les présentes Conditions Générales d'utilisation.;;
29;Pôle emploi de Marmande;Opérateur de service essentiel (CAF, MSA, CPAM, Pôle Emploi, Mission Locale, SNCF, SAUR,...);ape.47020@pole-emploi.fr;3949;www.pole-emploi.fr;35;Rue Portogruaro;47200;marmande;Personnes en recherche d'emploi;Individuel, Collectif;Du lundi au vendredi de 8:30 à 12h30 et sur RDV les après midi (fermé le jeudi après midi);www.pole-emploi.fr;gratuit;Accés libre au matériel informatique, Conseil et orientation vers un partenaire;Ordinateur (fixe ou portable), Imprimante, Scanner;Emploi (Recherche d'emploi, création d'entreprise...);Découverte des compétences numériques de base, Insertion professionnelle (CV, emploi store, recherche d'emploi...);;J’accepte les présentes Conditions Générales d'utilisation.;;
30;SYLLABE;PLATE FORME DE LUTTE CONTRE L'ILLETRISME;accueil.syllabe@orange.fr;553878467;aucun;;square de verdun;47200;MARMANDE;Tout public;Individuel;mardi et jeudi ;prise de rendez-vous accompagnée d'une prescription par une structure accompagnatrice professionnelle ou sociale;gratuité;évaluation des compétences de base, compétences numériques;;savoirs de base;oreintation vers une formation adaptée à la problématique de la personne;nous ne faisons pas nous-mêmes d'action de formation mais orientons et suivons le parcours;J’accepte les présentes Conditions Générales d'utilisation.;;
31;SYLLABE;PLATE FORME DE LUTTE CONTRE L'ILLETTRISME;accueil.sylabe@orange.fr;553878467;aucun;9bis;rue Armand Chabrier;47400;TONNEINS;Tout public;Individuel;mercredi et vendredi de 9h à 12h30 et 14h 17h30;prise de rendez- vous et prescription par un accompagnant professionnel ou social;gratuité;évaluation des savoirs de base, numériques;;savoirs de base;orientation vers une formation adaptée aux besoins des personnes;nous ne faisons pas nous même de formation mais utilisons les possibilités locales.;J’accepte les présentes Conditions Générales d'utilisation.;;
32;SYLLABE;Plate forme de lutte contre l'illettrisme;accueil.syllabe@orange.fr;553878467;aucun;;"rue du chemin Rouge ""Convergence""";47500;FUMEL;Tout public;Individuel;le jeudi de 9h à 12h30 et de 14h à 17h30;prise de rendez-vous et prescription par un accompagnateur professionnel ou social;gratuité;écaluation des savoirs de base, savoirs numérriques;;compétences de base, compétences numériques;orientation vers une formation adaptée aux besoin de chacun;nous ne réalisons pas nous même la formation mais suivons le parcours de chacun;J’accepte les présentes Conditions Générales d'utilisation.;;
33;SYLLABE;Plate forme de lutte contre l'illettrisme;accueil-syllabe@orange.fr;553878467;aucun;22;Allée du centre;47600;NERAC;Tout public;Individuel;le jeudi de 9h à 12h30 et 14h à 17h30;prise de rendez-vous accompagnée d'une prescription par un accompagnateur professionnel ou social;gratuité;évaluation des savoirs de base et numérique;;compétences de base, compétences numériques;orientation vers une formation adaptée aux besoins de la personne;nous ne faisons pas de formation mais orientons vers la formation et suivons le parcours de chacun ;J’accepte les présentes Conditions Générales d'utilisation.;;
