latitude;longitude;altitude;geometry;MATRICULE;DEPARTEMENT;lib_france_services;ADRESSE;COMPLEMENT.D.ADRESSE;insee_com;code_postal;lib_com;COMMUNE;LATITUDE;LONGITUDE;CONTACT.MAIL;TELEPHONE;h_lundi;h_mardi;h_mercredi;h_jeudi;h_vendredi;h_samedi;Commentaire.horaires;ITINERANCE;FORMAT_FS;X._groupe;Groupe;Goupe_France_Services_responsable;Goupe_Antennes;Labellisation;categorie
45.947368;-0.514339;;Point;113;17;Saint-Jean-d’Angély;3 Rue de Dampierre;;17347;17400;Saint-Jean-d'Angély;ST JEAN D ANGELY;45.947368;-0.514339;cias@valsdesaintonge.fr;05 46 59 18 33;9:00 - 12:30 / 13:30 - 17:00;9:00 - 12:30 / 13:30 - 17:00;9:00 - 12:30 / 13:30 - 17:00;9:00 - 12:30 / 13:30 - 17:00;9:00 - 12:30 / 13:30 - 17:00;-;;;Espace labellisé;;;;;Espace labellisé 01/2020;FS
45.943801;-0.891534;;Point;115;17;Tonnay-Charente - Fixe;76 rue Alsace Lorraine;;17449;17430;Tonnay-Charente;TONNAY CHARENTE;45.943801;-0.891534;cap.franceservices@gmail.com;05 46 82 89 40;8:30 - 12:30 / 13:30 - 17:30;9:00 - 12:30 / 13:30 - 17:30;13:30 - 17:00;9:00 - 12:30 / 13:30 - 17:30;9:00 - 12:30 / 13:30 - 17:00;-;;;Espace labellisé;;;;;Espace labellisé 01/2020;FS
47.485101;2.434796;;Point;120;18;Aubigny sur Nère;6 avenue du 8 mai 1945;;18015;18700;Aubigny-sur-Nère;AUBIGNY SUR NERE;47.485101;2.434796;msap@aubigny-sur-nere.fr;02 48 58 44 02;9:30 - 12:00 / 13:30 - 16:30;8:30 - 12:00 / 13:30 - 16:30;9:30 - 12:00 / 13:30 - 16:30;8:30 - 12:00 / 13:30 - 16:30;8:30 - 12:00 / 13:30 - 16:30;-;;;Espace labellisé;;;;;Espace labellisé 01/2020;FS
47.09857;6.336511;;Point;151;25;Premiers Sapins;8 rue de la Scierie - Nods;;25424;25580;Les Premiers Sapins;LES PREMIERS SAPINS;47.09857;6.336511;mairie.lps25@orange.fr;;13:30 - 16:30;13:30 - 16:30;8:30 - 11:30;13:30 - 18:00;9:00 - 16:30;8:30 - 11:30;;;Espace labellisé;;;;;Espace labellisé 01/2020;FS
49.16151;1.336922;;Point;164;27;Gaillon;12-14 Rue Jean-moulin;;27275;27600;Gaillon;GAILLON;49.16151;1.336922;contact@espacecondorcet.org;02 32 77 50 80;8:30 - 12:30 / 13:15 - 18:00;8:30 - 12:30 / 13:15 - 18:00;8:30 - 12:30 / 13:15 - 18:00;8:30 - 12:30 / 13:15 - 18:00;8:30 - 12:30 / 13:15 - 18:00;-;;;Espace labellisé;;;;;Espace labellisé 01/2020;FS
43.938468;4.565051;;Point;175;30;Relais emploi intercommunal du Pont du Gard - Remoulins;4 Rue Saint André;;30212;30210;Remoulins;REMOULINS;43.938468;4.565051;relais.emploi@cc-pontdugard.fr;04 66 37 27 13;8:30 - 12:00 / 13:30 - 17:30;8:30 - 12:00 / 13:30 - 17:30;8:30 - 12:00;8:30 - 12:00 / 13:30 - 17:00;8:30 - 12:00 / 13:30 - 17:00;-;;;Espace labellisé;23;Pont du Gard;175;676;Espace labellisé 01/2020;FS
44.260462;4.198453;;Point;179;30;Cèze Cévennes - St Ambroix;4 rue de la république;;30227;30500;Saint-Ambroix;ST AMBROIX;44.260462;4.198453;relaisemploi@ceze-cevennes.fr;04 66 56 28 70;9:00 - 12:00;9:00 - 12:00;-;9:00 - 12:00;-;-;;Oui;Espace labellisé;22;Cèze Cévennes;179;"673 ; 674 ; 675";Espace labellisé 01/2020;FS itinerante
43.827362;4.328883;;Point;180;30;PIMMS de Nimes;601 rue Néper;Espace Diderot;30189;30900;Nîmes;NIMES;43.827362;4.328883;nimes@pimms.org;04 66 62 02 57;9:00 - 12:00;9:00 - 12:00 / 14:00 - 17:00;9:00 - 12:00 / 14:00 - 17:00;9:00 - 12:00 / 14:00 - 17:00;9:00 - 12:00 / 14:00 - 16:30;-;;;Espace labellisé;;;;;Espace labellisé 01/2020;FS
44.791606;-0.628367;;Point;198;33;Pessac;1 rue de l'Horloge;;33318;33600;Pessac;PESSAC;44.791606;-0.628367;plateforme@mairie-pessac.fr;;Horaires non communiqués;Horaires non communiqués;Horaires non communiqués;Horaires non communiqués;Horaires non communiqués;Horaires non communiqués;;;Espace labellisé;;;;;Espace labellisé 01/2020;FS
48.443171;-1.914168;;Point;219;35;Mesnil Roc'h;54 rue de la Libération;;35308;35720;Mesnil-Roc'h;MESNIL ROCH;48.443171;-1.914168;france-services.mesnil-roch@laposte.fr;02.99.21.91.29;14:15 - 16:45;9:15 - 12:00 / 14:15 - 16:45;9:15 - 12:00 ;9:15 - 12:00 / 14:15 - 16:45;9:15 - 12:00 / 14:15 - 16:45;9:00 - 12:00;;;Espace labellisé;;;;;Espace labellisé 02/2020;FS
47.012481;0.325426;;Point;227;37;Richelieu;3 Place Louis XIII;;37196;37120;Richelieu;RICHELIEU;47.012481;0.325426;fs.richelieu@cc-tvv.fr;02 47 58 20 70;8:30 - 12:30 / 14:00 - 17:00;8:30 - 12:30 / 14:00 - 17:00;8:30 - 12:30;14:00 - 17:00;9:00 - 12:00;-;;;Espace labellisé;;;;;Espace labellisé 02/2020;FS
47.699867;1.508583;;Point;253;41;Mer;9 rue nationale;;41136;41500;Mer;MER;47.699867;1.508583;franceservices@beaucevaldeloire.fr;06 77 16 46 97;9:00 - 12:30 / 14:00 - 17:00;9:00 - 12:30 / 14:00 - 17:00;9:00 - 12:30 / 14:00 - 17:00;9:00 - 12:30 / 14:00 - 17:00;9:00 - 12:30 / 14:00 - 17:00;-;;Oui;Espace labellisé;;;;;Espace labellisé 01/2020;FS itinerante
44.363621;3.744489;;Point;273;48;Pont de Montvert Sud Mont-Lozère;Le Pont de Montvert;Bâtiment de la mairie ;48116;48220;Pont de Montvert - Sud Mont Lozère;LE PONT DE MONVERT SUD MT LOZERE;44.363621;3.744489;franceservices@cevennes-mont-lozere.fr;04 34 09 06 14;9:30 - 12:00 / Sur RDV : après-midi;9:30 - 12:00 / Sur RDV : après-midi;9:30 - 12:00 ;9:30 - 12:00 / 14:00 - 19:00;9:30 - 12:00 ;-;;;Espace labellisé;;;;;Espace labellisé 01/2020;FS
48.835873;-1.221701;;Point;289;50;Villedieu;11 Rue Pierre Paris;;50639;50800;Villedieu-les-Poêles-Rouffigny;VILLEDIEU LES POELES ROUFFIGNY;48.835873;-1.221701;accueil@villedieuintercom.fr;02 33 90 17 90;8:30 - 12:00 / 13:30 - 17:30;8:30 - 12:00 / 13:30 - 17:30;8:30 - 12:00 / 13:30 - 17:30;8:30 - 12:00 / 13:30 - 17:30;8:30 - 12:00 / 13:30 - 17:30;-;;;Espace labellisé;;;;;Espace labellisé 01/2020;FS
48.07043;-0.9298;;Point;302;53;Loiron;Maison de Pays, Zone d'activité La Chapelle du Chêne;;53137;53320;Loiron-Ruillé;LOIRON RUILLE;48.07043;-0.9298;msap@agglo-laval.fr;02 43 02 19 31;9:00 - 12:00 / 13:30 - 17:30;9:00 - 12:00 / 13:30 - 17:30;9:00 - 12:00 / 13:30 - 17:30;9:00 - 12:00 / 13:30 - 17:30;9:00 - 12:00 / 13:30 - 17:00;-;;;Espace labellisé;;;;;Espace labellisé 01/2020;FS
48.2897;-0.9188;;Point;304;53;Ernée;Parc d'activités de la Querminais BP 28;Communauté de communes de l’Ernée;53096;53500;Ernée;ERNEE;48.2897;-0.9188;msap@lernee.fr;02 43 05 46 31;8:30 - 12:30 / 13:30 - 17:30;8:30 - 12:30 / 13:30 - 17:30;8:30 - 12:30 / 13:30 - 17:30;8:30 - 12:30 / 13:30 - 17:30;8:30 - 12:30 / 13:30 - 16:30;-;;;Espace labellisé;;;;;Espace labellisé 01/2020;FS
47.018748;3.083292;;Point;343;58;Fourchambault;Avenue Jean Jaurès;;58117;58600;Fourchambault;FOURCHAMBAULT;47.018748;3.083292;franceservices.fourchambault@gmail.com;03 86 90 90 00;8:30 - 12:00 / 13:30 - 18:00;8:30 - 12:00 / 13:30 - 18:00;8:30 - 12:00 / 13:30 - 18:00;8:30 - 12:00 / 13:30 - 18:00;8:30 - 12:00 / 13:30 - 17:00;-;;;Espace labellisé;;;;;Espace labellisé 01/2020;FS
50.123288;3.930797;;Point;345;59;Bus itinérant de l’Avesnois;64 rue Léo Lagrange;;59036;59440;Avesnes-sur-Helpe;AVESNES SUR HELPE;50.123288;3.930797;avesnois.franceservices@lenord.fr;03 59 73 18 20;9:30 - 12:30 / 13:30 - 16:00;9:30 - 12:30 / 13:30 - 16:00;9:30 - 12:30 / 13:30 - 16:00;9:30 - 12:30 / 13:30 - 16:00;9:00 - 13:00;-;Jours de marché : 9:30 - 13:00 / 14:00 - 16:00;Oui;Espace labellisé;;;;;Espace labellisé 01/2020;FS itinerante
49.412458;1.839366;;Point;360;60;Le Coudray Saint-Germer;4 Rue des Ecoles;;60164;60850;Le Coudray-Saint-Germer;LE COUDRAY ST GERMER;49.412458;1.839366;msap.lecoudraystgermer@gmail.com;03 44 81 83 00;9:00 - 12:00 / 13:30 - 17:30;9:00 - 12:00 / 13:30 - 17:30;9:00 - 12:00 / 13:30 - 17:30;9:00 - 12:00 / 13:30 - 17:30;9:00 - 12:00 / 13:30 - 17:30;9:00 - 12:00;;;Espace labellisé;;;;;Espace labellisé 01/2020;FS
50.518957;2.624902;;Point;371;62;Maison Service public +;Rue de Schwerte;Centre administratif;62119;62400;Béthune;BETHUNE;50.518957;2.624902;franceservices@ville-bethune.fr;03 21 54 97 16;9:00 - 12:30 / 14:00 - 17:00;9:00 - 12:30 / 14:00 - 17:00;9:00 - 12:30 / 14:00 - 17:00;9:00 - 19:30;9:00 - 12:30 / 14:00 - 17:00;-;;;Espace labellisé;;;;;Espace labellisé 01/2020;FS
45.832691;2.853777;;Point;377;63;Pontgibaud;Rue du Frère Genestier;;63285;63230;Pontgibaud;PONTGIBAUD;45.832691;2.853777;franceservices.pontgibaud@ccvcommunaute.fr;04 73 88 75 58;9:00 - 12:30 / 13:30 - 17:00;9:00 - 12:30 / 13:30 - 17:00;9:00 - 12:30 / 13:30 - 17:00;9:00 - 12:30 / 13:30 - 17:00;9:00 - 12:30 / 13:30 - 16:30;-;;;Espace labellisé;;;;;Espace labellisé 01/2020;FS
45.575118;2.810089;;Point;378;63;Mont Dore relais Sancy;1 rue Côte Boissy;;63236;63240;Mont-Dore;LE MONT DORE;45.575118;2.810089;contact@lerelais-sancy.org;04 64 77 91 30;8:30 - 12:30 / 13:30 - 17:30;8:30 - 12:30 / 13:30 - 17:30;8:30 - 12:30;8:30 - 12:30 / 13:30 - 17:30;8:30 - 12:30;-;;;Espace labellisé;;;;;Espace labellisé 01/2020;FS
45.868269;2.675252;;Point;379;63;Pontaumur;6 avenue du Marronnier;;63283;63380;Pontaumur;PONTAUMUR;45.868269;2.675252;franceservices.pontaumur@ccvcommunaute.fr;04 73 79 70 70;9:00 - 12:30 / 13:30 - 17:00;9:00 - 12:30 / 13:30 - 17:00;9:00 - 12:30 / 13:30 - 17:00;9:00 - 12:30 / 13:30 - 17:00;9:00 - 12:30 / 13:30 - 16:30;-;;;Espace labellisé;;;;;Espace labellisé 01/2020;FS
45.433359;3.883726;;Point;381;63;Viverols;3 place de l’église;;63465;63840;Viverols;VIVEROLS;45.433359;3.883726;msap.viverols@ambertlivradoisforez.fr;04 73 95 36 40;9:00 - 12:00 / 14:00 - 17:00;9:00 - 12:00 / 14:00 - 17:00;9:00 - 12:00 / 14:00 - 17:00;9:00 - 12:00 / 14:00 - 17:00;9:00 - 12:00 / 14:00 - 16:30;-;;;Espace labellisé;;;;;Espace labellisé 01/2020;FS
45.937423;6.629827;;Point;434;74;Pays du Mont Blanc;109 rue Justin;;74256;74700;Sallanches;SALLANCHES;45.937423;6.629827;fs.sallanches@faucignymontblanc.com;04 50 18 31 39;13:30 - 17:00;13:30 - 17:00;9:00 - 12:30 / 13:30 - 17:00;9:00 - 12:30 / 13:30 - 17:00;9:00 - 12:30 / 13:30 - 17:00;-;;;Espace labellisé;;;;;Espace labellisé 01/2020;FS
43.473786;6.566407;;Point;483;83;Muy;2 rue Joachim Ollivier;;83086;83490;Le Muy;LE MUY;43.473786;6.566407;franceservices.lemuy@mode83.net;04 94 43 50 00;9:00 - 12:00 / 14:00 - 17:00;9:00 - 12:00;9:00 - 12:00 / 14:00 - 17:00;9:00 - 12:00;9:00 - 12:00 / 14:00 - 17:00;-;;;Espace labellisé;;;;;Espace labellisé 01/2020;FS
43.111584;5.869744;;Point;484;83;Seyne sur mer;98 avenue Louis Pergaud;;83126;83500;La Seyne-sur-Mer;LA SEYNE SUR MER;43.111584;5.869744;giplaseyne@hotmail.fr;04 94 10 93 50;8:30 - 12:00 / 13:15 - 17:00;8:30 - 12:00 / 13:15 - 17:00;8:30 - 12:00 / 13:15 - 17:00;8:30 - 12:00 / 13:15 - 17:00;8:30 - 12:00 / 13:15 - 17:00;-;;;Espace labellisé;;;;;Espace labellisé 01/2020;FS
44.383619;4.990671;;Point;496;84;Valréas;Place Aristide Briand;;84138;84600;Valréas;VALREAS;44.383619;4.990671;msap@mairie-valreas.fr ;04 90 65 62 40;8:00 - 12:00 / 14:00 - 17:00;8:00 - 12:00 / 14:00 - 17:00;8:00 - 12:00 / 14:00 - 17:00;8:00 - 12:00 / 14:00 - 17:00;8:00 - 12:00 / 14:00 - 17:00;-;;;Espace labellisé;;;;;Espace labellisé 01/2020;FS
48.932118;2.269355;;Point;547;92;Colombes;1 rue Jules Michelet;;92025;92700;Colombes;COLOMBES;48.932118;2.269355;;01 41 19 48 70;10:30 - 12:00 / 13:30 - 17:00;9:00 - 12:00 / 13:30 - 17:30;9:00 - 12:00 / 13:30 - 17:30;9:00 - 12:00 / 13:30 - 17:30;9:00 - 12:00 / 13:30 - 17:30;9:00 - 12:00 / 13:30 - 17:30;;;Espace labellisé;;;;;Espace labellisé 01/2020;FS
44.093922;6.230526;;Point;592;4;Digne les Bains;12 Avenue Demontzey;;04070;04000;Digne-les-Bains;DIGNE LES BAINS;44.093922;6.230526;;04 92 64 97 61;8:30 - 12:15 / 13:15 - 16:15;8:30 - 12:15;8:30 - 12:15;8:30 - 12:15;8:30 - 12:15 / 13:15 - 16:15;-;;;Espace labellisé;;;;;Espace labellisé 01/2020;FS
45.637884;4.393328;;Point;604;42;Chazelles-sur-Lyon;3 place Massenet;;42059;42140;Chazelles-sur-Lyon;CHAZELLES-SUR-LYON;45.637884;4.393328;france.services@forez-est.fr;04 77 94 55 70;-;9:30 - 16:30;9:30 - 12:00 / 14:00 - 16:30;14:00 - 16:30;9:30 - 16:30;9:30 - 12:00;;;Espace labellisé;;;;;Espace labellisé 01/2020;FS
44.178727;0.298949;;Point;607;47;Albret - Lavardac;Avenue Victoire;Maison des Associations;47143;47230;Lavardac;LAVARDAC;44.178727;0.298949;;06 30 88 30 80;9:00 - 12:00 / 14:00 - 17:00;-;-;14:00 - 17:00;9:00 - 12:00;-;;Oui;Espace labellisé;6;Lavardac;607;"621 ; 622 ; 623";Espace labellisé 01/2020;FS itinerante
45.125629;2.976712;;Point;99;15;Services de Murat - Antenne de Neussargues en Pinatelle;25 rue de la gare;;15141;15170;Neussargues en Pinatelle;NEUSSARGUES EN PINATELLE;45.125629;2.976712;mdstneussargues@hautesterres.fr;;13:30 - 17:30;9:30 - 12:00 / 13:30 - 17:30;9:30 - 12:00 / 13:30 - 17:30;9:30 - 12:00 / 13:30 - 17:30;9:30 - 12:00 / 13:30 - 17:30;9:30 - 12:00;;;Antenne;8;Murat;103;99;Espace labellisé 01/2020;Antenne
45.260751;1.146947;;Point;143;24;Thenon Hautefort - Hautefort;200 avenue Sylvain Floirat;Mairie de Hautefort;24210;24390;Hautefort;HAUTEFORT;45.260751;1.146947;secretariatmairiehautefort@orange.fr;05 53 50 40 20;9:00 - 12:00 / 13:30 - 17:00;9:00 - 12:00 / 13:30 - 17:00;9:00 - 12:00 / 13:30 - 17:00;9:00 - 12:00 / 13:30 - 17:00;9:00 - 12:00 / 13:30 - 16:00;-;;;Antenne;10;Hautefort - Thenon;140;143;Espace labellisé 01/2020;Antenne
43.80075;1.606565;;Point;185;31;Val Aïgo - Antenne de Bessières;26 Place du souvenir;;31066;31660;Bessières;BESSIERES;43.80075;1.606565;cias2@valaigo.fr;;9:00 - 12:30 / 14:00 - 17:00;9:00 - 12:30 / Sur RDV : après-midi;9:00 - 12:30 / Sur RDV : après-midi;9:00 - 12:30 / Sur RDV : après-midi;9:00 - 12:30 / Sur RDV : après-midi;-;;;Antenne;12;Val Aigo;182;185;Espace labellisé 01/2020;Antenne
43.492681;0.592072;;Point;189;32;Val de Gers - Antenne de Seissan;1 Place Carnot;;32426;32260;Seissan;SEISSAN;43.492681;0.592072;accueil@cc-valdegers.fr;;9:00 - 12:00 / 13:30 - 17:30;9:00 - 12:00 / 13:30 - 17:30;9:00 - 12:00 / 13:30 - 17:30;9:00 - 12:00 / 13:30 - 17:30;9:00 - 12:00 / 13:30 - 17:30;-;;;Antenne;11;Val de Gers;186;"189 ; 190";Espace labellisé 01/2020;Antenne
43.616542;0.442847;;Point;190;32;Val de Gers - Antenne de Barran;45 rue du Docteur G. Demandès;Mairie de Barran;32029;32350;Barran;BARRAN;43.616542;0.442847;mairiedebarran@wanadoo.fr;;-;8:30 - 12:00;8:30 - 12:00 / 13:30 - 17:00;8:30 - 12:00 / 13:30 - 17:00;8:30 - 12:00;8:30 - 12:00 ;;;Antenne;11;Val de Gers;186;"189 ; 190";Espace labellisé 01/2020;Antenne
46.854653;0.927852;;Point;230;37;Descartes - Antenne de Preuilly-sur-Claise;1 place Jean Moulin;;37189;37290;Preuilly-sur-Claise;PREUILLY SUR CLAISE;46.854653;0.927852;efs@lochessudtouraine.com;02 47 59 83 29;9:00 - 12:30;-;14:00 - 16:30;-;9:00 - 12:30 / 14:00 - 16:30;-;;;Antenne;9;Descartes;228;"230 ; 232";Espace labellisé 01/2020;Antenne
46.920551;0.803554;;Point;232;37;Descartes - Antenne du Grand Pressigny;1 bis place des Halles;;37113;37350;Le Grand-Pressigny;LE GRAND PRESSIGNY;46.920551;0.803554;efs@lochessudtouraine.com;02 47 59 83 29;-;-;-;9:00 - 12:00 / 14:00 - 16:30;-;-;;;Antenne;9;Descartes;228;"230 ; 232";Espace labellisé 01/2020;Antenne
47.766956;5.310083;;Point;295;52;Longeau;29 rue du champagne;;52292;52250;Longeau-Percey;LONGEAU-PERCEY;47.766956;5.310083;karine.barbe@ccavm.fr;03 25 87 78 98;9:00 - 12:15 / 13:45 - 17:00;9:00 - 12:15 / 13:45 - 17:00;9:00 - 12:15 / 13:45 - 17:00;9:00 - 12:15 / 13:45 - 17:00;9:00 - 12:15 / 13:45 - 17:00;9:00 - 12:00;;;Antenne;28;Auberive Vingeanne Montsaugeonnais;583;295;Espace labellisé 01/2020;Antenne
48.431874;0.888357;;Point;362;61;Coeur du Perche - Bretoncelles;24 rue Lucien David;Mairie de Bretoncelles;61061;61110;Bretoncelles;BRETONCELLES;48.431874;0.888357;;;9:00 - 12:00;9:00 - 12:00 / Sur RDV : 14:30 - 17:00;9:00 - 12:00;9:00 - 12:00 / Sur RDV : 14:30 - 17:00 ;9:00 - 12:00;9:00 - 12:00;;;Antenne;1;Cœur du Perche;363;"362 ; 598 ; 599";Espace labellisé 01/2020;Antenne
49.434955;1.098474;;Point;440;76;Espaces numériques mobiles de Normandie - Rouen;8, bis rue de l'Industrie;Media Formation ;76540;76000;Rouen;ROUEN;49.434955;1.098474;;;9:30 - 12:00 / 13:30 - 16:00;9:30 - 12:00 / 13:30 - 16:00;9:30 - 12:00 / 13:30 - 16:00;9:30 - 12:00 / 13:30 - 16:00;9:30 - 12:00 / 13:30 - 16:00;-;;Oui;Antenne;17;Espaces numériques mobiles de Normandie;449;"440 ; 441";Espace labellisé 01/2020;Antenne itinerante
49.508893;0.536255;;Point;441;76;Espaces numériques mobiles de Normandie - Lillebonne;Parc d'Activité du Manoir;Clips;76384;76170;Lillebonne;LILLEBONNE;49.508893;0.536255;;;9:30 - 12:00 / 13:30 - 16:00;9:30 - 12:00 / 13:30 - 16:00;9:30 - 12:00 / 13:30 - 16:00;9:30 - 12:00 / 13:30 - 16:00;9:30 - 12:00 / 13:30 - 16:00;-;;Oui;Antenne;17;Espaces numériques mobiles de Normandie;449;"440 ; 441";Espace labellisé 01/2020;Antenne itinerante
43.916607;1.369102;;Point;479;82;Labastide Saint-Pierre;90 avenue Jean Jaures;;82079;82370;Labastide-Saint-Pierre;LABASTIDE ST PIERRE;43.916607;1.369102;msap.labastidesaintpierre@grandsud82.fr;05 32 09 53 40;8:30 - 12:45 / 14:00 - 17:00;14:00 - 18:00;9:30 - 12:30 / 14:00 - 17:00;14:00 - 17:00;8:30 - 12:15 / 13:00 - 16:00;-;;;Antenne;19;Grisolles;477;479;Espace labellisé 01/2020;Antenne
48.144709;6.617595;;Point;521;88;Bruyères - Antenne de Docelles;9 rue de la Libération;;88135;88460;Docelles;DOCELLES;48.144709;6.617595;c.perriol@cc-bruyeres.fr;03 29 35 68 25;9:00 - 11:20;9:00 - 11:20;-;9:00 - 11:20;-;-;;;Antenne;15;Bruyères;522;"521 ; 523";Espace labellisé 01/2020;Antenne
48.438909;0.104567;;Point;597;61;Alençon-Perseigne - Site secondaire de Courteille;28 rue de Vicques;Espace Marie Terrier - Quartier Courteille;61001;61000;Alençon;ALENCON;48.438909;0.104567;espace-france-services-courteille@ville-alencon.fr;02 33 80 87 47;13:30 - 17:30;8:30 - 17:30;8:30 - 12:00 / 13:30 - 17:30;8:30 - 12:00 / 13:30 - 17:30;8:30 - 12:00 / 13:30 - 17:30;-;;;Antenne;16;Alençon-Perseigne;361;597;Espace labellisé 01/2020;Antenne
48.345812;0.744288;;Point;598;61;Coeur du Perche - Berd'huis;22 route de Bellême;Mairie de Berd’huis ;61043;61340;Berd'huis;BERD HUIS;48.345812;0.744288;mairie-berdhuis@wanadoo.fr;;-;9:00 - 12:00 / 14:00 - 17:30;9:00 - 12:00 / 14:00 - 16:30;9:00 - 12:00 / 14:00 - 17:30;9:00 - 12:00 / 14:00 - 17:30;9:00 - 12:00;;;Antenne;1;Cœur du Perche;363;"362 ; 598 ; 599";Espace labellisé 01/2020;Antenne
