CODE_LIEU,CODE_TYPE,REF,NOM,SIGLE,STRUCT_ACC,GEPN,CRANT,STATUT,N_VOIE,N_VOIE_COM,TYPE_VOIE,NOM_VOIE,COMPLEMENT,LIEU_DIT,DPT,REGION_1,PAYS,CP_NV,COMMUNE_NV,INSEE_NV,TEL,COURRIEL,WEB,VISIBLE
EPN 14082-149,EPN,14082-149,EPN - Centre socio-culturel du Chemin Vert,,Centre socio-culturel - Caen - Chemin Vert,[14082] CAF du Calvados,CRANT de la Prairie Caen,labellisé,17,,rue,Pierre Corneille,,,Calvados,Normandie,France,14000,Caen,"14118",02 31 73 19 69,,https://www.caf.fr/allocataires/caf-du-calvados/points-d-accueil/centre-socio-culturel-caen-chemin-vert,
EPN 14082-187,EPN,14082-187,EPN - Centre socio-culturel CAF de la Guérinière,,Centre socio-culturel CAF de la Guérinière,[14082] CAF du Calvados,CRANT de la Prairie Caen,labellisé,2,,boulevard,de l'Espérance,,,Calvados,Normandie,France,14000,Caen,"14118",02 31 52 59 00,,https://www.caf.fr/allocataires/caf-du-calvados/points-d-accueil/centre-socio-culturel-caen-gueriniere-0,
EPN 14082-185,EPN,14082-185,EPN - Centre socio-culturel CAF de la Pierre Heuzé,,Centre socio-culturel CAF de la Pierre Heuzé,[14082] CAF du Calvados,CRANT de la Prairie Caen,labellisé,49,,boulevard,Général Vanier,,,Calvados,Normandie,France,14000,Caen,"14118",02 31 93 41 45,,https://www.caf.fr/allocataires/caf-du-calvados/points-d-accueil/centre-socio-culturel-caen-pierre-heuze-0,
EPN 14082-186,EPN,14082-186,EPN - Centre socio-culturel CAF Grâce de Dieu,,Centre socio-culturel CAF Grâce de Dieu,[14082] CAF du Calvados,CRANT de la Prairie Caen,labellisé,0,,avenue,Père Charles de Foucauld,,,Calvados,Normandie,France,14000,Caen,"14118",02 31 82 34 69,,https://www.caf.fr/allocataires/caf-du-calvados/points-d-accueil/centre-socio-culturel-caen-grace-de-dieu,
EPN 14007-18,EPN,14007-18,EPN - Bb de La Guérinière - CyberEspace,,MJC de la Guérinière,[14007] CU - Caen la Mer,CRANT de la Prairie Caen,labellisé,10,,rue,des Bouviers,,,Calvados,Normandie,France,14000,Caen,"14118",02 14 37 29 83,bibliotheque.gueriniere@agglo-caen.fr,http://bibliotheques.caenlamer.fr/caen-bibliotheque-la-gueriniere-accueil.aspx,O
EPN 14001-173,EPN,14001-173,Médiathèque Intercommunale de La Cambe,,Médiathèque Intercommunale de La Cambe,[14001] ComCom  Isigny Omaha Intercom,CRANT de la Manche,antenne,0,,rue,Principale,derrière la Mairie,,Calvados,Normandie,France,14230,La Cambe,"14124",02 31 10 66 16,mediatheque.lacambe@ccigi.fr,http://www.isigny-grandcamp-intercom.fr/isigny_grandcamp_intercom/service_a_la_population/bibliotheque_intercommunale_de_la_cambe.html,
EPN 14080-145,EPN,14080-145,EPN - Anacrouses,,,[14080] Anacrouses,CRANT de la Prairie Caen,en cours de labellisation,45,,rue,Saint Martin,Place Saint-Clair,,Calvados,Normandie,France,14240,Caumont-sur-Aure,"14143",09 81 62 66 24,contact@anacrouses.fr,,
EPN 14073-205,EPN,14073-205,EPN - Médiathèque,Biblio'tech,Biblio'tech,[14073] Mairie de Deauville,CRANT de la Prairie Caen,labellisé,0,,cour,du Champ Colette,Espace Gustave Flaubert,,Calvados,Normandie,France,14800,Deauville,"14220",02 31 88 79 37,mediatheque@deauville.fr,http://www.deauvillebibliotech.fr,O
EPN 14048-32,EPN,14048-32,EPN - Médiathèque Jacques Prévert,,Médiathèque Jacques Prévert,[14048] Mairie de Dives sur Mer,CRANT de la Prairie Caen,labellisé,0,,rue,du Commandant Charcot,,,Calvados,Normandie,France,14160,Dives-sur-Mer,"14225",02 31 24 29 27,mediatheque@dives-sur-mer.fr,http://www.mediatheque-dives.fr/,O
EPN 14020-204,EPN,14020-204,EPN NCPA - site de Dozulé,,Ecole élémentaire de Dozulé Unité B,[14020] CC Normandie Cabourg Pays d?Auge,CRANT de la Prairie Caen,antenne,23,,,Grande rue,,,Calvados,Normandie,France,14430,Dozulé,"14229",07 87 77 10 85,epn@normandiecabourgpaysdauge.fr,http://www.epn.ncpa.fr,
EPN 14049-34,EPN,14049-34,EPN - Falaise,,,[14049] Mairie de Falaise,CRANT d'Argentan,labellisé,1,,rue,des Prémontrés,,,Calvados,Normandie,France,14700,Falaise,"14258",02 31 20 79 68,epn@falaise.fr,http://www.falaise.fr/a-tout-age/centre-socioculturel/espace-public-numerique/,O
EPN 14087-156,EPN,14087-156,EPN - Bibliothèque municipale,,Bibliothèque municipale Pauline ROLAND,[14087] Mairie de Fleury-sur-Orne,CRANT de la Prairie Caen,labellisé,20,,rue,François Mitterrand,,,Calvados,Normandie,France,14123,Fleury-sur-Orne,"14271",02 31 84 31 94,epn@fleurysurorne.fr,http://epn.fleurysurorne.fr,O
EPN 14020-35,EPN,14020-35,EPN NCPA - site de Gonneville en Auge,EPN NCPA,,[14020] CC Normandie Cabourg Pays d?Auge,CRANT de la Prairie Caen,labellisé,4,,rue,de la Mairie,,,Calvados,Normandie,France,14810,Gonneville-en-Auge,"14306",02 31 24 25 93,epn@normandiecabourgpaysdauge.fr,http://www.epn.ncpa.fr,O
EPN 14001-128,EPN,14001-128,Point Public Numérique,,Office du tourisme,[14001] ComCom  Isigny Omaha Intercom,CRANT de la Manche,antenne,26,,quai,Henri Crampond,,,Calvados,Normandie,France,14450,Grandcamp-Maisy,"14312",02 31 21 46 00,epn@isigny-omaha-intercom.fr,http://www.isigny-grandcamp-intercom.fr/office_de_tourisme_isigny_omaha/informations_pratiques/office_de_tourisme2.html,
EPN 14083-150,EPN,14083-150,EPN - Cyber-Base Médiathèque,,Médiathèque Jean-François Sarasin,[14083] Mairie d'Hermanville sur Mer,CRANT de la Prairie Caen,labellisé,144,,grande,rue,Médiathèque,,Calvados,Normandie,France,14880,Hermanville-sur-Mer,"14325",02 31 36 18 05,epn@hermanville-sur-mer.fr,https://www.hermanvillesurmer.fr/Salle-internet_a697.html,O
EPN 14007-37,EPN,14007-37,EPN - Bb d'Hérouville St Clair,,Bibliothèque d'Hérouville Saint-Clair,[14007] CU - Caen la Mer,CRANT de la Prairie Caen,labellisé,5,,square,du Théâtre,,,Calvados,Normandie,France,14200,Hérouville-Saint-Clair,"14327",02 14 37 28 60,bibliherouville@caenlamer.fr,http://bibliotheques.caenlamer.fr/Default/bibliotheque-herouville-saint-clair.aspx,O
EPN 14082-189,EPN,14082-189,EPN - Centre socio-culturel CAF Hérouville-Saint-Clair,,Centre socio-culturel CAF Hérouville-Saint-Clair,[14082] CAF du Calvados,CRANT de la Prairie Caen,labellisé,202,,boulevard,des Belles Portes,,,Calvados,Normandie,France,14200,Hérouville-Saint-Clair,"14327",02 31 95 83 00,,https://www.caf.fr/allocataires/caf-du-calvados/points-d-accueil/centre-socio-culturel-herouville-saint-clair-0,
EPN 14041-38,EPN,14041-38,EPN - Jeunes Séniors Familles,,Jeunes sans Frontières,[14041] Centre Socio-culturel Jeunes Séniors Familles,CRANT de la Prairie Caen,labellisé,0,,avenue,du Canteloup,Maison des Familles,,Calvados,Normandie,France,14600,Honfleur,"14333",02 31 49 49 00,jsfhonfleur@gmail.com,https://www.jsfhonfleur.fr/espace-public-num%C3%A9rique/,O
EPN 14020-229,EPN,14020-229,EPN NCPA - site d'Houlgate,,Centre Sportif de Normandie,[14020] CC Normandie Cabourg Pays d?Auge,CRANT de la Prairie Caen,antenne,0,,route,de la Vallée,,,Calvados,Normandie,France,15410,Houlgate,"14338",02 31 24 25 93,epn@normandiecabourgpaysdauge.fr,,
EPN 14001-1,EPN,14001-1,EPN - Isigny Omaha Intercom,EPN IOI,Maison des services - Isigny-sur-Mer,[14001] ComCom  Isigny Omaha Intercom,CRANT de la Manche,labellisé,16,,rue,Emile Demagny,,,Calvados,Normandie,France,14230,Isigny-sur-Mer,"14342",02 31 21 42 27,epn@isigny-omaha-intercom.fr,https://isigny-omaha-intercom.fr/vie-quotidienne/espace-public-numerique-epn/,O
EPN 14082-188,EPN,14082-188,EPN - Centre socio-culturel CAF de Lisieux,,Centre socio-culturel CAF de Lisieux,[14082] CAF du Calvados,CRANT de la Prairie Caen,antenne,0,,rue,de Taunton,,,Calvados,Normandie,France,14100,Lisieux,"14366",02 31 31 67 12,,https://www.caf.fr/allocataires/caf-du-calvados/points-d-accueil/centre-socio-culturel-lisieux,
EPN 14053-40,EPN,14053-40,EPN - Médiathèque André Malraux,,Médiathèque intercommunale André Malraux,[14053] Communauté d'agglomération Lisieux-Normandie,CRANT de la Prairie Caen,labellisé,0,,place,de la République,,,Calvados,Normandie,France,14100,Lisieux,"14366",02 31 48 41 00,mediatheque-lisieux@agglo-lisieux.fr,http://www.mediatheque-lisieux.fr,O
EPN 14001-228,EPN,14001-228,Médiathèque du Molay Littry,,Médiathèque intercommunale Renée Duval,[14001] ComCom  Isigny Omaha Intercom,CRANT de la Manche,antenne,0,,place,du Marché,,,Calvados,Normandie,France,14330,Le Molay-Littry,"14370",02 31 22 61 98,epn@isigny-omaha-intercom.fr,,
EPN 14038-42,EPN,14038-42,EPN - Médiathèque la Fabrique - Livarot,,Médiathèque la Fabrique - Agglo Lisieux-Normandie,[14038] ComCom du pays de Livarot,CRANT de la Prairie Caen,labellisé,20,,rue,Georges Leroy,,,Calvados,Normandie,France,14140,Livarot Pays-d'Auge,"14371",02 31 61 88 18,mediatheque-livarot@agglo-lisieux.fr,https://www.mediatheque-livarot.fr,O
EPN 14064-190,EPN,14064-190,EPN - Centre socio-culturel de Mondeville,,Centre socio-culturel de Mondeville,[14064] Ville de Mondeville,CRANT de la Prairie Caen,labellisé,0,,rue,du 19 mars 1962,Espace Pierre Letellier,,Calvados,Normandie,France,14120,Mondeville,"14437",02 31 84 20 72,csc@mondeville.fr,http://www.mondeville.fr/vivre_a_mondeville/solidarite2/centre_social_caf.html,O
EPN 14054-44,EPN,14054-44,EPN - Espace Culturel,,Le Foyer - Espace Culturel,[14054] Mairie de Moyaux,CRANT de la Prairie Caen,labellisé,0,,rue,Jean Monnet,Salle Multimédia,,Calvados,Normandie,France,14590,Moyaux,"14460",02 31 63 61 01,epn@moyaux.fr,http://www.moyaux.fr/Informatique_multimedia_moyaux.htm,O
EPN 14010-46,EPN,14010-46,EPN - Ouistreham,EPN,Centre Socio-culturel,[14010] Ville de Ouistreham Riva-Bella,CRANT de la Prairie Caen,labellisé,11,,rue,des Arts,,,Calvados,Normandie,France,14150,Ouistreham,"14488",02 31 25 51 60,mediationnumerique@ville-ouistreham.fr,https://fr-fr.facebook.com/centresocioculturelouistreham/,O
EPN 14055-47,EPN,14055-47,EPN de Pont l'Evêque,,,[14055] Mairie de Pont l'Evêque,CRANT de la Prairie Caen,labellisé,18,,rue,Thouret,,,Calvados,Normandie,France,14130,Pont-l'Évêque,"14514",02 31 64 94 49,epn@pontleveque.fr,http://www.pontleveque.fr/culture-sports-loisirs/espace-public-numerique/,O
EPN 14024-50,EPN,14024-50,EPN - Cingal Suisse Normande,,Maison des Services,[14024] Communauté de Communes Cingal Suisse Normande,CRANT de la Prairie Caen,labellisé,4,,rue,Docteur Gourdin,,Thury-Harcourt,Calvados,Normandie,France,14220,Le Hom,"14689",02 31 79 87 26,epn@cingal-suissenormande.fr,https://www.suisse-normande.com/nos-services/espace-public-numerique/,O
EPN 14082-206,EPN,14082-206,EPN - Centre socio-culturel CAF de Vire (mobile),,EPN - Centre socio-culturel CAF de Vire (mobile),[14082] CAF du Calvados,CRANT de la Prairie Caen,labellisé,0,,rue,Anne Morgan,,,Calvados,Normandie,France,14500,Vire Normandie,"14762",02 31 68 04 12,,https://www.caf.fr/allocataires/caf-du-calvados/points-d-accueil/centre-socio-culturel-vire,
EPN 50060-52,EPN,50060-52,EPN - Vire Normandie,,Médiathèque de Vire,[50060] Mairie de Vire Normandie,CRANT de la Prairie Caen,labellisé,16,,rue,Chênedollé,,Vire,Calvados,Normandie,France,14500,Vire Normandie,"14762",02 31 66 49 74,epn@virenormandie.fr,http://www.virenormandie.fr/vivre-au-quotidien/informations-pratiques/espace-public-numerique/,O
EPN 27103-217,EPN,27103-217,Antenne EPN Charleval - Mission Locale,,Mission Locale Louviers-Val de Reuil-Andelle,[27103] Mission Locale Louviers Val de Reuil Andelle,CRANT de Lillebonne,antenne,0,,rue,Martin Liesse,Zone d'activité La Vente Cartier,,Eure,Normandie,France,27380,Charleval,"27151",02 32 49 90 09,mission.locale@mlv2al.fr,http://www.mlv2al.fr/,
EPN 27105-179,EPN,27105-179,EPN - Espace Mailiso,Espace MAILISO,"Espace Mailiso, la Maison du Lien Social","[27105] Espace Mailiso, la Maison du Lien Social",CRANT de L'Aigle,labellisé,4,,rue,Sainte Foy,,,Eure,Normandie,France,27190,Conches-en-Ouche,"27165",02 32 30 23 15,contact@espacemailiso.net,http://www.espacemailiso.net,O
EPN 27102-207,EPN,27102-207,EPN - Labo-numérique,,Ludo-Médiathèque communautaire,[27102] Communauté de communes du Vexin Normand,CRANT de Lillebonne,labellisé,3,,rue,Maison de Vatimesnil,,,Eure,Normandie,France,27150,Étrépagny,"27226",02 32 27 91 54,mediatheque@ccvexin-normand.fr,http://mediatheques.cdc-vexin-normand.fr/,O
EPN 27106-210,EPN,27106-210,Bureau Information jeunesse d'Evreux,BIJ,BIJ Evreux,[27106] Ville d'Evreux,CRANT de L'Aigle,labellisé,1,,rue,Saint-Thomas,,,Eure,Normandie,France,27000,Évreux,"27229",02 32 31 98 17,bij@evreux.fr,http://www.evreux.fr/pages/grandira-evreux/jeunesse/bureau-information-jeunesse-644,O
EPN 27106-215,EPN,27106-215,EPN - Espace Jeunes / PIJ,,Espace Jeunes,[27106] Ville d'Evreux,CRANT de L'Aigle,en cours de labellisation,9,,rue,Victoria M'Xengé,,,Eure,Normandie,France,27000,Évreux,"27229",02 32 28 96 29,espacejeunes@evreux.fr,http://www.evreux.fr,
EPN 27103-216,EPN,27103-216,Antenne EPN Louviers - Mission Locale,,Mission Locale Louviers-Val de Reuil-Andelle,[27103] Mission Locale Louviers Val de Reuil Andelle,CRANT de Lillebonne,labellisé,5,,rue,Saint-Louis,2ème étage,,Eure,Normandie,France,27400,Louviers,"27375",02 32 25 06 72,mission.locale@mlv2al.fr,http://www.mlv2al.fr/,
EPN 27103-208,EPN,27103-208,EPN du Val de Reuil,,Mission locale Louviers Val de Reuil Andelle,[27103] Mission Locale Louviers Val de Reuil Andelle,CRANT de Lillebonne,labellisé,4,,rue,Septentrion,,,Eure,Normandie,France,27100,Val-de-Reuil,"27701",02 32 59 76 80,mission.locale@mlv2al.fr,http://www.mlv2al.fr,O
EPN 50025-54,EPN,50025-54,EPN de la Médiathèque d'Agneaux,,Médiathèque d'Agneaux,[50025] Saint-Lô Agglo,CRANT de la Manche,labellisé,0,,place,de Gouville,BP 39,,Manche,Normandie,France,50180,Agneaux,"50002",02 33 77 31 00,espacemultimedia@saint-lo-agglo.fr,http://www.saint-lo-agglo.fr/espace-public-numerique,O
EPN 50077-55,EPN,50077-55,EPN - Centre social l'esc'halles,,Centre social l'esc'halles,[50077] Communauté agglo Mont Saint-Michel  Normandie,CRANT de la Manche,labellisé,24,,place,du Marché,,,Manche,Normandie,France,50300,Avranches,"50025",02 33 79 39 40,epn.avranches@msm-normandie.fr,http://www.msm-normandie.fr/fr/culture/espaces-publics-numerique/489-espace-public-numerique-d-avranches,O
EPN 50077-56,EPN,50077-56,EPN - Barenton,EPN Lab,,[50077] Communauté agglo Mont Saint-Michel  Normandie,CRANT de la Manche,labellisé,46,,rue,du Presbytère,,,Manche,Normandie,France,50720,Barenton,"50029",02 33 91 82 49,arnaud.geffroy@msm-normandie.fr,https://www.sites.google.com/site/epncdcdelaselune/,O
EPN 50021-58,EPN,50021-58,EPN - Barneville Carteret,(antenne de Barneville-Carteret),,[50021] Commauté de communes Côte des Isles,CRANT de la Manche,labellisé,4,,rue,Gilbert Marot,,,Manche,Normandie,France,50270,Barneville-Carteret,"50031",02 33 53 35 62,xavier.evenard@lecotentin.fr,,O
EPN 50025-82,EPN,50025-82,EPN - La Barre de Sémilly,,Ecole de La Barre de Semilly,[50025] Saint-Lô Agglo,CRANT de la Manche,antenne,8,,rue,Hippolyte Gancel,,,Manche,Normandie,France,50810,La Barre-de-Semilly,"50032",02 33 57 48 13,espacemultimedia@saint-lo-agglo.fr,http://www.saint-lo-agglo.fr/espace-public-numerique,O
EPN 50072-135,EPN,50072-135,EPN - Centre multimédia de la Hague,,,[50072] Communauté de la Hague,CRANT de la Manche,labellisé,1,bis,place,de la Mairie,,Beaumont-Hague,Manche,Normandie,France,50440,La Hague,"50041",02 33 87 58 10,centremultimediabeaumont@gmail.com,http://cyberbase.lahague.com/,O
EPN 50031-63,EPN,50031-63,EPN - La Salle Numérique,,,[50031] Centre d'Animation Les Unelles,CRANT de la Manche,labellisé,7,,rue,des Juifs,,,Manche,Normandie,France,50210,Cerisy-la-Salle,"50111",02 33 76 63 30,jb.toumichan@gmail.com,https://www.centredanimationlesunelles.com/services/espace-public-num%C3%A9rique/,O
EPN 50059-105,EPN,50059-105,EPN - Bibliothèque Boris Vian,,Bibliothèque Boris Vian,[50059] Mairie de Tourlaville,CRANT de la Manche,labellisé,370,,rue,des Cols Verts,,,Manche,Normandie,France,50100,Cherbourg-en-Cotentin,"50129",02 33 88 04 62,bibliotheque.50110@cherbourg.fr,https://www.cherbourg.fr/infos-services/culture-et-loisirs/les-espaces-publics-numeriques-de-cherbourg-en-cotentin/l-espace-public-numerique-de-tourlaville/horaires-415.html,
EPN 50005-2,EPN,50005-2,EPN - Le Village Numérique,,Le Village Numérique,[50005] Mairie de Cherbourg-Octeville,CRANT de la Manche,labellisé,8,,rue,Victor Hugo,,Cherbourg-Octeville,Manche,Normandie,France,50130,Cherbourg-en-Cotentin,"50129",02 33 44 02 93,levillagenumerique@cherbourg.fr,https://www.cherbourg.fr/infos-services/culture-et-loisirs/les-espaces-publics-numeriques-de-cherbourg-en-cotentin/les-espaces-publics-numeriques-de-cherbourg-octeville/village-numerique/presentation-404.html,O
EPN 50005-73,EPN,50005-73,EPN - MJC La Brêche,M.J.C. La Brèche,Maison des Jeunes et de la Culture La Brèche,[50005] Mairie de Cherbourg-Octeville,CRANT de la Manche,labellisé,0,,rue,du Neufbourg,,Cherbourg-Octeville,Manche,Normandie,France,50100,Cherbourg-en-Cotentin,"50129",02 33 44 86 04,centre@mjc-cherbourg.fr,,O
EPN 50005-67,EPN,50005-67,EPN - Maison Flora Tristan,MFT,Maison Flora Tristan,[50005] Mairie de Cherbourg-Octeville,CRANT de la Manche,labellisé,33,,rue,de Bougainville,,Cherbourg-Octeville,Manche,Normandie,France,50130,Cherbourg-en-Cotentin,"50129",02 33 94 58 59,william.bouton@ville-cherbourg.fr,,O
EPN 50005-68,EPN,50005-68,EPN - Maison Françoise Giroud,,Maison Françoise Giroud,[50005] Mairie de Cherbourg-Octeville,CRANT de la Manche,labellisé,1,,rue,du Neufbourg,,,Manche,Normandie,France,50100,Cherbourg-en-Cotentin,"50129",02 33 44 54 44,maison.francoise-giroud@ville-cherbourg.fr,,O
EPN 50005-69,EPN,50005-69,EPN - Maison Olympe de Gouges,,Maison Olympe de Gouges,[50005] Mairie de Cherbourg-Octeville,CRANT de la Manche,labellisé,0,,rue,de l'Île de France,,,Manche,Normandie,France,50130,Cherbourg-en-Cotentin,"50129",02 33 01 89 90,emmanuel.hollande@cherbourg.fr,http://www.ville-cherbourg.fr/themes/solidarites/espaces-solidaires/maison-olympe-de-gouges/,O
EPN 50005-70,EPN,50005-70,EPN - Maison pour tous Léo-Lagrange,MPTLL,Maison pour tous Léo-Lagrange,[50005] Mairie de Cherbourg-Octeville,CRANT de la Manche,labellisé,0,,square,du Nivernais,,,Manche,Normandie,France,50130,Cherbourg-en-Cotentin,"50129",02 33 43 31 63,pbinet.mptll@gmail.com,,O
EPN 50061-71,EPN,50061-71,EPN - MEF de Cherbourg-Octeville,,MEF de Cherbourg-Octeville,[50061] MEF de Cherbourg-Octeville,CRANT de la Manche,labellisé,1,,rue,d'Anjou,BP 81,,Manche,Normandie,France,50130,Cherbourg-en-Cotentin,"50129",02 33 01 64 64,mif@mef-cotentin.com,http://www.mef-cotentin.com,O
EPN 50031-74,EPN,50031-74,EPN - Passage du Numérique,,Centre Les Unelles,[50031] Centre d'Animation Les Unelles,CRANT de la Manche,labellisé,11,,rue,Saint-Maur,BP 524,,Manche,Normandie,France,50205,Coutances,"50147",02 33 76 78 50,lesunelles@wanadoo.fr,http://www.lesunelles.com,O
EPN 50032-75,EPN,50032-75,EPN - Musique Expérience,EPN Ducey,Pôle Culturel,[50032] Musique Expérience,CRANT de la Manche,labellisé,23,,rue,du Couvent,BP 16,,Manche,Normandie,France,50220,Ducey-Les Chéris,"50168",02 33 48 19 44,epn.cantonducey@musique-experience.net,http://epncantonducey.over-blog.com,O
EPN 50031-76,EPN,50031-76,EPN - La Souris Verte,,Maison des services de Gavray,[50031] Centre d'Animation Les Unelles,CRANT de la Manche,labellisé,38,,rue,de la Poterie,,Gavray,Manche,Normandie,France,50450,Gavray-sur-Sienne,"50197",02 61 67 03 88,jb.toumichan@gmail.com,https://www.centredanimationlesunelles.com/services/espace-public-num%C3%A9rique/,O
EPN 50031-77,EPN,50031-77,EPN - CyberLande,,,[50031] Centre d'Animation Les Unelles,CRANT de la Manche,labellisé,35,,rue,du Littoral,,,Manche,Normandie,France,50560,Gouville-sur-Mer,"50215",02 33 46 84 67,cyberlande@gmail.com,https://www.centredanimationlesunelles.com/services/espace-public-numérique/,O
EPN 50050-227,EPN,50050-227,L'Animathèque,,Centre Social,[50050] Mairie de Granville,CRANT de la Manche,labellisé,202,,rue,Paul Gibon,Résidence autonomie les Herbiers,,Manche,Normandie,France,50400,Granville,"50218",02 33 61 98 98,animatheque@ville-granville.fr,http://www.ville-granville.fr,O
EPN 50050-78,EPN,50050-78,EPN - Centre Social l'Agora,,Centre Social l'Agora,[50050] Mairie de Granville,CRANT de la Manche,labellisé,361,,rue,Saint Nicolas,"409",,Manche,Normandie,France,50400,Granville,"50218",02 33 50 96 06,cs.lagora@ville-granville.fr,https://www.ville-granville.fr/vivre-au-quotidien-demarches-services/solidarite/centre-social-lagora/,O
EPN 50050-79,EPN,50050-79,EPN - FJT du Roc,Foyer de Jeunes Travailleurs,Foyer de Jeunes Travailleurs,[50050] Mairie de Granville,CRANT de la Manche,labellisé,12,,place,d'Armes,,,Manche,Normandie,France,50400,Granville,"50218",02 33 90 52 80,fjt.granville@ville-granville.fr,http://www.ville-granville.fr,O
EPN 50031-21,EPN,50031-21,EPN - La souris de la plage,,,[50031] Centre d'Animation Les Unelles,CRANT de la Manche,labellisé,30,,avenue,de l'Aumesle,Jean-François SARASIN,,Manche,Normandie,France,50590,Hauteville-sur-Mer,"50231",02 33 76 51 87,souris.plage@gmail.com,https://www.centredanimationlesunelles.com/services/espace-public-num%C3%A9rique/,O
EPN 50022-85,EPN,50022-85,EPN - La Haye du Puits,EPN La Haye,Maison intercommunale,[50022] Communauté de Communes Côte Ouest Centre Manche,CRANT de la Manche,labellisé,20,,rue,des Aubépines,,La Haye-du-Puits,Manche,Normandie,France,50250,La Haye,"50236",02 33 07 60 75,epn@cocm.fr,http://epnlhp.jimdo.com/,O
EPN 50032-203,EPN,50032-203,EPN mobile d'Isigny Le Buat,EPN mobile,Musique Expérience,[50032] Musique Expérience,CRANT de la Manche,labellisé,2,,place,de la Mairie,,,Manche,Normandie,France,50540,Isigny-le-Buat,"50256",02 33 48 19 44,svenlaurent@musique-experience.net,http://www.musique-experience.net,O
